authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
4W55gPe3PD4DaJxPVpLEbnNV5yRCQieFVABQVbeBvsPg,0,9i3KNxmR7L7KmBAza1U6kgPc7w9g2iGbWDCCbVR3PTyW,505014673334,0,505014673334,2050238215345,2050238.215345,1750000000004,0,0,1774541394
AsbPgTGCuyMRi3PVPAo4rE54Zg7rbpaYXSxDh2T4krfv,0,DteoM2Hgs6QzDVRNZUy9j65XRezZ9WsJEUVuuNxxcpNX,113951293916,0,113951293916,462614870043,462614.870043,425255427593,113951293915,462614886187,1775067435
CBoVg1us62aFXLzZWThrp4ZL64uZ53yki8x797JPvpEp,0,5dWcTutykGyD2fsJZCqpnqYhjpdvBdYEpPmAjKcNqwdc,108630145588,0,108630145588,441012286539,441012.286539,406969329459,0,0,0
9VC3SSBa7p2QcgxUQ2Cyre69msWZCuSJhQLnFh1Bh6uW,0,BMq34u1aySTvJc72Aq56vnwjtsFPRXMxUyPZrcnDoqrT,82606779356,0,82606779356,334903791525,334903.791525,297220302892,33120157806,133999999997,1773174484
Am9Wwvd1exXDJgbLx1krMM9NXLqSxJLdMnr8KMGE1g6Z,0,5E4VKa55WU2zLn4pE6yWnyPQhZkXbsjqQ2M3CYj3agk6,70886393521,0,70886393521,287781723222,287781.723222,257725712034,0,0,1732683933
9s6C4BBXPU62DmFGtxCw4QX4EAc5tVv7cdDxrrv1h2kb,0,5GZVSjwm54D6MXRr3mt6m48pD2y7Uy34pKWuRDQKaMJB,73003236872,0,73003236872,279685251283,279685.251283,250000000000,73003236871,279685251279,1751746625
tqryVBMpX6W2WqPGsPB1kZTJe779DYp44nJYgzF8wkB,0,GSUd4B2y2rAXiYN6NZgnNcRfhLrRjMXq9g5J47WJ6ZPw,63637857181,0,63637857181,258354407553,258354.407553,208554606411,0,0,1748247583
FUSuwfZV7zyEqtzXKChUqsS25D6K8k296hy4sh3mSCSo,0,Giyv1sbt4ht5ZjzKzn9rA8yRdfNEkQqjsSWF4tjE3Lwq,54327097334,0,54327097334,220554960012,220554.960012,214818067934,0,0,1763103994
5YPKWAfcC7K4wtH5P1UDstp35xnRMT6RoJjABBRKUZE5,0,DPVmPFDHp5HdAPedYVkarGxfcNb3EZGTHu5nkxTiWh8u,51516875964,0,51516875964,209146136565,209146.136565,200009000000,0,0,0
9RLka98aoaQKZVXXbCZ59YeMtJ3dS6eKzwY1qY188yMt,0,7t4QjKc4rEqkAeWLULWqyYrGtUMyS6N1Km7yGwHSyQVS,39975638856,0,39975638856,162291487342,162291.487342,117625107145,0,0,1705383484
D4nZcoJAHYQCpAaFXA2mkcQcbABmAjaTHvhPMmzTT8j,0,Fh4njUUqLyNRf3LKp7u5x333TgpupMbaBzCeeG2YpwWC,32946673415,0,32946673415,133711845916,133711.845916,99871636262,32946673414,133711845912,1774902867
Zqmi4Jb1oxUm1RcBkTTi7WzEs84gdu8ukB6FxFnmzWQ,0,5hGuovTC3gUjxqpV1AyTyUkvAagGzzjBqJYNetRGXib1,31977551693,0,31977551693,129821175454,129821.175454,106691841689,0,0,1753752569
ENWHzziqqeVUgiSqHWrbzUnEDX5FEuehmempTWghUKss,0,AdSb9DtEugbidPHRCrrEpz9mwtfbJsEMTUp7neTZSF2X,31830342185,0,31830342185,128866271511,128866.271511,120001000000,31830342184,128866271507,1773741775
9tRXgeSFmvCMcay1uKdEbmKte4hjzEAyhXuDHDCsWcwo,0,FXGY6msUHq3q3ACCLEJcfRA2PWuXsUXb1M63x93oPi8q,31707090973,0,31707090973,128681084406,128681.084406,100119291416,31707090972,128681084402,1774902953
Fq6K7u4QbeNVF7eW1tPK7LKDyvss1Rkypgh3Yr1967wN,0,BXTqLAN737L7PExpxZL4eMKT8pWCJKD7weS5ofAcrEW3,31682472411,0,31682472411,128581171637,128581.171637,100039526937,31682472410,128581171633,1774902921
GG85D7nGopqvfaGRbmyJ3bYK3aR35xCJ18aQo2x7zRfr,0,9jeRgvf97Q73EkJzwPvZipEQ1agoZJJ8LmFJUeACuz8H,30270014448,0,30270014448,122888984572,122888.984572,108852983647,0,0,1760292692
HopeqcqEqvAuuVYZsWZySG8zckjS24aLvdEyF3uMHgXU,0,3kmvt7S5nvQE8ZfKjjZJ3tUYAbQKVL85U1Y7oXaKPmmA,27102365479,0,27102365479,110029090965,110029.090965,90000000000,0,0,0
4gYwnSfXwVvhjT78PRpfuhry3utrTicZxgTmUNjuuyNo,0,6EkcfzXrvY2SiUjVZVgD4fX7pLSNfSSkKSssykPztoLC,25907233265,0,25907233265,105177141375,105177.141375,98477117683,0,0,1735024138
9FqdTVeXuYGDudqf1gRv8ZwNAyFReaCHjsJJ1V9kNKvt,0,GThKbA15HZBqCpE9yxaMkzUjSm8uS7D2hhYLQj28GzBW,25782951094,0,25782951094,104324173137,104324.173137,97203637293,25782951093,104324173133,1773430308
7uN7Lh2p86g23p6rv6zmSJWJgGr2EDTABTcMkLkCTXFH,0,CjXT3525edEDaQvuCdfPKGvk9mY5HMS7kionTrFbQ8vy,25052166692,0,25052166692,101705776566,101705.776566,39275814337,0,0,1767015226
7EjBWc8squoGzCXTeZVzDygH1kUhmmGHmkNM5nt73TLB,0,CuFdriC5j3QmCsbgn8SbW3jPCEAFQdrAKcbHuH4DTqVA,22759578453,0,22759578453,92398419240,92398.41924,77441163286,0,0,1764769422
BJ2mF9BYYw9QGkC9bGghqukqiCdq2ikDzXmFwMLWaw8R,0,cc8qH4zTPyt1bNL9xJabYQChZNiPurviPNgq2ZffBam,19610524810,0,19610524810,79614018188,79614.018188,69303904726,0,0,1733789073
5BxPVhjsrekL9x92DV4wiwx6kU5MR2GWRhfELRPvSQUr,0,528e4LDUdKeYPYiPB4tjRHCeM2CW8T3uhJuoKe68qSQt,18203120717,0,18203120717,73900295779,73900.295779,70000000000,18203120716,73900298355,1775067488
8p7GwBdbZVSYeYaMWPx2WMFp5biqEhzcH79xsoBJ96MS,0,D1ccH7cj13eZYLYnN7DbnP8uD9tjZcvRFjxY32uycYnn,18182829073,0,18182829073,73817916581,73817.916581,49296000007,0,0,1737218946
AXrWCctEHC3ovkMWG8S3MSqMzYMsPXcPaaC8iufk1nqR,0,9TB4QjX4CGf6j3bXUqJhyQkbWhm7tsf5mShn8KaBUjgL,16502036874,0,16502036874,66972400643,66972.400643,50014138049,16502036873,66972400639,1774902651
6LChaYRYtEYjLEHhzo4HdEmgNwu2aia8CM8VhR9wn6n7,0,5DDGDB3oDXs8gVoNTvo1NH6jPVjRu2h6kBrTDBh7JrUU,15991943098,0,15991943098,64923446007,64923.446007,64796024801,0,0,0
CcqBg6q9ivmwF1gsDAZh33BXXVdd41dbCy3JaXTnRnBg,0,HmMtNKEWNEouyDrSXetyN62dS462vQzBjXSVsEQjJh2X,14155205215,0,14155205215,57466731582,57466.731582,54647618708,0,0,0
HH2nxnScbG2Wjgpb7eni8mAGtZGRveAceCdUQDupy8aD,0,9DgRffvbYtQnwFDSDn7eDXDxTuDmGMbfD2ZMRwM6Utha,14056820109,0,14056820109,57067311695,57067.311695,52976760849,0,0,1774428640
5RTC3JhzEmb8PydzbeZ1AZnxUMEFjv2CxZ8RvuE4HBKy,0,AXrLFVt98mTAdhFaoXkVWC6dXR7w9Vq97XfAcsDKVTmn,13922023073,0,13922023073,56520068121,56520.068121,50000000000,0,0,0
52N1Pkveq4c3T4GRoKmsurJDsLGtszKbRbSjkAc1hxrM,0,9aRqHAENFxRuYrzaCjqnjtuCGcUkkaTgq86dcmYtcMs2,12589178443,0,12589178443,51109039215,51109.039215,42457866613,0,0,1763153352
ELZYoPQj2gEXPGoNNZyTjQpQgixo8zW2RHayXHnRe6hi,0,Fqda5gBwCvyLMXKyjJ8Bj3kd5xD2DbRgW6vALwsaZQ2P,12552573734,0,12552573734,50960432892,50960.432892,50847502156,0,0,0
8vAz5XgamEAApyLHzzvv64gfMw9K8KuVcpdfQ4fY6iwf,0,HfpLCE4vzpGApe5Tp7T7PEeG4X1yyi8MJ5LNposS7FwY,12441208411,0,12441208411,50508316443,50508.316443,49999135671,0,0,0
8WbhsZ5SCznADLnadBSttUCqE2JpHdks9FHDjePUEHw,0,7Q4eRYj4uT2pjazM3jcF6j212kn836iJVeZuSxPPJErU,11733590372,0,11733590372,47635557250,47635.55725,42242885594,0,0,1734818536
