authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
BskVy7SkiNt3aQW13q6TFCmSNUzUcZpAujw8bTqNGUKs,10,7RxCouw3HSZ3mUbTnXEd8m1sbViX7q5c1js4GGqpiN9G,499493820,0,499493820,1054306498,1054.306498,1052273747,1052.273747,2032751,1000000000,0,0,0
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,10,protocol_owned,328142516,0,328142516,692626751,692.626751,691291345,691.291345,1335406,0,0,0,0
55qtPnHUZPFM6yqKT9D6ScWvxFV1M4Kes53UiHvEv1Q6,10,5cPvRUzvW3DKCLBXRbrWNoSgQPXF7RiFecHPgdZxeuLm,120281488,0,120281488,253884126,253.884126,253394630,253.39463,489496,240809931,0,0,0
5xqnc5FHLL3nYWgutnjPcFEpjErCpn2VPGjmGrFrFB4h,10,3k25Pa6ubrtEf8sDqiNBKtJxotB36FhT1HMjY3946Bpy,99567696,0,99567696,210162495,210.162495,209757295,209.757295,405200,200000000,0,0,0
2twhr435xVJ9863f8fyG2mbtgjPYu2bMQxd9bxa1aAcx,10,EwgnaBJohcigsQgxSB9giYox6J4KFpVv3qojFbHpiMjd,59939257,0,59939257,126516774,126.516774,126272846,126.272846,243928,120000000,0,0,0
EAssdGusswdBfzdP3fmAjy5TsUfNogoij31b7ikKrkSq,10,4H4TDsdaPEnKWfVzgQwDuG5WKnHfe1Sg2jQiuipSF3Bb,49931520,0,49931520,105392945,105.392945,105189745,105.189745,203200,100000000,0,0,0
HiQSJni86AhhQ1QydmpAsWKvaxFXpfzZLnBqEH1A35oS,10,3hjhbKP9YYZfZF5EKfsieWz6xwPU6TiZreTgjXRST8Wm,49785276,0,49785276,105084260,105.08426,104881655,104.881655,202605,104329419,0,0,0
AUXNPGoNbvXKcgpkSvrQEhwoX3V5jm5ER2rJEMUWwwDN,10,9T1hKsUVnk5QuhoZZuG7KgmbXu92gcuhukW7APs9gwBM,36510100,0,36510100,77063686,77.063686,76915105,76.915105,148581,73096619,0,0,0
8rpRBCk9yBWZh1sPJHSWV5Rp5JirPUYXQjcRZkoAnGaj,10,E1SZ4SkLs7k6yNmhLkCKZDNTFUccjPNk97q3qwYXAtWy,32941117,0,32941117,69530455,69.530455,69396399,69.396399,134056,65949851,0,0,0
4u59Fo5RcXBBtHraK42iuXXXTpjN9RhK9Rfhc1YyMqxV,10,3KRYFxj1ZgtmysACtazyWyXL5ECwKguL9uCYXdzpJNtB,24393255,0,24393255,51488057,51.488057,51388787,51.388787,99270,49000000,0,0,0
