authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
HEwFpxpjUGyKvm6cQvPMs23LWMbZBK4qrBUC4dbhRJti,11,AxNDt8eGnHQojNEPEavqAcUmxK7rchgex3RNZVKsYdGQ,9672052627,0,9672052627,10542985879,10542.985879,10344524043,0,0,0
BFmRwb5xubqbGhhutU5JiTkQr9pHWuWqFpFLFkrJChGe,11,D3eW3PJkY9VRux8BtUe9jXpaB5ZDmHqHu4TNGUTJ1VrW,9489879257,0,9489879257,10344408458,10344.408458,10000000000,0,0,0
F7QrpQmRC4duaWouM1sSxR73L6GV69ZHaup9LcQ6UG2j,11,A9LNc9rzpRrc55gJVmFhuMNcBJsuixWZJy4YM65SqemR,4543246819,0,4543246819,4952349713,4952.349713,4667901861,0,0,0
EhmFqKFjwF6iAXA4Zy3g2dbSrEpUBurGoAjrbPHYaApw,11,C7xGpCPP5UPKijhX4RmDz3p39oSvoAGBpicqFRRrKLsP,3510401698,0,3510401698,3826500636,3826.500636,3678054775,0,0,0
9nYaSLgHE8jK2S1PuFzsWh4a63uVBDJpGCNi9iBac5pr,11,53PbvxJqnWTMcWqKixbWbr9kfmNraPmU7E9Ub5kv2B4f,3066178590,0,3066178590,3342276849,3342.276849,3066203848,0,0,0
3nTUi4kdezJUr2mA9PBTSmbg2nwrQ8eDK8A3JRWxr49V,11,9Bmfm6QVNEcJWzhFLaDjfw982U1J9SJxPaNWVvFCgemT,2960477343,0,2960477343,3227057588,3227.057588,3037681665,0,0,0
Db3XYpurY9Ak5DvJSKcNcggy8EdTZ6pHifnUi6zaqSXK,11,2QBCRdjJfVPMiYXmJENu6THMpJG1Wgcyw8b2fGcusnCg,2500000000,0,2500000000,2612557965,2612.557965,2500000000,1250000000,1250000000,1706816804
DzajrBXdgR7gbDsPLqED6c8217bTQggqfFjD4gBBY1EJ,11,6N1Fniqr5GGwYFwmGPPTpWd6n8nCfUcLPvLKDmKq5RtM,2116713649,0,2116713649,2307316034,2307.316034,2250000000,0,0,0
3vvGKy59UHZ1DYErvEJxa4vA4yRR5UQe8njqoxKZyU7m,11,CSoaMQsjnwr1QPC9PuGeUTPCcxPibnmXCN8Rj6ZVVSh4,2072252200,0,2072252200,2258850993,2258.850993,2237643606,0,0,1762639123
Dfc8UPuSpYtPaMLc7UjcUdMXkfW3X1yojDLzp26WVzWH,11,BWS5V8dDxYwL6wpxnXT2v72zwAGv2Pvk5AvzbF4uLGsz,1732830316,0,1732830316,1862484620,1862.48462,1732894992,1732830315,1862484619,1768542507
