authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
EYXD2YVNz6dT3As2d4GxCDEftwWFq5jU73qZEfMpNX9q,13,CdcxGTar9RBrLEMqtNJ68QXj6WiMSU2E4BKQNkUkiXTL,143797745925,0,143797745925,150855440707,150855.440707,150855440707,150855.440707,0,149055831716,143797745924,150855440706,1759916460
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,13,protocol_owned,10351735262,0,10351735262,11591505262,11591.505262,10963284247,10963.284247,628221015,0,0,0,0
BMc2nwbsiaUNSecZgyDGxQhkdY72moFjLww4KPhugvPo,13,7grgXwuALfBJ4HwjPeNJBCNNGdEAK14XXwVZshGFq1KX,9040667064,0,9040667064,10123417675,10123.417675,9574762134,9574.762134,548655541,9405391223,0,0,0
BQBdTWCCxBB2FVu77rYhQsqmJ5avi2yFS1Ax7qr8LauL,13,7g3NprUruYXH7iiMgRSev2VoDApwDHTyeZMZqRLCEUJE,1528020062,0,1528020062,1711022559,1711.022559,1618290832,1618.290832,92731727,1572484960,0,0,0
aQXciw6bKkqVnQ8vArbtiZhnsEcrprGjRjhtAcMWUBD,13,5nMSmr3z49p2V3iKVkfnZo5P2LGgSQ34Wn1SoPmGgymn,759133616,0,759133616,850050843,850.050843,803980917,803.980917,46069926,799192675,0,0,0
9uYvq3SJCfCgwLRHC9uKVUdhhfb7Vf9JHb2449TobAc1,13,Gz4So9JDfNrNzm4oVLjMZWCg216S4JokiGxQnuoMF342,641900265,0,641900265,718777103,718.777103,679821777,679.821777,38955326,659928785,0,0,1731949590
FtHzaxxGxDkSFFvVhrEYnSpwyydmxvhdRt724n8mKhXC,13,3HQSqy2c5GbXzCoStAqrVfKAxkxpqYQJ2ExLhyCfzTvW,696901675,0,696901675,712911758,712.911758,712911758,712.911758,0,704372516,696901674,712911757,1727235614
4zMPX1qQx2Xe9EsSauU1fR7DPZkF6x1H1SrGZgJRTR8B,13,DVbf7CzV23AqNxfH6QWBfY6H8XkSJeiVQhsQv4ncqEzM,599999147,0,599999147,600082530,600.08253,600082530,600.08253,0,600000000,599999146,600082529,1721080325
3LuaXZEDQsUmnozuj4LLKMFKv5vRZY4NySatBTszu2mq,13,BXT4Nn6kkWoN6CTNpG8oPGVLcP7JtnMYSNoMxXHEhDqn,484731222,0,484731222,542784795,542.784795,513367666,513.367666,29417129,500000000,0,0,0
6YwPV9zHs4AcGmP6HdDukdLn5ofM6yQgoQ7zCCSxwLgh,13,zHANchg4DYT7fRyibTL6XEswFCKjSHFGSNLNvvmn3tS,492932304,0,492932304,540949807,540.949807,516618222,516.618222,24331585,492932610,91999943,91999999,1712392735
585XHb7qgXtWqPF5SzcPLvaSghAteXkbBUgfRSaWiSGn,13,8ZPuk4ePD26bkxbwosETmGz63Fa7sD4LLMvBy8TMFyuq,499998121,0,499998121,500027990,500.02799,500027990,500.02799,0,500000000,499998120,500027989,1715678170
F1wcg7hKXa3kFFhSwLhT34z7fXeP9cHaha9T9TJutdvC,13,3wqQQEuNsVKKT4p1Ur2uHtV2TT1NowAjXuvDKpXKPwcH,399998623,0,399998623,447904242,447.904242,423629323,423.629323,24274919,400000000,0,0,0
3GqRopS7PyxgMnGygMuxKirQgwrQPgqTDt7TBz8Xf2Ap,13,AJdNaVAoXvtj1QJMSD8ccbxCQZrUw3vT27neSCV6rmXf,399998533,0,399998533,447904140,447.90414,423629227,423.629227,24274913,400000000,0,0,0
HGXhjVAcs5SaKCJpGdpK78Xu7HwL4N5omRH1xdxJHnEi,13,3mX6wYKYZBeuuFE3rhKSNiL1afYSk3bxtfht3aT4UzQq,399998533,0,399998533,447904140,447.90414,423629227,423.629227,24274913,400000000,0,0,0
HQm24TARcxHRotMyvTaBdXzzamSn41ruAUSwLsrHPB2Q,13,2XFYQJEM8mgzqQUXtubjpvbvW2Db3KAedPQB5BPxSFwA,362569294,0,362569294,381415859,381.415859,381415859,381.415859,0,380000000,362569293,381415858,1769442037
6JV6DzDLUotccXmnVuAYvxZniybzKTfoBHRt2ZrFN722,13,5rVKKo1EZPACdEM53ywsGMTkFHK8ZoTLWfWcTFdL7fEB,339729080,0,339729080,380416549,380.416549,359799239,359.799239,20617310,342531452,0,0,0
62THyzeXv1SsWH8ChKr4d1amd6KzFNyzZcywjfJsEnEf,13,5bQ4Xi8j91tHrHFwC8AmfbghZvsUuLAo1Co8A9dH2r3m,284982975,0,284982975,319113807,319.113807,301818901,301.818901,17294906,285000000,0,0,0
HKChfUdYTZ8Eazykd7Tc6yh8NiUfLJUwgjhUkEqdVP4k,13,8fSipcuFVUFVMddNeohFDdpnMzb7f2amH6XyKw6k7VV6,267926246,0,267926246,267941800,267.9418,267941800,267.9418,0,267927000,267926245,267941799,1715518681
4f1xDGhYQoWW3y8FS8gEbu5S9ivmkkWnAmo5ExakJcpf,13,DfCRCgQ6BRao1ksHxZip5jtyAPJeHFmetGEeT7jT9WNT,241258266,0,241258266,250218847,250.218847,250218847,250.218847,0,243206329,241258265,250218846,1738895369
Amu9XEf26yz3jk5sxciSdDCYnA3hPDf7BDftTcZRhQu5,13,DxJPPg7bdPDGacRKsMsqaHCEcCxcbTzjtWq3ArLL2mqp,133755057,0,133755057,149774158,149.774158,141656898,141.656898,8117260,135126592,0,0,0
D8nNyyE2BUUAdjjkKFqCWUeAA39uHfiEg6tyFnHDWDJm,13,D7rdsxk6oYjF2k4RwpdFYX9Lf8nVBpADFCpdRU1nduLQ,122990945,0,122990945,137720888,137.720888,130256875,130.256875,7464013,108663765,0,0,1756233583
8JprKARijfbT2ubc6dtdhwTuMFLAHDN4xpsB4fdg6r9s,13,2uMnaVaK3hJrBDEHXXcPE9ZNWueCrSXA7jK8nJgZdu1W,110967852,0,110967852,124257856,124.257856,117523494,117.523494,6734362,111644685,0,0,0
Ly7bycYh4TYordWHLbow1GZ3k5cqPVBEZVQyuJxcxNC,13,DjqBMnaUYtUgTthV1ivfTjEGJwXC9XgvFx8bKAu4zZUH,82999655,0,82999655,92940063,92.940063,87903021,87.903021,5037042,83000000,0,0,0
CeHfJ3JMYmWstY9nq1iAMqJJ2e4FK9L3mELaPGSQUPwb,13,xeu5uyMG6eZK3U67z4a5WoKgf1TvS7DincXUSxykJv3,67806494,0,67806494,75927302,75.927302,71812295,71.812295,4115007,67806754,0,0,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,13,HfJonUuXMEz7eFWuoBghsEVuxcZQu9QL4vFYg5PcF3Go,50151061,0,50151061,56157374,56.157374,53113832,53.113832,3043542,52633928,0,0,0
HX3uREvUQkhYLy5RFnZ3FkJEMmbyUEHWw7mtM7CnxifJ,13,GHQiJdczzVGu2GVn4N2Ym4Wi86kmBbGwGa8huzPTToeo,46389965,0,46389965,51945833,51.945833,49130542,49.130542,2815291,46389970,0,0,0
DV6ALv6rXMtSSLY3bBQ2rSmyxu6gLn5HwLvP38wYBkPD,13,HrH4Z1t8kNhRqR6jGantJH7AWJ1yBndqUj33J4iFHxn9,48962861,0,48962861,50781565,50.781565,50781565,50.781565,0,50000000,48962860,50781564,1738912351
