authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
Hnx4fESuKQ87Bs3m8Zw8jSndMmFqEzRnXppPxuN55TVV,15,5yEdoRMye6Rj5Uj5EQSDNG2hCHMtdGDdUA4jMmLQTbGe,2749521066900,0,2749521066900,2777444026124,2777444.026124,2777444026124,2777444.026124,0,2750000000000,2749521066899,2777444026123,1772699096
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,15,protocol_owned,2411552532713,0,2411552532713,2436453469007,2436453.469007,2436066349258,2436066.349258,387119749,0,0,0,0
3CjzJ7BHVK2M46Hvtin1pAK5CXbJ9g41Fm9uAp432MpB,15,Fg8cny8qMNjAoLoCcyBemkomv3KUXtURr3jWoJMd2jkZ,1054189638638,0,1054189638638,1065074869833,1065074.869833,1064905644636,1064905.644636,169225197,1054545450000,0,0,0
CmHgSoWEzTawA8R9yBJSXqRNJqVpH12cMzbeixR3Rfe2,15,4uC5VtFrE2t3ayudiP5pVtGpSscUq2n4tdVjhBzC796k,935884362516,0,935884362516,945548010576,945548.010576,945397776492,945397.776492,150234084,936111333333,0,0,0
HMmp2yVFrvMfQuSpJBG9VNHbdkrnyXXLTZosvauGEaJ5,15,8QQhHhq1ucaAUgBSBCmnD6LiVXQ5Yr6HjtUrogL2pAM5,866429371182,0,866429371182,875235970563,875235.970563,875235970563,875235.970563,0,869851064600,866429371181,875235970562,1774876908
BxTExiVRt9EHe4b47ZDQLDGxee1hPexvkmaDFMLZTDvv,15,F4QAxMbRTLfMYYnKYW9xEccP45WkY4w3PY4wEJ2qANRc,364179972014,0,364179972014,367940380052,367940.380052,367881919577,367881.919577,58460475,366102433231,0,0,0
DDKuQ2eeh1KAJBh1L5Rcser3YdnpKVYYxcZBuJ6pKUUJ,15,BWXY6qSvKvzYu818GC7MGRZUaUvXdKBZmSHSb16PhpQU,323173694361,0,323173694361,326510684453,326510.684453,326458806565,326458.806565,51877888,323282722155,0,0,0
5HJFDTEdmkUB9GGLX9JmAhmxko6J6Xb5iT3zVfyErkaT,15,3Ujh5bBhBbcFHAgQXaKstgvBGyaqVh2Yk4U4uk2Cc76V,312394560208,0,312394560208,315620248345,315620.248345,315570100792,315570.100792,50147553,312499999999,0,0,0
DpKXDC1gh9L69bwJ85PzU4zt9DTZRufLNgg2AcZKz6o3,15,89Lzva9TF1Gicf8bmtneJiPufrcJjvimGqGktciS2acb,264676235564,0,264676235564,267409199264,267409.199264,267366711759,267366.711759,42487505,266343398928,0,0,1742717354
ECyvtxvY4KNBt5vfLtdsMrp77mKjL3JD6aha9m3aXBvd,15,HdZ5UT3ixu5BBhjQEYmrXKKB3Xnjxdjk1Pn9fas4A7vD,258862762919,0,258862762919,261494144236,261494.144236,261494144236,261494.144236,0,260919784175,258862762918,261494145663,1775066545
