authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
7wYK2PJb8rtP5PS4BJFVLNTQ3VxSTxw4pyFyY64AZWbn,16,5UPuJqXnWXhw5uoU3LuNG8rkdWTcQpfg7zkvwt5t1z3M,83162263598,0,83162263598,100771107186,100.771107186,100000000000,0,0,0
ELZYoPQj2gEXPGoNNZyTjQpQgixo8zW2RHayXHnRe6hi,16,AukfbYAkDHZjjJDjmEo3CpAfBH6Yst6nm1gdV9fv47FU,41896142975,0,41896142975,50744894331,50.744894331,50669258764,41896142974,50744894330,1774933283
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,16,CRLsXjCXS8ww5MK4MaRzPYwwxmotyStGk6y9edxpgVYS,22987681699,0,22987681699,27855111636,27.855111636,26133025588,0,0,1764634232
CcCoTKXg6jv6o8zK4Ao8cYF5d6LUZaXwPX4Kh43KVeB5,16,CGfhqyyCkVVc8oz81xw9hmJAMWMc3AomJ8CKzehUBcfq,7229957378,0,7229957378,8760834281,8.760834281,8000000000,0,0,0
9PfxNp4J8dVtaHSKrs247pLBRVZtoRzrHZt8Ky5QwrMW,16,75iXXyKbXC5uDXDG4HPKeEDN4NHGB6sGtuo3nKuFhjPV,6638240577,0,6638240577,8043826896,8.043826896,7422469688,0,0,1730726309
3Hq43uAkPu527M128JaRXm9v2GR5AYtxfy8fpN7XXNHc,16,26vY4nCxpnR3g3MFL9SEpM4iv4nA46x6SgTEyeGSairc,5958066263,0,5958066263,7219631934,7.219631934,7129813472,0,0,0
5fYavm77SzHALCKK3aS3G5E78upPPXEFvGg444hbbV2n,16,CNSfZfo5N2HvbNKqNxvD73Xuk8kfmV9i2xaXJUJMHQub,5539520093,0,5539520093,6712462466,6.712462466,6097000071,0,0,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,16,poh,5335304367,0,5335304367,6465005941,6.465005941,0,0,0,0
6BY9H6UynTsbH5ok7uzUdm69sQGdWeGzKXzrjXsjG7i6,16,EvfVDbBy5V69upv5jmPLWKV9pcjXmEkf8oWn9sJjtRm,2563155565,0,2563155565,3105880155,3.105880155,3091601658,0,0,0
FrjXYwbYiEoeXFdK3c8WJXuuVFHGJ9dUUfC9oMhuamg3,16,BFw4Eq1EY9b6UMRJ9yHMRZ6NgTRunGwadjtgNhu8Nsqd,1811117599,0,1811117599,2194605074,2.194605074,2086658725,0,0,0
D8nNyyE2BUUAdjjkKFqCWUeAA39uHfiEg6tyFnHDWDJm,16,zpsUTmBKAuE76f5sXTxTjBUonBGQXWT1GDymsRsRbQY,1158276470,0,1158276470,1403530847,1.403530847,1261055117,0,0,1759854662
EwTUSxaPY3WEnJgbjgFM2hKaPwEPpcDxiNRJgNAQWBmd,16,E6Uox74Q4wh7DGGQTYZEadHajSTSSNBVuG4QLxpK4fyg,932320503,0,932320503,1129730785,1.129730785,1026941181,0,0,0
6KPgHtxtufqkQRrKrv46UWYh94KLHJwSQ2tYETMH3T49,16,7g56M4BejEKi8ffceDBkudWJWP6vgqyR33i24v6n6yCN,906087477,0,906087477,1097943157,1.097943157,1000000000,0,0,0
5gP2dyysCsdtb9ba5hxTWfGDC8Q8iqEHmXDJCcRNRNeP,16,8bLBuWDtKEySDtZFiZXueSZ7vv8zpspkmhSoQfstoEdx,823711775,0,823711775,998125158,0.998125158,944105939,0,0,0
DK7GX9xhc3UEVdiNRRDAYvq1n2YSqbMsjESaqACMPgKR,16,4WSykK14BnF1hCdVXCTomRhcreqh78F24KzXMYuZAeZt,587027050,0,587027050,711324622,0.711324622,709736793,0,0,0
HhHRFBq4gWFbtVBw5sstPkxRE5q49uBtiS74MVuYLMuy,16,B9bhBgSa6htF5L1JPMS8XSrMHvA6P5Kt3HsVgcYK3zju,391215542,0,391215542,474051830,0.47405183,464073142,0,0,0
