authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
bgrfDSgMajwTvVXVw4xhAfUeMufuupREK6maYqHyzq2,17,B5tbwiSkW2R6TYqfrKww64LYobNDymnm8tcEh8km8Qae,25102097294,0,25102097294,69097505575,69.097505575,69097143960,69.09714396,361615,68397825671,0,0,0
FSMWjTafsTPZ3c1QWTuHhe7oZiuUPf4XcLrwwnwBgpue,17,Au88ovGPZyx48N4xB6K3g5p52XQUrxNksqTuYH6zzsDu,3787153784,0,3787153784,10424741667,10.424741667,10424687114,10.424687114,54553,9821494013,0,0,0
G2kPqMkmTBUuDNjDGzunYEaWfh6tuF7MXHCv9iT2PYdF,17,4xHwnKnUABeXVHXSUHBC3a9isuyFnzXf8NiXQupGceg3,2716415520,0,2716415520,7477364710,7.47736471,7477325581,7.477325581,39129,7112533827,0,0,0
EwTUSxaPY3WEnJgbjgFM2hKaPwEPpcDxiNRJgNAQWBmd,17,8YDnxBqPqUohTDKFKAahRDAzCQn6vGxPPpmezoEczYHi,2458545099,0,2458545099,6767535462,6.767535462,6767500047,6.767500047,35415,6652439184,0,0,0
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,17,protocol_owned,2210050290,0,2210050290,6083514073,6.083514073,6083482238,6.083482238,31835,0,0,0,0
DQEF1tRhgpDC2kLmRMwbMHSdHDELzLA9R4WsME1nB5ZT,17,DWGS4YPfFpP8RVFh23MAXLYBLJiDPqLr5os3m5VAYwgL,1777809069,0,1777809069,4893701533,4.893701533,4893675924,4.893675924,25609,4615291670,0,0,0
HCt6e8joXHbc3q42xGjJtfDMve2DvL3EBAsfTUZuwZ7M,17,24CBMa81LR3mbvDpfwPpDffvGntnmtzQx2yb8NHtw2bc,1256055548,0,1256055548,3457492183,3.457492183,3457474090,3.45747409,18093,3257007123,0,0,0
AmuT2mmKDXGZohtcTj7z3LXyDSJTS2RAzogFq4vNFRmv,17,4YaJfocef7U7EfdH8MJFhHauJtieHHkM45rVuJVBJmKC,455097247,0,455097247,1252727378,1.252727378,1252720823,1.252720823,6555,1248782204,0,0,0
FG5kaJBqKzfiEFgm6UCRxdBGM39xaZE9c4ULxNEGAXSX,17,x4U9oyb24YeeSLbEXNNgMVsJqTt2pgYus6FTkCKkMwv,427565809,0,427565809,1176942727,1.176942727,1176936568,1.176936568,6159,1108384376,0,0,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,17,CRrv4ikRfVQYEL1Q5qNWQQo6fRpekEbYZDnE2Cyb1EQZ,375316520,0,375316520,1033118269,1.033118269,1033112863,1.033112863,5406,1000900364,0,0,0
DPsEGSQrnHteWztueTfDC8ZdWWYNytKa5uytkRGjuUoZ,17,8rRSD4CSH6sCAv181rEwQUH77GZ5JHJW1vo52R2yd6U2,366322111,0,366322111,1008359731,1.008359731,1008354455,1.008354455,5276,1001363255,0,0,1760007695
FYmoBSEWVCHg98hxQUxCWJFnctaCEVaZEWzjdnFpDuGz,17,DnbT63mM18f5snDcTCsfDU5GEA9LFVXrcr4bAftyBNQ5,353757620,0,353757620,973211427,0.973211427,973211427,0.973211427,0,917425302,353757619,973211425,1773595498
4wvkCHoNFZPKQtKbJKwhgA6EN5La7knEJvkJPTXyStY8,17,APSw4nxHY1JzNXK5CYWMtuvLpeN6jHdPJ4imKdVqRruL,297698922,0,297698922,819463516,0.819463516,819459228,0.819459228,4288,772044350,0,0,0
37Zh3jyTwKQkmWBqpKd3AVv2gT1857LWp2qspKBeDUhe,17,3oHbQHL2HXbwbfWr6Acvn5gKGuzoREYPJuyXbJV7ZBAn,217921570,0,217921570,599863697,0.599863697,599860558,0.599860558,3139,565076610,0,0,0
9baehXJBgJxe2cKe2aR79sAkzfGCcUqQALmBSbThFwqU,17,FVpWYU9HMXUAGZVyrChLuLLBPtEgwPJoXDfxd3A4RHLZ,203225037,0,203225037,559409158,0.559409158,559406231,0.559406231,2927,528079882,0,0,0
38Bf3XEzoj5v4ziBy1sWn2P8EaY3LEgZ8RXZP4HYW7Gp,17,5VZ3tm3txSCVjvjidzmLiJV69r9MzGX9MpKbRXQQnCYD,141302785,0,141302785,388958334,0.388958334,388956299,0.388956299,2035,366450829,0,0,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,17,ArLHnRWEFguidthwN1mkP2chpDFWTZzYxioVhhUkAchn,140112664,0,140112664,385682337,0.385682337,385680319,0.385680319,2018,384467721,0,0,0
27paKTFJ8D9V7wa51RZZXwESn4Xvc1nLdwdAZC5tifZK,17,HwAtNpcuadq2fG43woQDkgmYY8D1Q7NH2YDGMUgvU3gu,93219825,0,93219825,256602357,0.256602357,256601015,0.256601015,1342,243389353,0,0,0
4SMKPjjwaxn32fpWmbk4o1VdSk4D4MY1CWCieuqsjbgM,17,EhtNX2TShfbtmo1mZsV9z5sHePRpqsUEZg5dNaqTizFq,68600246,0,68600246,188833061,0.188833061,188832073,0.188832073,988,187033374,0,0,0
FbBk3jqf3jKYNWceDo2pSxf8FA2VqzptQgLuaEw5Yzcw,17,9qqiCiMxK4AgvC4nu2PN88n9F6nPsZVfVptfLFQbk7FS,64594492,0,64594492,177806587,0.177806587,177805657,0.177805657,930,167103162,0,0,0
9g5K7TunhbwkAVhfTrWKBqeZak7Jm3wHvGUKMZytyeBC,17,BCTG4sjTN6wHZSjCxwEhrJ1N1999NRLCFJequ6oGqGeK,62402644,0,62402644,171773177,0.171773177,171772279,0.171772279,898,171232227,0,0,0
7HN1x8sAWbQmrM4zTvVHruyAdw2BtSFBznhCP7J5RoFe,17,GNzipzhpxGb4Bk8SNn2NdheDJgMPW7FZVyQkHYf6EjF5,60565673,0,60565673,166716623,0.166716623,166715751,0.166715751,872,157060617,0,0,0
EYKg2jrG9rJ3MGxmVQUjb2JcwzRX1tAyWF87gBuu9EoA,17,5FDiwRM2eHvmwa7NV9Km5ZW44NPjGbUxXV9QRNcbpAqf,41861172,0,41861172,115229517,0.115229517,115228914,0.115228914,603,108555634,0,0,0
CMfVEqoDTyir7RVMcqtEeAgbQLVBjTEttgzsMWmzqZ3S,17,CERUspArAEcFWw3zMp6Nmt5ob9jfBC2cUiuUfvNkJqqj,38659459,0,38659459,106416293,0.106416293,106415737,0.106415737,556,100245728,0,0,0
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,17,7zZxkxH42ozmNDSMQmgL6x3fAbnASnCZo5o4vrvAugn9,36853103,0,36853103,101444012,0.101444012,101443482,0.101443482,530,100000000,0,0,0
6cqkCfKZgugqurMS9HP9ZUziJnSJDAPn1Hb9n7cro3Bw,17,52KVWMp88LiUPyHqqRcdxSweXoZWcSBav6Y2smhBARC7,32537253,0,32537253,89563950,0.08956395,89563482,0.089563482,468,85153544,0,0,0
3tQWxPqzneRViww8Zu16TEGVjP5JiZKoF2EMwFUpGJXh,17,6bMdU2UJyHgFKWQdYdvCR67uVoC6FfLu3zx7nPF5jvpt,25846761,0,25846761,71147310,0.07114731,71146938,0.071146938,372,67742448,0,0,0
3UDqev3ufSnSwoH6Ep2RoZVs5WZ5fi2xS1uwVYu46fmV,17,bgk914QfnWuLuY3dRH2prwCf1eHZ1KYEv3YG9vDxWS8,25182049,0,25182049,69317584,0.069317584,69317222,0.069317222,362,65298397,0,0,0
4dVmFczTw2ekRtGNecCKGwvn3Krm4LQFz1kE7tfBN7LU,17,DKCp6TGcVp8Stf8HBLrMheX5v3u62GXp6LGy9kU2xZMG,22082050,0,22082050,60784346,0.060784346,60784028,0.060784028,318,57602830,0,0,0
4DcbgnU1CZUg9sPiCTdgToCo9geW1v9xFRaDuWz2aTYh,17,Ekn5SHZpVzVnE9Vc3zZSsLkPThp3rJup21v4MmEErbmT,21219619,0,21219619,58410367,0.058410367,58410062,0.058410062,305,55030379,0,0,0
8HrJJBbVtzQ33HQQRARKmsjqw26zseWWnT917VxiLBYk,17,6DsYpeU64iTzY45U6NMdagKyrPCPzyBZEczJF96tDY2u,19015094,0,19015094,52342062,0.052342062,52341789,0.052341789,273,49844414,0,0,0
GZdqBRvt7Pgem6cLpVbgfHksvk3UEDkuXX4pjHLAiHct,17,GUc4zAQKf3shUg7baAjaMfb53s6Mtq9uuv8W4zxzPeg1,18175598,0,18175598,50031216,0.050031216,50030955,0.050030955,261,43598299,0,0,1771441272
xGyptrUjv1o9zTmwGDGfdD2Ds7cGPzHicCVij7nZSFk,17,3vmQkkKkAG1mzvptnvtRvzfsr1anYa5ksFvd5J65qRtX,16746345,0,16746345,46096971,0.046096971,46096730,0.04609673,241,45952163,0,0,0
5e4CUjXXpmrLgnEiKM4igY3HabLuf9myNCcd1dcCZdwg,17,5qQSZZUrQQDJcbAtAMCjvEzYoe7MyvmU9w6m9a4wGd46,15800803,0,15800803,43494216,0.043494216,43493989,0.043493989,227,40972327,0,0,0
B51LKtaY1pWYvrcgZmv3wqUEuwNENqXjfHN7ZBJsKro9,17,2QmHQz4ovi26ANxiTX1b3bU69rGpnyByXGJ2Bf1fe2SR,13335244,0,13335244,36707374,0.036707374,36707182,0.036707182,192,34579000,0,0,0
6ZR5SRsJMcfmWsCR7Zn9KAzFAtJsL77BGPuGBWAd8rvp,17,yfuuoskhmUbV9Tpp424MpnFdi49CtpT7p8rUMettTGn,11569409,0,11569409,31846633,0.031846633,31846467,0.031846467,166,29996365,0,0,1734406877
HtK26RMtQUPDs1oB36AVa6DBLRzCbttnZ9LhoXpEWSaU,17,EaKDVJfxeup51K9b47PYDQCSruwqHFujcsjx4ckHu8Th,9913221,0,9913221,27287712,0.027287712,27287570,0.02728757,142,25708630,0,0,0
7f2TS8TvgSAwDcetUYaEzwzwDVLZ3WfEF6UdNuvgueXz,17,Hfp8fBu5gu5gjb5NuRyFHfjyuAXK1cD6rwwBNdhGp1dq,6869627,0,6869627,18909737,0.018909737,18909639,0.018909639,98,18850590,0,0,0
EWgsrscmbKCPK3sewX9aEb2W4mPZvamnanvRftFL2qMy,17,8UiitfGJyfshGbo7wK8HRyt7FEDvYdcbAQrsQ1kR3RxU,4978462,0,4978462,13704005,0.013704005,13703934,0.013703934,71,13097212,0,0,0
BHhUwLe51kgTtMDnRqYGHr5FwzWG39GvtGdaf3meAa4s,17,BYbMW3Ah2bWa4TrYExSBSgzZFuHFchz1pX3ixfNkYCRY,2391096,0,2391096,6581870,0.00658187,6581836,0.006581836,34,6244967,0,0,1745654483
85Y9yx8NdAkjs8HxfqNWzU2gN6MvoWK1yi4Eb5i9m7Q1,17,Aw6xLUMfKjX6SDCzJDqa9ZXmwAaBZmbBVcmKVQTJKiAi,846565,0,846565,2330304,0.002330304,2330292,0.002330292,12,2218785,0,0,0
