authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
9s6C4BBXPU62DmFGtxCw4QX4EAc5tVv7cdDxrrv1h2kb,18,AHZaVL8bUAXtusPurHBfk82qrejvNF7hbr6TqWuqbpk9,1106042880,0,1106042880,8261781650,8261.78165,7761951223,1106042879,8261781643,1751746695
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,18,poh,279887727,0,279887727,2160859898,2160.859898,0,0,0,0
85aQEFVKgeeunkFaSYyzWjXkT4wZvLn5tsURu3U2f5Ne,18,FWXt8z3vEoaBuqVqGhDWyFpGJrRpJdTQQjC6hqFQ9p6q,290845289,0,290845289,2160537382,2160.537382,2070000000,290845288,2160537375,1741437827
8p7GwBdbZVSYeYaMWPx2WMFp5biqEhzcH79xsoBJ96MS,18,78GLL1W8PWkWg7uKYqduDeK53gNmC919ydVVNjVxPQxc,140764754,0,140764754,1086767595,1086.767595,1000000000,0,0,0
CGFCbVNXXBDcFZLww7CMBQrfznrSqXGDKFmJe5kN3F4h,18,2sF9oBYtus36k7rzNZqa4brwBoa9HednY1WmFSX61G5f,13980264,0,13980264,107933963,107.933963,100707714,0,0,0
7oDUPuBtaxF3gP8aJBJeZRQXRxG32avWcdK88Wkt25fF,18,FH83DPjxU2aW1wv4JD4JDgZzutrDXY9HN2ZCsqqqFq6M,4976338,0,4976338,38419581,38.419581,-33695078,0,0,1740498858
HXTbYJ4vt3vk82Bf8x71Fp7fgjKpd13uE2ugCKRo8Thq,18,GP1aamGaYxLaHxDzYp7TiySs2KgsAhxcvmWmaktEWWiG,5106399,0,5106399,35782933,35.782933,35781696,5106398,35782926,1727242227
AURcN3ktRTHw8RNAZZkBm6NchUAMU4HbwSnwrH1sn2e,18,6MiqebtUWFC5BRxcELG9t1mugzCUEyMyGmNxesN5eLeX,3559684,0,3559684,27482371,27.482371,25000000,0,0,0
AxhYPbeU2mtDAEYGghr6BPoCXnNHkaJ19PtavL1pw9o5,18,E2XrBZxTStAc2Q4jyGrfMPdCWBdB9kPXwDobFjDT2DTa,2072054,0,2072054,15997194,15.997194,14033843,0,0,0
7Gf3RAzMCp11fKjZEdLGQ3AVNanin7WsXJ8TP6A3Yckz,18,4XcKBC2KNVowKm9A3MJaztxQaN7dAFaC3Ydek9DrRUAJ,1448581,0,1448581,11183700,11.1837,10000000,0,0,0
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,18,6RZn9J5VxDf9qLREkddK6HUDNAGtocWDY6uXZKQuvXf4,1308091,0,1308091,10099054,10.099054,10000000,0,0,0
43i1fNCqWLuE7f2qK7JthVzx3Hsw8Q2QbGYzMb7Tqg3v,18,DcvG6mEvBB4fGA8MQnrgTe6JMRDtrXgQVSadCAMurG3w,986144,0,986144,7613477,7.613477,7000000,0,0,0
