authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,19,E9QTJNeKdA5jUufonmeeQwF4CWLHhj4kRUjQN9Qks3Rh,3264904613,0,3264904613,3307223470,3307.22347,3299614373,0,0,1766976912
zVz7sHuZEFGLtaBwVicT2C5noprN6SdHm8t7L9xNvDR,19,4dEgFeffUmm9QJEF29eXhZYFhVsW1y6BPuZ1QfWXaL2k,395364267,0,395364267,400488877,400.488877,400022840,0,0,0
GGSsPxHWmUTf2GD2TGG73RJfHQNsEQ3MaDNrbVxhGhB3,19,HKGEseNzA6RYVpGj7NxwwHX8xc2wDYuDyc7WKESbvbnR,202806296,0,202806296,205435019,205.435019,204929244,0,0,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,19,poh,102834884,0,102834884,104167803,104.167803,0,0,0,0
MUSKfxn7RCYEg1r4eEpUjPikC4iCFqhCbg6b5Q7XbK7,19,6aQWRPXFG2td59hVg5onzkksZgotDUvJ1RNH3C8oL8L8,80408631,0,80408631,81450867,81.450867,80496321,0,0,0
FXhcbmZA2AZP9aNpXPzCZfLmxWaQdv2QoeAjhSP8Rnec,19,7XYA5XjBHgS3PT9UzLx9yfbAPFygvQwSdzCp8ovjddbf,61278641,0,61278641,62072919,62.072919,61846780,0,0,0
3ohG98dVzhQ1tzop3NSDiYdaSnrD82oVKy7Mya3d54TD,19,3EdrD7ActBcrMAuChPU4yfVwpzU5CgRP28AGQSapiF9U,59622890,0,59622890,60167912,60.167912,60033428,59622889,60167911,1739062814
27paKTFJ8D9V7wa51RZZXwESn4Xvc1nLdwdAZC5tifZK,19,CTQso9jtBLSqJTD8zcS4zbb9nn7YcpKKxkM3fKm7R2m4,7225382,0,7225382,7319035,7.319035,7294825,0,0,0
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,19,39rHPMotmyi5o56CQS2FXVMy1Xanwcg16DXQuN3pM7gH,4948127,0,4948127,5012263,5.012263,5000000,0,0,0
7MC4ny783Gxcbe6MmExojgN9CDGCjUPQYgXwnZR3RfCV,19,FgVu6AS8vVPuv62hK3nPS9x9qKJbAz11wQsiVARAapzH,4033732,0,4033732,4086016,4.086016,4033822,0,0,0
C7SZPpDQTbeBF2oYStvhNzeH4KeHbHau3Zf5zgW2tiGP,19,jUjDhVYogMjA2E87rE68JdTYt8tmJbNc2eMNHMaRu1f,1973142,0,1973142,1998717,1.998717,1991403,0,0,0
32tCAD74rE2yzjCXNJMqhFvSDvEGX4xt3nrwa7zyAeRs,19,5N6dYpDV2xYtH8SSp5NzmCY6tJHLQrckR6UgrgJWS6DM,991758,0,991758,1004612,1.004612,1000000,0,0,0
282UzmjNPZBEvtwwf1YTghLzALUwNbrYnKWNXLJQ65S4,19,EYJotaoFkAV6hMJQCybky1jf1BdUaCoHUDccGM6hTudZ,989625,0,989625,1002452,1.002452,1000000,0,0,1761712007
3fwAz36Vv3j3LNz8QZZ9j36TBDf6xyEPmCvduskdBt3C,19,7GbQHvmu6d2w2aBWe44BKqjk6GpwWHWo8J5YssmQVp47,534439,0,534439,539713,0.539713,539607,534438,539712,1747243157
5vR26aFfdzTQnfBYBZ1EtrP5gjMARZUqszZL1SJU2t2G,19,E731v2mDyAcswCedjE22UDsigrwX3Kqb3e3e3GB7Pvhs,99044,0,99044,100327,0.100327,100000,0,0,0
Dooy8CRe47hEqDMyqMBNksNUZujwj719u3oYPx39UEm8,19,GsX6SWK7jXhtwojjb2X3casLZEdoxEpdLHa11wNR9wZY,38879,0,38879,39382,0.039382,38886,0,0,0
BfcmWBnvD9qPppSwunioKxiRtUhxx3r4XpYDpyG8KBXU,19,ChiGGw55fbifu3Gitjh6m7Munv1DiaLvXi8jAZHZdEiE,36000,0,36000,36466,0.036466,36343,0,0,0
Gxoy93jv4759k2mhMSQrTt8keL61bq2WZ1NugWNZZvFd,19,2zarRx55bUcvczEfvqfarq6fzi4DTKoCoSNxMETq6br6,25674,0,25674,25976,0.025976,-2488,25673,25975,1773766117
85Y9yx8NdAkjs8HxfqNWzU2gN6MvoWK1yi4Eb5i9m7Q1,19,HnBSYg9VtBdPwmwW2UpBR3gPd66JEruLLa6ogjsMVF5Y,9902,0,9902,9999,0.009999,10000,9901,9998,1749142312
HCt6e8joXHbc3q42xGjJtfDMve2DvL3EBAsfTUZuwZ7M,19,7jD1yk4GpivREQiDrsaAvBoHhDScb44ouJR3XRRuhYsx,2445,0,2445,2476,0.002476,-69999,0,0,1737342742
2m8Dn5owNP7LF8pEdsxdchFdbWQmkzh7UfQosjdvJ6dC,19,3CHgc7e6EgSjtuHs7i6C9ywiEGpCEdNvLVna1QG3GN3k,1,0,1,1,0.000001,-1337886,0,0,1739371984
2zuzoCgUv4XCriAQfDZEPhpZMSwdnie1gc8jvSzCB1Xi,19,GQvavWV5XDHhdkUQeJ5nFwFcsbGb52gWrE6oUzeSzGSm,1,0,1,1,0.000001,-10244395,0,0,1749196220
31dhwHQLkxkmL6rbyCXnqHtTUM6taHCVewRHP88iQtqN,19,3nqHgcz1a1wFhr1u3up5VRe1kx5r96gPciCaQGwtBnDt,1,0,1,1,0.000001,-69019,0,0,1738623087
39JGKSS2BNVybbVdyi2bD5dWaKUANiNgpAnRwRxkSQXY,19,2XCMS6Ynq3u92Y5kjAabFVVvZ1USjMQTthP9D4VjFQjv,1,0,1,1,0.000001,-30058,0,0,1751271927
3dAmGsDnvC5ufdpxuKPtbLV5yDYUGXFLiJDd18rhs7zn,19,6q5UKb4vjnEW5QHeFLmvFziMnoUGb52DgFErZiGUeaCV,1,0,1,1,0.000001,-88085,0,0,1764477458
4eEdyRE593My2aMBcf25GvVM52Cb3T2JdKxVRXqzwwFv,19,5JVPusydGyGm9kYu4axjZs3HXNiZmebwthXjgWk9Kb7G,1,0,1,1,0.000001,-136503,0,0,1735329351
4kgupQUDqXoCFtoBttJKK2qDG11jE2x9FE6XFTLGy3Wr,19,3MxsnPfMqYhJ8h2RmmuUD9rzWByFcnU3nBNosXFFbECj,1,0,1,1,0.000001,-67125,0,0,1766720487
4xwTrcg9YPCbv9rrycEibuKxNxh33hdVNi5T3xXvWVaD,19,DLhwZymQ3ouV9cwDzmo2BKRbLPb3kPVDp41x3g5LvRNW,1,0,1,1,0.000001,-6236453,0,0,1738598278
5B6gEnqu6cmnAoMHARYsPCPQwhft9QABWCaakbodf4rq,19,FygTx62vdxddRn5nCRZ6JsLA9Qt2hVkKy7XVpaDPa8k2,1,0,1,1,0.000001,-128717,0,0,1739095080
5Kyjexx5L22ZhcBcorykUofzNX56batXPs1EwHtJV8f6,19,BtquGokpVUzWA4C5bUbSfZtoC3ARFns4Si5GTpusezR3,1,0,1,1,0.000001,-49705299,0,0,1762800654
5PopcsCAZQxT71SrfuPG6BLm6359o1zA23uEKhySdPMh,19,HLcXC8zT3vrF29qaCsSnkCbWVtQdaSranoVGSsRgmPwv,1,0,1,1,0.000001,-68099,0,0,1736117356
5T6tGAVgVNvqEB9r6q7XPGfDf4QbsfMiDKNk5QPwZMyF,19,E4Vueec5jQD7d2WZJqdT4Nwg6RpenHptqgW2Cve9V2EL,1,0,1,1,0.000001,-730,0,0,1760863633
6JpxTdsPaEY8hL6e1oFoFVzFgqYwJSCBG31KowfW6rpz,19,NNdefQ65gYgeMCqPYSfDt3gCKkjFcn1FDZYJxeEBzDP,1,0,1,1,0.000001,-1364652,0,0,1731331814
6yFA6skV6HUpShco9y8ASwHpQSYrj3u1Eqr4N9YRrR4N,19,GbvPXg4hkFrHrQDqeNnjPhnYMwz7LWwJuh6qdeeiC3v7,1,0,1,1,0.000001,-4779695,0,0,1740757557
7aAU4dyQfYjZMP8EcAktrftBPSxVMdRnHAKnqcgfk482,19,7orzWzwqex3x6ZWdkWohAk1HLPKeoPkrD9iAPEoc4ve5,1,0,1,1,0.000001,-4272,0,0,1732279390
7EtGovzHsbD8cKGqq4R5rvKBbncR4Kc7CDkTjof2QBMf,19,8eNrsTjsakGbMUyFg7P1nvL4FjZgts5rBoPF9xV4RMBX,1,0,1,1,0.000001,-27177,0,0,1756468980
7swcw2RCjnsJPQuJUfbzjEsX9YjEyMhK35g8cs6rdxiu,19,B6MdA5mp67ZK8Mu4VweJrxcyaKDtvNPajDxrhPHGictq,1,0,1,1,0.000001,-662272,0,0,1741451579
