authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
BUGgyAzr4HCrMjxsc5gVWV9RqQRh6NfR96x2yexMrXm7,20,BTafshfyLBiqupimqEKDG27uXeb1sjNArCz5HubuMmG5,53056253618,0,53056253618,430333164333,430.333164333,430333164330,430.33316433,3,405010000000,0,0,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,20,protocol_owned,28502774964,0,28502774964,231182725994,231.182725994,231182725994,231.182725994,0,0,0,0,0
FXhcbmZA2AZP9aNpXPzCZfLmxWaQdv2QoeAjhSP8Rnec,20,vCe44qqwR2DCyvXTmrLjZ9JpmWTzV7bx4Sb6KAuWMiw,10205303561,0,10205303561,82774042169,82.774042169,82774042169,82.774042169,0,78180797146,0,0,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,20,BWK6gjEgZrkEQfaHnVQjgjnMrDWJ5BTo7Yq7k7kqUXfc,1779460741,0,1779460741,14433001187,14.433001187,14433001187,14.433001187,0,13632587063,0,0,0
DoUNUkL2AWWXjsGSCAhhPWMTLZgVcVGysLwE46HAs4xY,20,4QerS15PgZFZxUAVW2QQ8CmNY6oSFxyBD1LbEW22VnwE,2,0,2,16,0.000000016,16,0.000000016,0,-179586180138,0,0,1761905112
273pPaNDA8CqUb46fevr2B3DUim2W9fGGyJhTTUfD6UV,20,4SSqL1gsRgZUt4N5pu4fKka223XAk6MfRXqUbPAm5LqH,1,0,1,8,0.000000008,8,0.000000008,0,-594128,0,0,1722232611
4Y1CcJzYUT2GCQsxqQzAcRGPXDkhfRQLRD3grkkzkbUr,20,HTxT1Ue33P1y7wXZueFQokicn1BjnuNA4mShWu84Khv9,1,0,1,8,0.000000008,8,0.000000008,0,-7359585,0,0,1739119482
9KRWWdXfkrjRQuJwJecBFTqcfVLDMoeHhBdwoWsRC5gM,20,AVqw395mGgkJQYFnJFcHRVDENvppPCgxy2P4WeLjyhuj,1,0,1,8,0.000000008,8,0.000000008,0,-25497974,0,0,1745677965
EYzDz84B1pzKV5qPsh4xJg2gweqrQULPV9HhzJAoLFq4,20,Hn6b1nuCcH4kpS1Yqm5hsPc3KkPhXxxWNiaKYAodZVLa,1,0,1,8,0.000000008,8,0.000000008,0,-43973630,0,0,1733059139
FhWS6PzqZtEBzzhaeUbTPAQ1zK8DQQZvweWgmjPczZg8,20,5ffHkKu6Yi5kdoBLCTuAB1UYNH1z57NxfVEw6VoJBPZ9,1,0,1,8,0.000000008,8,0.000000008,0,-8191,0,0,1724533253
FvmgoeYi4QpiK7xyKRLzGzYrdqAfwYzTZdQByFWnRHcD,20,5jgzCb5pNwe8Vtmzir2ZS77nckc5sucNQkPuXG47SunK,1,0,1,8,0.000000008,8,0.000000008,0,-99343228,0,0,1731789910
GjSvQ3RXJPmetSaFftAQE1tqXrhSUxbkZDxV4B2GeCPR,20,C2Fp69fvnmyAf19yfDBkD1fjqLRrhq16P4T3TQZKGV31,1,0,1,8,0.000000008,8,0.000000008,0,-94141645,0,0,1730012941
HwUvurCPfmuhr6WwPjnnLK2EXxRmr7oqx94mTB5Fyr1U,20,GzTKKHrnSztjkK2RQuWuwC4CXtXFqBy9K1BpvyCqgSan,1,0,1,8,0.000000008,8,0.000000008,0,-66934775,0,0,1748369322
