authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
5Kyjexx5L22ZhcBcorykUofzNX56batXPs1EwHtJV8f6,21,DGxERQzZ3KRYDkQxzHHKFoHh1aALEjHzmwgjo1ffD2ay,3876571272333,0,3876571272333,4630226427653,4630.226427653,4332375242617,3876571272332,4630226427652,1762808570
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,21,poh,3358529567169,0,3358529567169,4022029901080,4022.02990108,0,0,0,0
DvHp5sYcDW9KHXZ7oJTvpd3EsS6BZdp2gysjuiAWMS7p,21,2qbKaCkExYpxaF5JqEcVtS2rMT5A5SDHqw4cJ9vtCdqw,3080073844294,0,3080073844294,3688563358317,3688.563358317,3494241402378,0,0,0
8VhYbvykCWXZM79LtLzThgnJRL7vnaw7D569QhvzB8QJ,21,7mGGiKaXzx5Uh3wE3WAEewaGc4shisN3id7RPwyjqb6m,2399774008505,0,2399774008505,2500512791053,2500.512791053,2499210000000,2399774008504,2500512791052,1740258258
AhqNV3d8SoUBkXNVTgVy1CLqosqpit9WufokQamzcZoD,21,5EW251c4Mq9d8RFKT1ZeyK9HB8n7jHJzXtXAbETrRNKE,2083454592133,0,2083454592133,2488529845056,2488.529845056,2288085742153,2083454592132,2488529845055,1765896722
3FXcDQfrzQ7ELRajwnzAUabU2rRDBrJDoUUebFRjxC2K,21,EBP33J3TZAX7HwA2qoWpC3adEfyfdNM4KFzv3gF9cEvE,2023903657420,0,2023903657420,2423739575385,2423.739575385,2195895839256,0,0,0
6AH8hNNAjqKkjMsyFajbFY97NUAjCsmFCfncPFsv3THy,21,AuaoHgvfTmwV7aNKYP4RUZxaz6uyXgZknSKR6Mg1sCtn,1264189862712,0,1264189862712,1513939159022,1513.939159022,1371882092893,0,0,0
9PfxNp4J8dVtaHSKrs247pLBRVZtoRzrHZt8Ky5QwrMW,21,5fWVjvbfgnz3gpkjFwyuAKiNFBiky5ntQuA2NWHXG6TP,841775233029,0,841775233029,1008073649351,1008.073649351,1000004597345,0,0,0
EgvsE6nJcJzs1jRPuCjXZdk9KkLysGj5us9dzgLUwdPg,21,FxdAMfSr8nk81mvhcp2tzCbyH4nZZLoUDCpvZCMKT6Tw,633398255494,0,633398255494,758530384187,758.530384187,700218094315,0,0,1766723686
2gaCFRJMqq8ZSvkArknNLeTeoif2xLmcKt9BcLjTXh6B,21,4kvKo57a83FskVjhqYWoFoWTmmcfqBm7Ah6Tg25kHhM2,512665208583,0,512665208583,613945703596,613.945703596,600599496480,0,0,0
GZ5ojYtQogiNRhs3qsRLP8dR3KhAdK6Xh386VgjY1kF9,21,Bkk8e86JDdFsiD3RHuuxhunGSk5UgymTv9dW7i2DZi8w,478363719697,0,478363719697,572867722535,572.867722535,556204625325,0,0,0
9CH6D4dRzChHzqBdXoSt1du4bw4frqUSPFXkPvS3FyLX,21,9oFCyNsdFHo2dfob8s1QetZJwBFNzccsVFrRe8Yc3bs9,456591529919,0,456591529919,546794288746,546.794288746,531569431975,0,0,0
2e5MahTCBresMuv42sGCNRjCyGPe3siRtcRRddbMkpdY,21,C4UvHvha1udBZ5K3pzDNxS46mvYBf11EPSscCTBRvUyC,401330411750,0,401330411750,480615961238,480.615961238,472388863080,0,0,0
C3c5zqNHA2p12Csa5pZ3VKoQpZoGZG8Xt3hCutenZh8d,21,4ZY9WZiXxbBYTgVGZDbGoW1Ys4qX43A488q5xg8ZJ6oz,294196249399,0,294196249399,352316717242,352.316717242,312088674332,0,0,0
