authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,22,protocol_owned,17657469576,0,17657469576,39734243052,39734.243052,39656365047,39656.365047,77878005,0,0,0,0
7KKFjTtPqKZcpcXjZLD1zuq82UmTkrwefwTd1g6Umgvo,22,HoAtNEfb4gWdzEazAUKKMnkg1KKNzyzMry3u3fMtUsv7,6799345763,0,6799345763,15163004546,15163.004546,15163004546,15163.004546,0,13758458045,6799345762,15163004544,1751747409
HopeqcqEqvAuuVYZsWZySG8zckjS24aLvdEyF3uMHgXU,22,6uGEzyNjww31jrmHEQagRcSUeQrnYwaaPttDExb8tvuc,4928345102,0,4928345102,11090154293,11090.154293,11068417906,11068.417906,21736387,10000000000,0,0,0
3jDbRjAXoRaaJZCTrr4kBHD3M6TKpufhSfh97SQGELFt,22,7ScmLfibQ8ht8VLERTTYMMqAdyWTbwGm3DdJZwA81pNt,3919154537,0,3919154537,8819193383,8819.193383,8801908015,8801.908015,17285368,7875124105,0,0,0
Q2yu2mkhJPsNNwHT4EeT3zBfWM7ooE4tANLCC5pLBW9,22,779oNqDL6iYNxrQ6ktNqLD4Cn9bE79VFG6KpjJHUME8L,2489128244,0,2489128244,5601234432,5601.234432,5590256172,5590.256172,10978260,5000000000,0,0,0
Hpp5DqoZiQFQsBo7gVd8HqNZDjaE8ch7C7KXAMJkee8c,22,hFUkhiLHfB2gDYDWMonY3MRm5WCR5viQA769k5LFxk6,1027788339,0,1027788339,2312811100,2312.8111,2308278056,2308.278056,4533044,2057007837,0,0,0
GhcvZa19UEDENWCmXHXbb541qQrHyKowoSBVFdBC3wPh,22,EJcj4GdFaDauomjdmhVt64iBHNcnhPmAh7YSHczWb231,498704242,0,498704242,1118320243,1118.320243,1118320243,1118.320243,0,999497902,498704241,1118320241,1765207391
A1jzoXJYiP1Wm7ax2G2Kx7fBh4S8bsg9rsv4vGQLom9U,22,3KQThmNoEhC45nWNPjDoUyPKnpW1gnd5ZEUcswUJKWEX,492639892,0,492639892,1108577483,1108.577483,1106404703,1106.404703,2172780,1000000000,0,0,0
CrD8ZBFfycow2VhxgjUmkMGkBcdDaAgNw2xS7vEX6nGC,22,9AUaZk2i7QUkZhdbEdLtEn1o1rHhwTjV6uCpoWGZKq9g,425829779,0,425829779,958236051,958.236051,956357936,956.357936,1878115,927161658,0,0,0
2AV35oWyAuSN5wmuy26VD5JirjVpXkfkv5ZMCQ2LtpuV,22,EzUQNPmV9cJXnp7S26xvhdBJPw2NWfQ7jJaaxQGLrpEa,262093080,0,262093080,589782702,589.782702,588626745,588.626745,1155957,527569000,0,0,0
