authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
7KKFjTtPqKZcpcXjZLD1zuq82UmTkrwefwTd1g6Umgvo,23,BxXWnv3qrbyM6zxtoLqstm4vXQRMvSEo9NeLjwBPXYom,867876291156,0,867876291156,10169579686556,10169.579686556,10006760558520,867876291155,10169579686545,1751747419
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,23,poh,55128861768,0,55128861768,646936382684,646.936382684,0,0,0,0
8pxiZ7zbQPFqP9dkXoUpC2WWkXQz85eadrRp86CPojqr,23,6WZuPKXHxmhxabcu5Yi31hiiewqttQo7jSzJT984uzkP,8575983398,0,8575983398,100639039144,100.639039144,100399958894,0,0,0
3FXcDQfrzQ7ELRajwnzAUabU2rRDBrJDoUUebFRjxC2K,23,BqykccbEMVZgdBmkzYohVq9LBFo6rwTSwtStJ9KLSKUK,1,0,1,11,0.000000011,-16443955088,0,0,1749727429
3qpepLuFbE5ewydRDybqnS2GknWwWadAVsEFKSqSpwsW,23,9vfjTsNms9yirBcH6q1RUisx1VvxEw9ciZagfsp88B6w,1,0,1,11,0.000000011,-38849,0,0,1752626670
4FU3TePfxVsTdvhMidXCapW6y4kS34DExNnv9UhjiWPE,23,GofxqHfaJePLKo7Bhj2KtCi3ooCk6Mg8bPa64Jhm3n2G,1,0,1,11,0.000000011,-2118043578,0,0,1728905388
4sPRBWcBYxbyKvGCCBR4fVFkN7w6YoGWEfF8gFUN9CWc,23,38yktNTa2ZVDihYTwTvmL5ftcFknJH3GgGebHAyt8636,1,0,1,11,0.000000011,-31810150718,0,0,1752047576
8SHpYP7YZR9cACWp6j3jfAasnCduiEFJpUcofj6qJ3g8,23,APr2crf7neYZ72Vz8GiqdcQLUKSt6WjqM6cjNzcwWCne,1,0,1,11,0.000000011,-2125472327,0,0,1738800107
Ctu2YAf5Ty5EHRuNSSvwypT7BXPmtMtnGSHcURgngUj2,23,69vWLDAvWqQW9yqm3nSiALh2iJmSj3Ey7DpBfRVSXj1R,1,0,1,11,0.000000011,-32952270116,0,0,1742399783
DjWbX4pLruGtjng7Ub8zo7ZuNiL7Jwz4CYsiuwcHPnPZ,23,8yHnf1hEfPtVivi3Brx8ExvYmPJChcEuVpuC35r4ZZtR,1,0,1,11,0.000000011,-11895047,0,0,1743268312
EPEYqcwdndTWLaE5Zr5FgASMi3RRKGWiV8SS3VPQLB89,23,A4ERQtq3npdKmXoN8m2QTXe3pVVuxpUChEFJQEZpXZc,1,0,1,11,0.000000011,-4437829457,0,0,1725524819
