authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
8pxiZ7zbQPFqP9dkXoUpC2WWkXQz85eadrRp86CPojqr,24,2dsYJNzC42TZiW46eUmedw8BbMZxLSc5r3aHJP12Fuva,13039718725,0,13039718725,88072359472,88.072359472,85472421802,0,0,0
AURcN3ktRTHw8RNAZZkBm6NchUAMU4HbwSnwrH1sn2e,24,3ZSHDY3rskwHv3K1oRrqg7ZYFwvN4xFGTkQfshQb9SCj,1654481438,0,1654481438,11174633979,11.174633979,10413650965,0,0,0
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,24,5vsrtufzsSL5Zkq1q9Sgyp98ixv91sLhWC3Kme71QP5y,1505312318,0,1505312318,10167121729,10.167121729,10000000000,0,0,0
4fENRafCoyw42dXn6ujZ72FRHXtZZkxxPCgvZJwY4Ytr,24,3MAgEpwVh2LfXJjeNCTmCEeRH6JiTSSMwS7rTc18nwco,407065330,0,407065330,2749384770,2.74938477,2512103233,0,0,0
24p2JMfRYPtuuHH1eq2gG1tNgV74rBNP1Qf7kGeR48K3,24,HsQZLN3CkfYYzowjDMciz2oYDynimwATuMya4a11P5cg,1,0,1,6,0.000000006,-11865280260,0,0,1742855850
31dhwHQLkxkmL6rbyCXnqHtTUM6taHCVewRHP88iQtqN,24,EzbhpSMXaD1CoVYwvFktsHeairsEz3kGW7W71SYHnqfG,1,0,1,6,0.000000006,-86842448,0,0,1733835528
3hpZq5rtYr144VbtMRuNhH1HGRepQee6zCvD6zecdNeG,24,6vqdhkLf8jTCMv1KWoNfmtoGBFL8AJUygDK36Dzkf4Ep,1,0,1,6,0.000000006,-310413761,0,0,1762815933
3qpepLuFbE5ewydRDybqnS2GknWwWadAVsEFKSqSpwsW,24,5WUAZFWN5bdSsEya44mMxPiUJjrnssL3HkXy1uxkeJtD,1,0,1,6,0.000000006,-951997,0,0,1752626609
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,24,71miACwctvrCNykS7PDpWpADkTJieQCb95zkHhVNGxsC,1,0,1,6,0.000000006,-3428691135,0,0,1772684106
4Qdy53DfKVqCwNroCvYNDMz1Ko7cr36PMSHzjvMfXg71,24,F2rrARTRKxEBomuZSzgG48aG7RPzKeRPgnVUs4ThBvzt,1,0,1,6,0.000000006,-438829347,0,0,1732457877
4z2E3rto6nAzh8Y6ixZW5ytA1p4jKcgqZkd22DqVemSP,24,CyR479E2kLkxH9VLGWf3VJALh3qZjyozVoYYt7piW4DT,1,0,1,6,0.000000006,-2621569809,0,0,1745754456
4ZfkxjquAavSEi76aMA1Cznxu33bvF2C1ETZy2v1ETxK,24,4vH6gEN1YSLX8GMAPatwna8Mrw4Qji32XjqGBS9C99zH,1,0,1,6,0.000000006,-1482766597,0,0,1746644168
7oNYv5kTA1WBD9HgCiTjW7TnxcwJ3JJopC2LePxA4R9L,24,2KA7kDMcpkNHjVph3ZHmnFJgzHxuxP18ZtwzchitctE4,1,0,1,6,0.000000006,-1006344920,0,0,1745392293
85Cf6TdRuHRMFmZQ4ZgDK76d63eHpRBrpAi4HznLLHBG,24,FKxfB65BXnKVmCZ3u7Mzg8UGotTUeTr9g6xNcykTdD1i,1,0,1,6,0.000000006,-2030374534,0,0,1772140117
9cUJb7XRVT4RZeRetFr572pAx7z2dZ1YHY77WbH5b9aJ,24,Bza4VkSzXNRjsYkaThFKphNjHmSz53kFekhok2XT137h,1,0,1,6,0.000000006,-104299150,0,0,1745590376
AgrasdPeGkPWVGzqPnn99yaAquFGFmWY51pXGZetUpbA,24,DcobXVXm9JutZewpU9x8vqu19U9kmrfUbz9EBtP9PZUM,1,0,1,6,0.000000006,-1432699979,0,0,1740992571
DjWbX4pLruGtjng7Ub8zo7ZuNiL7Jwz4CYsiuwcHPnPZ,24,E1BMJthiXDvN6yTfjBLwTza8tvtSKp7MvJpkzhFjXFPq,1,0,1,6,0.000000006,-1726004313,0,0,1745311431
DPrMaiwimpFgvDtZ6b8v1rC65fP3szwVQaWtgTiuzdFj,24,92B1XgKoA8xLYEpHVWGAUmjXKuued3n3nbSXJ46XSYZh,1,0,1,6,0.000000006,-6348538549,0,0,1773709467
F3mMi12MYvschJ3UrE2AesSeDBwC6gsf9YMB49KwEvqc,24,8gfAUTq48QyM7FmixcngP7vMABzyUBun3WnXcDsVibvp,1,0,1,6,0.000000006,-2658434326,0,0,1764667775
FSuabjcbuYWbyEA7yZ12APRavXtmVd21Cq9tsnxNj9Zp,24,5dGgRQtjgbYX8ibGrQaA3neoek9uwujwwZzFGofwSTiv,1,0,1,6,0.000000006,-3161801,0,0,1760194380
GMUb3TxU5f5ccyd3Tq8fwHqHbbqUDUQSLsYE3EG6YTn6,24,7QPCa6gScMacWNTCTPFqdxZBE9fUXCUZjToGTsTuc6yG,1,0,1,6,0.000000006,-4150237276,0,0,1746448568
GqAnCDGzf6XkdSJzs99HwTsKd77Xi2xj2k14CsuibcEn,24,EY1UymJvn7f3PL62P9CDemExFbPKBBTAe9MH3AVTkDYs,1,0,1,6,0.000000006,-5640786418,0,0,1753724301
HsXN5Aw663Qa8LkYNvp6GLjjHqWhd4UH89MS3m3nY4Y7,24,5cunatqTzdi6dX56pDT8QBu1yTtSi9MJxk2SDuNCFGhe,1,0,1,6,0.000000006,-9149927,0,0,1724894191
