authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
AC1ZRRCmu3b3VC3Vm264rzZTEFYgB8rdwiMVzeQk2JJi,25,CGE6ugj949p9qa7HetFpEkqYDrSDMAcqoFZjgBvzpKYX,4647601247,0,4647601247,5212094925,5.212094925,5000000000,0,0,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,25,nT2EZwjWzT2zk9cNw5a6MrDGarRuCMN6ke5x2JivMuM,2420743768,0,2420743768,2714765239,2.714765239,2669443250,0,0,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,25,poh,906460800,0,906460800,1016558754,1.016558754,0,0,0,0
8pxiZ7zbQPFqP9dkXoUpC2WWkXQz85eadrRp86CPojqr,25,AbJzbdRZWpuVRN9LyiFit1aSqpDCTxjaSAbVUeTztdKY,625520706,0,625520706,701495916,0.701495916,662185099,0,0,0
Ff8hk9xvZfwgaMUjuav9evQEz4AUMnTx2Z1vG7ubAA8V,25,DT8pdAYrtYrNAdUwbqzaBdmojgXycz5jig392BHUsAz6,275411826,0,275411826,308863111,0.308863111,289006366,0,0,0
2cYCDjCJyg3WtToruwb7jMVCnLVfe52yhN1a6SNLcG3i,25,4vLmYEwzMyshxDXvpUnMBWSxVrxTMXJc5VA4BA2gyKXU,10000000,0,10000000,11214591,0.011214591,10000000,0,0,0
3MJmQEmqtwvL3o3ZedLjo1Q3spHmSbEqNAp1AL3A1MwM,25,Hv6UzXzxqDazpnjmRNYkp9FrespA3XNn45sYR9Nxu2L9,5062541,0,5062541,5677432,0.005677432,5677349,0,0,0
4rQr8uc9T2xWH4DsSzDknsbwY5c6A3ksmHBpoz4Cq34Z,25,2GjBYte7rgxapaGEhiohn1H1XnDyAC2pHTwEyWfRjMDQ,4312256,0,4312256,4836018,0.004836018,-111005202,0,0,1740040306
3hpZq5rtYr144VbtMRuNhH1HGRepQee6zCvD6zecdNeG,25,7AUbktaB94UEoD9ZGFvmWJSQCbMVW7Yurwe6XwXB7EjX,1,0,1,1,0.000000001,-2045235,0,0,1762815924
4ZfkxjquAavSEi76aMA1Cznxu33bvF2C1ETZy2v1ETxK,25,4WnTdKHQMiY52bpsdLDMdGMpYCPSvQBx2svyEN62218J,1,0,1,1,0.000000001,-29752663,0,0,1758120721
8s5U6iLYwoRArVm2Ai1sDPMnmLhg16iTgw29xz9gYtsZ,25,6TXpxetvHWSQrJEZLaHswELjWFb9bZQywJjucaC4rK6Z,1,0,1,1,0.000000001,-8875377,0,0,1748610829
8VS5NYtGGTAk95nfJ8NP3DNu2Srj3gVgkAh3CqwESJVd,25,7b8CRrDKUXzcT9izyGeCCeobV5fCLrBpnLW6pnZkanUS,1,0,1,1,0.000000001,-147412820,0,0,1769375218
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,25,J8Z1PbwEeVmHTaXTgFRSVSWhxKGEwzwVsZPBFWCBbWMP,1,0,1,1,0.000000001,-261906285,0,0,1765762471
CrKJ2wKcnRiDcxJuPcNkBuwn3aAYrMxqypyDn2jB2mUw,25,5XWhveGWHVV3pV2TVUHKsSRuQqwFu49LGNoL2VmfAFeK,1,0,1,1,0.000000001,-45829561,0,0,1754471522
Gf9FB9Baw6ExLaEwRGEMnMJpGP9WEBetVLWP44qajgsu,25,EKCmeeUVRbQxtvuhHbmaMTJqhDVDxLV5BUbahaP4Mw2V,1,0,1,1,0.000000001,-111795,0,0,1750501965
