authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
DdEN3wMFvLYmQaDoiT8EjEcddjkXpVma1GMfQkDPtqff,26,J2sffALdTtjWggu4oDjNXNETZFwZqSUg35k7K1AsapF2,954995341,0,954995341,11322206534,11322.206534,10303318017,0,0,0
9iEBeFz6dtUHLaXTc1B7agQCVyM1CDuve67LbBF4UxWg,26,BQd51RvZcV2QcLudYoRssWYveBgEd3LihBp9rMU4bhaF,189761775,0,189761775,2249772241,2249.772241,2000000000,0,0,0
CDkPV3TuaqsgouwsQ8Kog2fqbaxz2gsUqZNBqaJ572dd,26,GgTUqz9PUPSfyr2xiqPjwiZPnY6MDUUmnS1d2U1xDpJM,16868496,0,16868496,182758588,182.758588,174571005,16868495,182758577,1730208194
AURcN3ktRTHw8RNAZZkBm6NchUAMU4HbwSnwrH1sn2e,26,8YUJG9ExGhscCxAxbRns2HVwnWzMHTZMJynKJ7HPKW9K,8626634,0,8626634,102275401,102.275401,88314359,0,0,0
9kY74nM5Qky69We6yPnW9sLHqU5ZStrMj7bTuzyUJzNj,26,2Q4xpi65w8sFiVNqd6HcVvx3gGQHMDsnfLiLhDJmKjbF,600900,0,600900,7124133,7.124133,5426995,0,0,0
4aE9dRS7s2FoJFoMiqCEGuu57UgCRhPcZemuNbb5Tb7p,26,A6BUZnhv8yUB7dE9nXQjqCqXkEEgoEwyQEszK4FkFgg4,1,0,1,11,0.000011,-1213333516,0,0,1758768466
56nnMwbNt32yy6TrxjTxCGE61SnacsUTHDygtkXbVNix,26,EKSyP7HkLNVsJ1cinoFK83gDXgNmGW13qYV4wke4ywby,1,0,1,11,0.000011,-8812263,0,0,1733998510
5hGAjhVNHW63gANAYyQtyqfMPGqCioN7ZDnBmDSerto9,26,5PV1bZPEEDKZe3wp9uM4Wv5s8RswvPkbsZ9mzgKWvGWR,1,0,1,11,0.000011,-36058,0,0,1758786389
5T87BrFwiB1HBxjRdncU2ov76NLsDKkmNZrbeK7vcDLP,26,XVtGnhPQ744nAHgmyXC8UMw2iRraxW5tW627yfsmUsu,1,0,1,11,0.000011,-3,0,0,1746436067
6APKYMHdHTFPSdJeq95jWAuAc1zfGAisZdL13hjGdtyx,26,HXFFnaDvkt6GefG48RpJ34xgSrrSXBEt653F2cZ1CcUo,1,0,1,11,0.000011,-21153049,0,0,1752893384
