authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
4rQr8uc9T2xWH4DsSzDknsbwY5c6A3ksmHBpoz4Cq34Z,27,31tjw7Vcs5uaRKRLvWCwzViX7KLEoLMEezMmKZHjq317,88964811,0,88964811,92908230,0.9290823,89680622,0,0,1744015276
9bZMA6TFMZwosoGJqMPX71WUbELmqxefT8eFmi3tRoLb,27,5nrzQi4VVNi6FjLS3MuDdrjpMqJzvrqhZqg3JaFRxov2,68465718,0,68465718,71500502,0.71500502,71262487,0,0,1772270145
Fdbu57t2vCgN53xEKAwa7CgP2sdKh1WQpdwfBmeT5H76,27,3jTGZu62NBvWGmjb6SdpUeMdePgwYYqNdJjUmgsjb3rh,44110649,0,44110649,46065880,0.4606588,45874883,0,0,0
sop6SQCk7Vw4PKMoRG58N1mdMwx7qVo1Bcyfo5bjowj,27,DVEXcnkRjFabNLR3qwWSJTMSdHo7bED2z9DQbNt3BFn7,6990268,0,6990268,7300115,0.07300115,7276523,0,0,0
5VVSx5VPxksfcz3z8C1r3wH8ybsUSTqofarFcrzUQmuJ,27,4czGfAc8KY1xjXVbyGpevQGfGmuUU1PnASNBWMoJKCTp,4726538,0,4726538,4933551,0.04933551,4922270,4726537,4933550,1774593276
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,27,8nm787jC6EpsS6HzUfRLHxMFsW6HDGV36qTnBFUeBZb1,3578635,0,3578635,3737260,0.0373726,3650222,0,0,0
zVz7sHuZEFGLtaBwVicT2C5noprN6SdHm8t7L9xNvDR,27,2ePbtb2hWvQ8Zxn7g7bk3qHTK9Sg3QgAZfUFfkY4gaod,3463428,0,3463428,3616946,0.03616946,3577259,0,0,0
A1hWv2neBnoDp7uut1bYy7CLE9yGSNjvyKtdkvrFUs2C,27,GQAwjs71864abMEKsakRp7JQMMQn2KuZGAJfHSVi815F,2882148,0,2882148,3009900,0.030099,3000000,0,0,0
3BLWGrSbHqAZtNzQz7j4sdWYsgixE6yyxBB7iGFtMGVb,27,BRCQAnGSoBGxYr6gbRrvx8DG4H4UQv3fPotsxFBwxCzY,2858286,0,2858286,2984981,0.02984981,2932613,0,0,1770175435
Ena7zDZkNLj74a8eMJLY4zVqBa57rm3CE4mSb9FKPzp5,27,EeMUfNjgYbmBdhMcggFVojMP7HyftKWpztADPEFGvQet,2378406,0,2378406,2483830,0.0248383,2480943,0,0,0
4ePoTPQt4eAVicdErCZDjVbZsE7Mxi4ZYeUydGNqm1JT,27,5r9oF9nepqmHwQXjK59ynvXtEZQiwwbW3ddBJDhZ9iem,2312205,0,2312205,2414694,0.02414694,2384210,0,0,1770661707
4bTvMsydQogi2kwASy8JEXJVA49gP23F6fMPUQYgAbXa,27,GZeCMz1ai2ZNb99dFRiPSokKjvvrN2vRVW6NeSiwNUjx,2257349,0,2257349,2356034,0.02356034,2353729,2257348,2356033,1774514816
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,27,G95G4FYo4YpTHoRs4Gx5aDZvqWXX16J8AisxiSnAhNwY,1179805,0,1179805,1232100,0.012321,1209390,0,0,0
6BY9H6UynTsbH5ok7uzUdm69sQGdWeGzKXzrjXsjG7i6,27,4b53MT5uBfAv9XsardpDQ5qKtqaG9FW7mkY38JXc54hy,1155414,0,1155414,1206628,0.01206628,1202719,0,0,0
Bp5Xh8ELbXFrtdLGXeEqpbo78gSEY5zF45fqkz5sQdWC,27,NWXcN98raGLT3SLTv9dHxhAJ5hSn811v6DsRomq7mnQ,886143,0,886143,925421,0.00925421,922060,0,0,1771738640
VwCFUY1V2Jyh9RV5daq3Tk5srFRYnPQWLUb91Vsb4DZ,27,By2yeTFuuYqCtSd1SWnaXVYAMCCqucPUbBEvvKoQCiqx,742830,0,742830,775756,0.00775756,771590,0,0,0
7dPRTpaqjEPoJdhwSQCzCXkSfQHHbEcy2aUSa54kWEe8,27,2pWmU37QoMdADu4NRyv64kexK3K5YEcD7CXEausydxdk,612845,0,612845,640009,0.00640009,631419,0,0,0
7BgLoDnwqSAWJ4y8UUYaU5aiqNeNUS8wx8oH6F7uMbPD,27,CUs5Q92pYQPQvjBHkg4ZfHJ9dRpf79FHWW3kTpF29x5Y,438300,0,438300,448306,0.00448306,448304,438299,448305,1761472862
45LSGSKKRNVFug7cd5YkcqdnmgYMszqA8SVGwxWLByRE,27,N85CSYKmj1yRwyFpQfjpmqbGVsVq6wFk5UBRPyDhiwB,362479,0,362479,378546,0.00378546,373859,0,0,1768770233
443BxjTrkozvzsikoovMy6x3Ts9CPny15CzxWXHh3NzP,27,D7dJp9ubVpviS8wRoMMUem2X6scWxcVppQsa2MrQj1dL,307145,0,307145,320759,0.00320759,320000,0,0,0
Cg8g74eMB6fwxupXZr6Mc1HBT1VzFG9JnDCvyu597fBF,27,t1QXJ62f82kLDpYNcHWDgXGwEKPfGmfFcQJYZtW5JRm,283098,0,283098,295646,0.00295646,295353,0,0,0
5EZQST5WCxbRp4eEo61m51rdo9hSPvD1uSx92MxsdY7q,27,BxFUnZyQnvkjHsPFQCMCYxFhXEFE9dkuktRhH8sytr5M,230807,0,230807,241037,0.00241037,239442,0,0,0
2urPgrX1EheTHmE53rChpc4UeZvxKLM7B8rPy1njDBjq,27,BQ8HgtdW3tZncFdup5UvthxdLqiv7ErcKCNDjACxxVdJ,160119,0,160119,167216,0.00167216,161404,0,0,0
6pE74EB3D3zAb9V1QWqFf89wTReop9XDi4FtC5g7Xzo,27,ARJgugc3QVSZrBqxizH2SY6JWpZMfqJLqYjpmRgt5UEX,124322,0,124322,129832,0.00129832,129594,0,0,0
HaMyeMv8KMJx8T6YNu7XtaWfxQMiCxjPKXpLsPxv1aET,27,DewndupYDpDocrfPBfJxExTBDNjt8m8NzKohaDyduKxN,106295,0,106295,111006,0.00111006,109277,0,0,0
EsEewLAaPrswrMRso2GTMiqy5rd41Ra6Xb2dZNVzpakC,27,6q4rQ9nTHMhDeLiGeQPt2Nam1YGujpqVry7JWX1Ut8LU,98238,0,98238,102592,0.00102592,100360,0,0,0
49KiAXkJ8xCxr9G22PE2DxGwB9jEXCSjp8d8hdj38A9K,27,fYWUaRx8iYt5XBFw4UqnR6pbbi2n6j4oVmmKiS5EXMS,60716,0,60716,63401,0.00063401,63052,60715,63400,1775022407
8FXX2p1w4rw8YgZYAT6q8kDR3LW3LupQEgahWEyr6qtk,27,2agZs8acGhUSrhZAofwPJChJnvng1MZmHufu1mP4aPf2,43174,0,43174,45087,0.00045087,43716,0,0,0
CxEqUPBT9y8cSZh8FowJqnMCDEFH9p571mexdh43ESDu,27,HuUbR5zMgtGTrKN32dPg4q1HtdNi3T9bfCHnUbveN21X,37125,0,37125,38770,0.0003877,38307,0,0,0
2ZAiRwJhUBNaAHkQ4tEf4BUQ92ogWCU3wFHwAqh6tqei,27,Bd8LbPB93v3GtcKBoV875wECTvxB4sZZQTrCH3wXQ3Pf,30834,0,30834,32200,0.000322,31766,0,0,0
7AGYz44pv63ACkvjNproeMruxBr6EJWuB1DurvwefVhY,27,6sTXLc7JRuSGAYSDV19W76ewuT7Aucg8S9EFTB7yecWG,16786,0,16786,17530,0.0001753,17282,0,0,0
8HrJJBbVtzQ33HQQRARKmsjqw26zseWWnT917VxiLBYk,27,HZMuhA7wnezyqAjUbkEyfzivdqeiaPrA3oC7hMiK3pBX,15640,0,15640,16333,0.00016333,15855,0,0,0
3tKs1XiDu4gvnwKmKEzFz6FcWoY8oLSVxux1c4Wu4jUj,27,BMfDaw4bPSQWxDkbAv9W44SZTKMfGm5gVwGwk1Yamaju,15202,0,15202,15875,0.00015875,15739,0,0,0
6QBGeHK92GoDQFhGoec2EAipqTAz4pRaSgJBsJH6Hvpv,27,3GZ3K5v3hCjYABV8bGv2f82avWH4159v75588SngCZKd,10808,0,10808,11287,0.00011287,10895,0,0,0
