authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,28,protocol_owned,28801920094,0,28801920094,71345062026,71345.062026,69508236837,69508.236837,1836825189,0,0,0,0
2mGWBHTZRURigBVxurZgwYXYEF71pNdrsUFKkL4R8xdX,28,9jMWExePbTpNwBDot6hgskjPppEwSoehf3PVny2esAmV,13608351094,0,13608351094,33709164159,33709.164159,32841299737,32841.299737,867864422,29999596257,0,0,0
Q2yu2mkhJPsNNwHT4EeT3zBfWM7ooE4tANLCC5pLBW9,28,EngTjCJf8xLNXm7yRf1E6Lao6wSVftGZyTyKjNBJTE8D,11709858316,0,11709858316,25125396088,25125.396088,25125396088,25125.396088,0,23500000000,11709858315,25125396086,1741438039
7hpX9bZnn4XJDzKiBKmVJwqxB3UpwDsc3zCkgFYyVqXK,28,HGfwWZwKWTAom7mW9ZepDUkHaNrcNa1j1dJ8WfMEb1X7,4724438842,0,4724438842,11702878870,11702.87887,11401580619,11401.580619,301298251,11022545286,0,0,0
GqAnCDGzf6XkdSJzs99HwTsKd77Xi2xj2k14CsuibcEn,28,2JnG9tzVE3toBNZ5akiMt7vX4wvu8mSD1fiWAoo7N6j9,3324708052,0,3324708052,8235614199,8235.614199,8023582939,8023.582939,212031260,7199463808,0,0,1739403002
4sPRBWcBYxbyKvGCCBR4fVFkN7w6YoGWEfF8gFUN9CWc,28,FAMbvMVsLacvwV8vpLy4bpwweBKERtNM9rSDoqdVmvVD,2949017701,0,2949017701,7304993903,7304.993903,7116922070,7116.92207,188071833,6670874437,0,0,0
85aQEFVKgeeunkFaSYyzWjXkT4wZvLn5tsURu3U2f5Ne,28,DBQagFhYkS3R9XLEoVtVsRMT5w5wBPoom4LwHWBAdycL,1494773588,0,1494773588,3227656016,3227.656016,3227656016,3227.656016,0,3000000000,1494773587,3227656014,1743425878
HBSLfGJbU6aHfHyvgh2Laf3JdEsJYti7jApn3eaXhq2u,28,G3gxqDipFrY7STf2Fh8pUb9ubuRTgEywxzRZPRyzfWFb,499164349,0,499164349,1183528544,1183.528544,1183528544,1183.528544,0,1000000000,499164348,1183528542,1764696149
8T7R9r3N7Qjdy3qz2ioXtZ5d9For54ZAiGo6bCZGmxr4,28,H9RmXtbZWerTBAkaNTnTwZ4cbn2m3AVfrvqSqNn2geGZ,454605961,0,454605961,1126101675,1126.101675,1097109453,1097.109453,28992222,1000000000,0,0,0
8aDDMvBhRQXDeKwEiX1gDzAAZbjktykVrhudbLxfqZXP,28,9J9DA2TsBasNSxxKQiGpHCTV6TNZnY7CTtt6sFPcRV4A,432102437,0,432102437,1070358331,1070.358331,1042801258,1042.801258,27557073,1000618704,0,0,0
3wyuPtzuz42XT1ym4ZwAVuHBRFtgaQY9QLJmjd7ABbyx,28,22atyQzRQi3KbypNN4oZrPvxUp3rRZaFajTonL18f5By,322975500,0,322975500,800040656,800.040656,779443088,779.443088,20597568,674900000,0,0,0
BrR4nxvXdkZYyUBKL7UeeiMwtSWZiR1Puk7qYVqXfaaV,28,GxGMtSAWrxVCLrtYnz4voL1eHb482Rgagvjzd4CSvaj3,217027751,0,217027751,537598128,537.598128,523757314,523.757314,13840814,499660655,0,0,0
D7e65dCQXAJn2t9iPxRucf9C5MyUhnRreovx4bRvGrYh,28,AtLdfdvu2PNUWgkAXjPP9rcYPZe6BQpYxG7eePfMnm3a,208237442,0,208237442,515770046,515.770046,502541157,502.541157,13228889,425759169,804838,1939999,1772646173
A1wvnUdJoTuEQxyuEr8NtvarhucpZryyXvW6UNxjGkFX,28,EvubpCtiEKjN999FCHrBw8b9zLcphMachCM7WFTjprFn,166537468,0,166537468,401768472,401.768472,401768472,401.768472,0,400000000,166537467,401768470,1774494177
5dPofa5NvGRy93rNGesu9bdKhwFeL4ZYdrGVe9PNPzAn,28,GNrANP38BjP4UvzAQtwTqFjfQCPx1Q58xAZusemUEovm,124633478,0,124633478,308728834,308.728834,300780409,300.780409,7948425,255000000,0,0,0
Gu21Fp1NASa2rXxBG5FN8EkgKc4QuKrpDqWxwP37JvJA,28,EafMUonWXcEwFe3fmnawVC5TGqwYnhDFpyAmbbQiT26A,123084465,0,123084465,304891782,304.891782,297042145,297.042145,7849637,249999999,0,0,0
GkBEaS3kYsJUUfpitWHjTqZZSHvVzS6RkBjHwHeRmjk4,28,GEMwj4hurEeRAAn8XzWLF59m4SfmzXfcP89QXXbY2CcQ,114189445,0,114189445,282857983,282.857983,275575620,275.57562,7282363,250782985,0,0,0
CRVHqTeT3nfEHjhG5QkDCtEgNn3o8DuP1zd69Btw5Pkh,28,DTFmcisnDaXXK5gA7mBeRwFSsv6Zkb2FsLU3M3XZ3c37,93253362,0,93253362,230997338,230.997338,225050161,225.050161,5947177,186694661,0,0,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,28,DaLpBWKodkBTGPhycCQh66R54Z4Vf3ZFg3vkUHEfDu1M,59581223,0,59581223,147588286,147.588286,143788530,143.78853,3799756,142753986,0,0,0
