authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
FBqpiXm9qyLANu7i2LjuvBhzCMbFLTq9LkJDtn9Ss3cD,2,A8vxcMiW11KFXc74Atonb9nyhCuUroijtMs9tZvbwjFM,60696730894,0,60696730894,174659557279,174.659557279,172938403500,60696730893,174659557277,1770106018
3NmEV5VEmmmcfRK18FRzmx7GgdW6nC2XuC1msJurJRWb,2,4eT6PLZeN8SYF3LEYifSA8nD4BgpKx1HVpZqmaA9VoF9,28887403690,0,28887403690,83566705718,83.566705718,82359003708,0,0,0
C6P9FUVwbPm7qNViKwwdVsyMT7s2TyaWCzdvYFAGk5eB,2,7oGSMMRDQy4bZ4sJcqDCRXueAhn7evcA89kbMnnhjtbo,15293460593,0,15293460593,44241570980,44.24157098,43538688206,0,0,0
GFkUr9BfdZQG58PH35BSQqeVukihDvbBnWN55sdQGAFx,2,73yVLebr3S5xr4w7y3QYQ3DmCF3JDozaVHXQQQDvmwrd,12502311439,0,12502311439,36167216411,36.167216411,35962322370,0,0,1732780291
G2Rfxroz3XKctXbJZtxxhyFw6g4QZ3WzRkkXMYYkLBHn,2,PW2tU8bquiGDCNqnGGCXTVCwx782g7nejSgbc36Rb2L,12611272895,0,12611272895,36021184081,36.021184081,35960000000,12611272894,36021184079,1734044698
useS9tgpBNTYFt6h4cNnmn5ekpasKVokwxVQL6gq9GW,2,MtDjEzAjCz5DVH9yYYND8iW3U6cuh2E2R1zpJaZ4ugM,10552478596,0,10552478596,30526657324,30.526657324,29900000000,0,0,0
3eHTkbuWF41gWxdmqdrqrKSrPRGpitpSdHBbtWdv9owc,2,8bhHff4hHPzJjyC8k1v9ywGmi5sk862twQR2DKnqxn2y,9841605137,0,9841605137,28470212453,28.470212453,28018482562,0,0,0
3xmwyGh8SnMwKoiKoQ8aLCyh7GSbmmgtVSTaB3cJH6WY,2,4Pw5EvrCfteEdDdTm6bxP3PvJydvJPqNC8iBCz9TbkKE,9118429553,0,9118429553,26378179473,26.378179473,25961655459,0,0,0
7e6dStpLTRbqGVY1ywvNRDeaJrhJbVZ8ynFBjkvyM4rc,2,AsGj6SQMujZDiMcMnPkk5KNWmjjBzxzte6f6tk3c6Y55,8778154218,0,8778154218,25056989429,25.056989429,25000000000,8778154217,25056989427,1715913652
9njf9KuJeUHmkFeFnsNuxFJHRYDUBn2rTvqSEi9u9KU4,2,GEUqEPYJ9e7xxZuUmwBTRiY8KkW6rRMANzun1z3yBgy6,4211676668,0,4211676668,12183716767,12.183716767,12000000000,0,0,0
CJKM7WmeYWjpyhHh7K4AQeoxsQRbiHke1dc4jBPZ7L2G,2,6H44dkQHdYMXKVtPpH8H89X6GJW3cH2D4LwbMQcrXqDz,3512784572,0,3512784572,10161932090,10.16193209,10000000000,0,0,0
7F7c1bSkzCT26ThaVcePSjW97UgjwpR84AHrW4mge5P8,2,6EyEWPHFpp2pfWifcLHGX2f5ZPTcyvq1rGfVshPuJRpu,3508223998,0,3508223998,10148739069,10.148739069,10000341039,0,0,0
9tn4sXDEkrzxENNnuHRLe9rRcXzgpj1CGZ58hGVTN2EK,2,26LiUx7UgwKVofcpcKrFsKhvq5gcVvBbg4q3QiMafLgX,3235997931,0,3235997931,9209092707,9.209092707,9209038731,3235997930,9209092705,1701276070
47YFgBWhrEeZydPNVngcfGv5X1NWj85DcTA6JoV636pu,2,3uF2VGhXtswJGm4yzDPBuWT3jgv6Kez5fyzGBcRbuCeg,3077530394,0,3077530394,8902810357,8.902810357,8761661194,0,0,0
4Gazx94QcJmGPXGF2Lxcu9aXjvEPch4AJEDT9j79P56P,2,4HMebojVpiQQNYTpM28u9dddUDNo7QFQZBuSGCkfKLDR,3045682730,0,3045682730,8810680085,8.810680085,8670801343,0,0,0
BFMFtToDdY4ZFQ3Cr7aip6j2RSFLifn62AEW3pZG2Hek,2,DAkWo7d9zGaX6oywESBGGMymCwdD4MN2apq8Uog3tD88,3039608659,0,3039608659,8793108755,8.793108755,8667638464,0,0,0
9t8dVq79vZkPZ2FB12ZwWfNDPNsouMUyayG1PdCoK4EM,2,GxiZ6TvSFrG6WjAeBDB6QoZNNoVXPJYQTyDKG9HeW7Jp,2791848486,0,2791848486,8076377626,8.076377626,7948072542,0,0,0
6VFNL1pyefV6ynDmKi46pVNW9b8PjDdTo6KXCJ3ruzU7,2,9mt7EU9WGQQRNcXMNvegzkQwdRGsnei2sZVfpimnXiWY,2796819960,0,2796819960,7986651231,7.986651231,7974098055,2796819959,7986651229,1728330266
7PmiLxZiCG659EpSdinuYpzY5BRjdPfjmHfhf5pEqQB4,2,DCqea1easoRu2JpujrtHqzYj4cghfQJ4aw7D1CX1wPr5,2458684551,0,2458684551,7017586666,7.017586666,7000000000,2458684550,7017586664,1714788893
HGMM2TnLWc8LNidTBn3pCRTY6jSWNe7R7unTupAf2FXR,2,2rB73GvqFZm2xiSzv9dBBuPMa8SwZkA1GDLLHNhDQtET,2281575654,0,2281575654,6600238751,6.600238751,6500000000,0,0,0
9tJzsTL2F52yBgDh66BnZ598NKoQhm7DumdbzxCC61H1,2,Esv67hBnvAXyfLbTKg8KoH6kT7xrXMEDoLUy6aEjCWSQ,2277729290,0,2277729290,6589111826,6.589111826,6488820824,0,0,0
2QV34PBFCeBfNFNVWQGFc181aLHxA7Gyf5MGZWvQW1Yo,2,4NBganWExikqZCUqkS5QKrofRztvSdcDCeMgUmXxh3HS,1843958201,0,1843958201,5295921057,5.295921057,5250049610,1843958200,5295921055,1756952955
6sdtRV4XGrvGj9yGYHEzHfpenE7reVbZYt4ThqzVSKo8,2,E4ubPqWTVWVMbZr9qWfS7ystSFCFSGMvZt1XvYzD9kQY,1756258171,0,1756258171,5080578071,5.080578071,5000000000,0,0,0
7HW5etMS4xin1Cz3DXZxBAyjuJbMJASXHaWmduqm1nF2,2,E55CeJn2QDiqa9cLEFvSVujzs569LQVBoGNaa7DdNavY,1753494524,0,1753494524,5039675256,5.039675256,5000102243,1753494523,5039675254,1763098047
Fzz5RKUUNy53M2uK5XzgCX7WUx2f4nLPuV1jaege9wEK,2,6W2VSUTBaXnGS5JeJfSx1XYRNTHu15qpQDnceiyhq9Qd,1756262101,0,1756262101,5012580789,5.012580789,5000000000,1756262100,5012580787,1714051190
