authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
AREq78TGvjpPwUB3HCRGMiQBsPhv6ifKsrmC14ig1qmv,30,EvkzfcJ2F1h5PBzeS8wtxEGLkgUUPh94sRCxihZ65tRr,138627482,0,138627482,951647559,951.647559,947319689,947.319689,4327870,825211456,0,0,0
5wGHA5Frxi7vv5EmwNMvUnKZDEshqutXHGUwPm3k4oYs,30,2XpPhDa2fgjYM9qbk4uvxZA4B8tmPWfWya7HddGpce6f,79784791,0,79784791,547705259,547.705259,545214428,545.214428,2490831,519750000,0,0,0
EwTUSxaPY3WEnJgbjgFM2hKaPwEPpcDxiNRJgNAQWBmd,30,BC6B21n6JnaMtR8GyLPrkUNhR95kWSzPCdv1gTahwSkd,76410505,0,76410505,524541519,524.541519,522156031,522.156031,2385488,500529614,0,0,0
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,30,protocol_owned,75239629,0,75239629,516503709,516.503709,514154775,514.154775,2348934,0,0,0,0
3ovDaHpvxoVQ9EycH2HGo8bsbAy49CnU5VAHR1wmVypN,30,AkstHA2p6DCrk897BzXXvrhizSxyF4mRa8P7v3jFBpX2,42361959,0,42361959,290805647,290.805647,289483133,289.483133,1322514,259248129,0,0,0
6APKYMHdHTFPSdJeq95jWAuAc1zfGAisZdL13hjGdtyx,30,5ipyKKjg5ArKPARkRsw9sFy5WHQTfxSNJz6XHb5Pn13o,36642838,0,36642838,249213918,249.213918,249212988,249.212988,930,246646895,36613048,249009417,1773635235
8pFJ6NTqVBeEMnt1yh3nz9X6GegieHciAzMDNLTyzV8J,30,wtaRjymLtxkE9GsDmQqQZwxAkjtZtSfZo8JuNgbpzVV,24314025,0,24314025,158832924,158.832924,158832924,158.832924,0,158114672,24314024,158832918,1754329642
9CH6D4dRzChHzqBdXoSt1du4bw4frqUSPFXkPvS3FyLX,30,EtDSPXvcQgDTv14tZtpxS6fMec6txva73oJE3FGhzZUp,8185949,0,8185949,56194761,56.194761,55939201,55.939201,255560,53081846,0,0,0
AxqQqW1gQnXQsDFgkmMUvdVv42QP87MknxJZKnjhG5zu,30,CmBucvBiAntUqCrHp2WRadBdKpBoz6w3vfNoydPYpVb,6586513,0,6586513,45214980,45.21498,45009354,45.009354,205626,44731702,0,0,0
7V7be1wKTyW81kbXwU5Xz1BAvUbpKaJG6F63F2vtufar,30,7TdtX4yQzmQ3DHuPfbojWLtKjsyQUyG8vPqC2g9JbXkV,4652486,0,4652486,26749284,26.749284,26749284,26.749284,0,26590460,4652485,26749278,1739140842
