authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
EwTUSxaPY3WEnJgbjgFM2hKaPwEPpcDxiNRJgNAQWBmd,31,2rETYV2HEbuMViR1WCDuE5QGwC1vydCkPRyisnBSvncU,88894837579,0,88894837579,96261104455,96261.104455,96261104443,96261.104443,12,95677884353,0,0,0
DdEN3wMFvLYmQaDoiT8EjEcddjkXpVma1GMfQkDPtqff,31,DevSQ2VtMFJSAtkUXqmDekandaeiKYA8ZF8NMymmpZh3,73348705440,0,73348705440,79426742742,79426.742742,79426742738,79426.742738,4,73452000000,0,0,0
DSUNiSSbDSrEnxVB7saNC6BhUZgGoTXBEykLWfmVnVZ4,31,tKCRjhUReAdAY3pJoYvGipbkwbsGp4dyqf86RruudqR,20683994038,0,20683994038,22397972308,22397.972308,22397972307,22397.972307,1,21009000000,0,0,0
K2eaEfKpDmcc2L8RNBhLcQqf2sEm2iNqqwoFc4pTTFf,31,AsGTgn43pUUpLjojCY1crX5QUhrFsYSwTfT7szaKHDh7,20044244543,0,20044244543,21705209999,21705.209999,21705209998,21705.209998,1,20196000000,0,0,1759709320
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,31,protocol_owned,19053940522,0,19053940522,20632844478,20632.844478,20632844477,20632.844477,1,0,0,0,0
C3c5zqNHA2p12Csa5pZ3VKoQpZoGZG8Xt3hCutenZh8d,31,B1EiEuhtVxdrhPgsrc5NiXysLwjYiNKhFhtyfqyAPw8d,12519270450,0,12519270450,13556679253,13556.679253,13556679253,13556.679253,0,12651640171,0,0,0
5wGHA5Frxi7vv5EmwNMvUnKZDEshqutXHGUwPm3k4oYs,31,8jwcMGjRVMhyGpvuDDZoifHngGBQv4ycafguFYLg3CVz,11120990395,0,11120990395,12042530782,12042.530782,12042530782,12042.530782,0,11915126305,0,0,0
G9sFBWusgP9vsTENzoQnHHqqHRqiV4gMxchRyQ3kVEzt,31,6Smt82t1qx7AX9C8GfhAw2itpq3M8Ln4HHivkC5wJSuq,9869993588,0,9869993588,10687870179,10687.870179,10687870179,10687.870179,0,9900447000,0,0,0
AxqQqW1gQnXQsDFgkmMUvdVv42QP87MknxJZKnjhG5zu,31,6i7oR6sUDF4Rwt7EMaerMD9ECzkQgQ9GY6qnKFQnTRVb,7734151815,0,7734151815,8375041970,8375.04197,8375041970,8375.04197,0,8333209573,0,0,0
jwxzV5tRgz1MpnMTTooBxYAez8Ddi5u64VafnpB6kr4,31,4WEs3aQvmUt6pPeLgYcdPfmhNZhY8w3iA4qNi8dwpYYm,6548730877,0,6548730877,7091391177,7091.391177,7091391177,7091.391177,0,6904178800,0,0,0
