authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
3vvGKy59UHZ1DYErvEJxa4vA4yRR5UQe8njqoxKZyU7m,32,FqgkuV7SBKyZQdFCZL2TfMQL1WviwaUWVzGcsQRDjCrN,10701481442561,0,10701481442561,10811660457720,108116604.5772,10811059208912,108110592.08912,601248808,10798240726687,0,0,0
69V9r59ht7wHjVKX9eZN3dzxUNS2bm3SkW1KoptsW6L4,32,H9u8bVyndaCvgoUpuu6eEfbXPyz5Bf5QGw4QJ59Y7ejE,2841698187978,0,2841698187978,2870955399644,28709553.99644,2870795742532,28707957.42532,159657112,2853711757382,0,0,0
9PfxNp4J8dVtaHSKrs247pLBRVZtoRzrHZt8Ky5QwrMW,32,H8PWWvvH49gLZEQNjYLYKAKwyMKoGUo5Jr4CZRKg1CNT,2004577037239,0,2004577037239,2025215518456,20252155.18456,2025102893906,20251028.93906,112624550,2022367900634,0,0,0
GMthWLaXGAf7QZjCcxvRbSsci1E2aMvYsFRMbakVnTa,32,FiP9j7LrtS431wQahmKMmVNqaG4zyY6oz9gYaHhH9VyG,1522537436443,0,1522537436443,1537132514141,15371325.14141,1537132514140,15371325.1414,1,1529438519353,1522537408155,1537132485563,1754802283
GkkMeqVHgfAyTrBtjHjvPm6s5CJnhyHbVaaJEJcEBaXo,32,68Q9SQHimFWS6FRvq8R2Bb7DZk7EDhjMq51qSFoENe4v,1059775006122,0,1059775006122,1070686109138,10706861.09138,1070626567060,10706265.6706,59542078,1065220225724,0,0,0
DkHJBx9gvx92xrUxZb14ZbSbuJ6j25Jug3bBqTaM9JUJ,32,HpgdBFG8mFJekiGeoDfY1smvqUF4coFYiwTF92nkQVr7,447069466040,0,447069466040,451672349643,4516723.49643,451647231628,4516472.31628,25118015,451365614398,0,0,0
HiQSJni86AhhQ1QydmpAsWKvaxFXpfzZLnBqEH1A35oS,32,9vkQPMRGWstmEs7L28KX7Q7mBSVUrxApoBoLFZMwemY,307860558222,0,307860558222,311030191630,3110301.9163,311012894886,3110128.94886,17296744,310434033582,0,0,1774283643
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,32,8XUWaK9ZtK2L9aTPEmiaf6zXYGjJiBAEokbFEZNjFDoq,122939654592,0,122939654592,124205401781,1242054.01781,124198494577,1241984.94577,6907204,123058383873,0,0,0
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,32,AtF8dJ2nBKpdDenky6xnNCgpdWvTWExKGAo8J6Qm5Z9C,98989610703,0,98989610703,100008775934,1000087.75934,100003214332,1000032.14332,5561602,100000000000,0,0,0
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,32,protocol_owned,86615862885,0,86615862885,87507631984,875076.31984,87502765585,875027.65585,4866399,0,0,0,0
ABMRvpV6Yxj1b7DD4ESbo9R9oaWHvSrLTvfVx4Umsizw,32,HZNbinyoVjN2NW7FGBiLyZmKd5Zrfg1dy6tuFsQEfuD6,25940650532,0,25940650532,26207727135,262077.27135,26206269694,262062.69694,1457441,26097093395,0,0,0
EUjVCvdvkL936EFkvEaGApjQYtM7nNwZTtPfuS9YfhRS,32,4tZq8dA5Lh99HddcoK366zR4cL92Et5Tta9icvQ5DXWH,18816734557,0,18816734557,19009408286,190094.08286,19009408286,190094.08286,0,19009140337,18816734556,19009408285,1774792638
3MJmQEmqtwvL3o3ZedLjo1Q3spHmSbEqNAp1AL3A1MwM,32,DkrXM5AAmFPANx34jzvrtQkbJSwyqVD17VG6P9YxSnEU,9713567453,0,9713567453,9813575222,98135.75222,9813029478,98130.29478,545744,9744239147,0,0,0
8ppt5frg1oGp38ZL4aABUBDhDN2hVXCiY4EsWYFQDgoD,32,BpuaX4KGGkVo5HeksTW9dwbSGUhYtNtDHhdm1AaG4TS8,1981007983,0,1981007983,2001403804,20014.03804,2001292504,20012.92504,111300,2000000000,0,0,0
24aBJcL4RaKfr2YJSZovsqP4ye3nrq4pQxYUwBVUd7vd,32,GbVMnEwcsYBqzSWpnNGBwLofa3m8wMMvTH1zAPLc9obq,1,0,1,1,0.00001,1,0.00001,0,-2383616639,0,0,1769361395
2urPgrX1EheTHmE53rChpc4UeZvxKLM7B8rPy1njDBjq,32,5B8AeGb14Wom2rboCmQ7ex1KqZHAfaG1cRvPv4mnmaQi,1,0,1,1,0.00001,1,0.00001,0,-27161913356,0,0,1753720649
3hpZq5rtYr144VbtMRuNhH1HGRepQee6zCvD6zecdNeG,32,EL6bvhX3gSL5oipTkaMSG9gS58qmdfLB1gA6xN8rdHcs,1,0,1,1,0.00001,1,0.00001,0,-450857985,0,0,1762815917
3qpepLuFbE5ewydRDybqnS2GknWwWadAVsEFKSqSpwsW,32,BBBLQHbzr7LLRBRDHLKBaR3Q2BkeeJ3iMygkPC1S1uX1,1,0,1,1,0.00001,1,0.00001,0,-4289706669,0,0,1755573379
51jDUXEERKBvzNCXUECfLCBnXjcpP5YY9GZ3svSQa29A,32,8zA4GjsfZS67NrbJB14WwncFhXXjCyg9yzszCrrJ4zCx,1,0,1,1,0.00001,1,0.00001,0,2,0,0,1745302788
5mGAkSBP5sWn8nKbqcbtwRF7ZVw7oBCY62J5tFFJmpDF,32,81ahVhTqmXMEd7tT7mn1azFzhdAytt2nYcWZRyNtTxev,1,0,1,1,0.00001,1,0.00001,0,-4145050,0,0,1748968537
