authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
9PfxNp4J8dVtaHSKrs247pLBRVZtoRzrHZt8Ky5QwrMW,33,DaG1bGY85d9xHnRHA4rvJj5hfJkm4UePtEAzTEGtT1qJ,534610536,0,534610536,552958991,552.958991,550093476,0,0,0
CLLtUbLN5yMaD8ESnUtmwz3YVWEzs2iqzoh4r5FYewR5,33,3B9XmELmjH5q9XKbmnmE4gM7Wr4baZThPVdygQe8X7xH,443460591,0,443460591,458680674,458.680674,458427590,0,0,1767898987
C6jLUV5pytfSHcBqFLVCrBoPxuP7bcZHbr44xqngjfYd,33,DFKpsG99N1NTeok3HhcGzKRx1m3rxppb6qTEENqp98wD,96704426,0,96704426,100023434,100.023434,99698966,0,0,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,33,9DKsJSZqbCgZASHBbgzjF2Mjoj5aaz7qY92JDDFT2Xnh,27848321,0,27848321,28804107,28.804107,28400414,0,0,0
GFAaV8r6aB8aYgD9MJnqgXPpJU1r19tH3hNKkmLjio1V,33,3SD8BbNyJALDrnpSe17FATq2eoyshpbugBzGArQ296WB,9724631,0,9724631,10058391,10.058391,10000000,0,0,0
AVxJ8J22DFPYzeXAAGBDEJiUT6wbxa9i4e6giTkX1ftw,33,HVpj9MiSPwKgULeyfVhibGMPL8qJ5TnDGt1vq5NoqMTG,6656188,0,6656188,6787764,6.787764,6787009,6656187,6787763,1744053798
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,33,poh,5996176,0,5996176,6201971,6.201971,0,0,0,0
HboxwePXHF2V6vFMLRJjrKw5auU1s9eM55KRwBtoG2zU,33,6N3rUTZu26Ly3FLk1SqiRNBPjZygxPUCXXvzb97f1V4J,498447,0,498447,515554,0.515554,515549,0,0,0
85Y9yx8NdAkjs8HxfqNWzU2gN6MvoWK1yi4Eb5i9m7Q1,33,HLr9hkZFr737fuE5nft5A28nX2oEJJv1319A5UhdJZuY,9780,0,9780,9999,0.009999,10000,9779,9998,1749142319
2m8Dn5owNP7LF8pEdsxdchFdbWQmkzh7UfQosjdvJ6dC,33,3WoijG7HWdE2Bq8vPicCJ4rot9wcDHRkZEnAosp39Xnk,1,0,1,1,0.000001,-420326,0,0,1761630039
2vpT5DMgzq7ZTUjH2SEAgbjHmitPfiVWVcMwiRMWJs44,33,8VtSogvjgSzg9a3N8QbUT1mbbgctmhJntycmhfHDVA5j,1,0,1,1,0.000001,-198446,0,0,1749639715
3L3Qqyci92MJUuBmBT4nvQFw55zQePMjKmNgbT4BdVyY,33,2zwqHVqHMDdsEPsBA7oUwQXW6V8wDJRmHiTKrFnVE3MS,1,0,1,1,0.000001,-5551,0,0,1759654289
3qpepLuFbE5ewydRDybqnS2GknWwWadAVsEFKSqSpwsW,33,3YtXakkLNJdJq3uhUsVz2i9sycp17R1TL8NTyy5wzHkb,1,0,1,1,0.000001,-660,0,0,1757675876
7DiENRdPeXYNvk9wAtSanEZYvMfsN24oge1kxDRLKCag,33,ABw6mG1nboExevkwx1K5x3FMXhuErmBQQQtStuA3wLfG,1,0,1,1,0.000001,-102444,0,0,1747913779
7zXCs9nKv6zBPBH8HAXCiGAViBdMgbdUWQsyDTybD2qp,33,tXrRiczHFo97kfaYbqEVjxjKbb9XCjiAtPFxDgfLH8R,1,0,1,1,0.000001,-110031,0,0,1743205060
8QdM823KqVn9ZxrH1krUPWXevA6WEEhYpo6kNmrXqHCP,33,G2ryNFYRi2sLs4wwcNYFiZQqCDnrwVUaT57wwgXcuGqW,1,0,1,1,0.000001,-835,0,0,1759954056
9FqqptgxAspWjtZ84rVtq4NXRwJQqtE5HD3jMcUWVADv,33,ETmPVNM8TKEnQcJP7qwEfCj5677NYNR5a4StHGC5PbGs,1,0,1,1,0.000001,-29870,0,0,1761116547
9GP3Dsi1xnHTbFCWHxzLQHew31yVExuzp8ofeerMAimR,33,81aEdAYqtGN3Ej3B3ZxJ2TJyHD9M3wT6akxM9goNzYBj,1,0,1,1,0.000001,-66540,0,0,1761596596
9hWztDnzN3Actco4Qj6gaicqFAqQg9wpBAK1bftoN83R,33,D7bTC5rvkM8HUqAaTrqhYXxHZxwm2XbXnKCzY8hgjppo,1,0,1,1,0.000001,-58101,0,0,1760342885
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,33,5sJiUfKQa23tQLMqPwgPnAivDeEYFnuSZ6R596uKS7D,1,0,1,1,0.000001,-213480,0,0,1770940200
BmTRtsdSDZmk6uqQdMPseKHmtojjRdYZ8r6N8eDKrCXT,33,4ErmTyfE1aNxx2z3Dxcy7HjnzYESXmRoyGCwsiU1eF7b,1,0,1,1,0.000001,-12809,0,0,1750086469
DjWbX4pLruGtjng7Ub8zo7ZuNiL7Jwz4CYsiuwcHPnPZ,33,5JGjvXyASS8CHEVH1FRWg8S73tzBBie2gzomr5h8R8qE,1,0,1,1,0.000001,-184726,0,0,1746266779
DLMM2TqQxYMXYqwa7Ng1BNbduoJEpr3WpX6tDdu29UX2,33,6x2y75YM3wJVQqkjrEYLNgcvowTz67nrBMBQAXiq4hSy,1,0,1,1,0.000001,-61144,0,0,1754132491
DPQM6Nr7brZxWNwsDWkUi31XKEWhYpzE8QNJhYB7f4F3,33,HaW4cAsNvavks2cVw7MSJ2JGTMQwAynh98ZhMk12qkit,1,0,1,1,0.000001,-7625,0,0,1748025002
Dq17fAFKj9KgYvoXh932AgWg8CDGx1n7Ro4pyx2aew4H,33,GCiRy4XhZJwhLnw5WgavaYxcsmvdisZxE9KKFkUBYoSt,1,0,1,1,0.000001,-29268,0,0,1766593112
drFFit5AJ5BWeVPx6Rt4SNFncycyswkAAq1g366jN1b,33,8wozUagc9GrB14VSGFoGCEz74Z7BMtZuLPcTKy7NL6nH,1,0,1,1,0.000001,-199358,0,0,1752060723
E6zA8VnnnxNFzP1ao6gZrvC6uFGy4ErLnNg7YNZUhas8,33,J4wC8H5Em9kab48cocTkF8PHFqxZ1qUjsXpdWBzspiCA,1,0,1,1,0.000001,2,0,0,1738372983
EgvsE6nJcJzs1jRPuCjXZdk9KkLysGj5us9dzgLUwdPg,33,AgVZaRCXcMDyZ1npWXhFxrj8VqbVWAbjnBPu1WQCMAWL,1,0,1,1,0.000001,-120326,0,0,1766723679
Fp2C2dFTa7UFprUEZYsaKQKckLWNUd2HFcLusBDty19p,33,Gjzbf97sSDai2AkN4QXUvnaaNQko32rGef8e9877KTVu,1,0,1,1,0.000001,-49924,0,0,1739861238
ozrjemeLvdPhdYAmKmW2Tr4oNY5K85W6HpZPj6KeAqq,33,FLgMun59uTNAo9qHDoTXWtaCnm5TYNCs6TFyPZgLHEko,1,0,1,1,0.000001,-6032,0,0,1752961650
yuru1ARL4bcmSFpufUCdCrF4joamZRui9CawdgE4ZCW,33,9WxvLvXuqyYTAn2gvN2xHthUD6U5sAvVGCQtr3i2EDSp,1,0,1,1,0.000001,-63134,0,0,1750427688
