authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,34,poh,73891790223,0,73891790223,223404568255,223404.568255,0,0,0,0
4RwNuVLtLzLDJfFKrSQVFU3gv3dYBC41jrd2dQi2uUnV,34,BzZopwFeCCpvXnk3HPxqSpqLE6sZxp56jdpAeySwWsgs,17175070958,0,17175070958,51747723591,51747.723591,51134983211,15964993561,48089173465,1772504049
9VC3SSBa7p2QcgxUQ2Cyre69msWZCuSJhQLnFh1Bh6uW,34,4gweYC7dbLRW8XnxVZZizWQX6iQjnLVWxst85Hfe8FWM,16789115008,0,16789115008,50760239783,50760.239783,49731097690,0,0,1774648563
dcXdTQAf4UeKfQKdeYiawxvM2qXVBLcHxJ2Svxp5CCu,34,9YhAduhV2txyGnJAgAtEEgmy2sqDZsx8BwzaWkKwGEkT,12096523928,0,12096523928,36436851812,36436.851812,36206860857,12096523927,36436851809,1772505158
Bicuy5GuShw9YJRNesdCQJHDW1qK2LiXFj5G2TNBUUs9,34,9sGYsCVAYZbFjTPubVjd5EpLx8fPaPZc1zDFVEyf1TpQ,11611868895,0,11611868895,35107344798,35107.344798,31687755092,0,0,0
BASxGaoibAS2wPGwq3pAfqHmcTVmbopFhFMuqiXWHL8E,34,A6v7URoMivMAGuJD5WpEVr86H2wCm6UDvrvWkKFarZ3T,4381894851,0,4381894851,13248228583,13248.228583,12997593282,0,0,0
C8aVQKnP2Eh9hcTG6AaZBnaHsQU6TnXrePxXbqWCqnZb,34,7xVf4bU4ZAKepDvpitFoA9aRCL6LtVNFBiNdU3A6sJT9,4266254683,0,4266254683,12898601896,12898.601896,11732365771,0,0,0
FeUXBGVEa35nqfdbL5Y4EJH35mpo2M4472kyQsc52QTS,34,8N2LzeHRfgeB13PT9mrg445nn44TGuVs4X7fQ5MiWfan,3636363577,0,3636363577,10934397169,10934.397169,10000000000,3636363576,10934397166,1771156136
DMhp3nFCZNTTSDW1awsGcxrvQhst3FQ1wT4YQw4xRuSa,34,Cie8h4i7SNy3nk7BgBCQ7iVztcawpPHJMr3Bu3qu9Vu,3342922672,0,3342922672,10080808039,10080.808039,10000000000,1662428827,4999999999,1770576137
52UuDLjCx8gQ9RSsVYjoWgE1bmaL64xMbN8pBxf1V4gU,34,AkDds8q2crZ4fFB2Ai76TuwC4FyywP7YNgGfoip5Lody,2349357843,0,2349357843,7103052626,7103.052626,7031290187,0,0,1741912603
AKiWPhS78rqvztg5Y4TFwUUrNqnzWHjvngY32xK4dFt7,34,9yLxYCQsUM8hjnh55L1pLXBPFDeMDcuiXdmvUaiMBR5,2328112069,0,2328112069,7038818115,7038.818115,6915000004,0,0,1772546859
2urPgrX1EheTHmE53rChpc4UeZvxKLM7B8rPy1njDBjq,34,5yx5VwpDZZfHU25vcccNCye7cgbJm6FQ8B2dsBBufGJz,1999626578,0,1999626578,6045674505,6045.674505,5959571329,0,0,1754512791
Dt8mEeW3uFiNDVMSrc3fr4hyVgcuafAUptWirNp2V9Aw,34,3DUcWfQyCr27sT7hvpbucDT5xskV9XNkjyADKE4TFvfn,1852290820,0,1852290820,5580754563,5580.754563,5000000000,1852290819,5580754560,1772678939
3FXcDQfrzQ7ELRajwnzAUabU2rRDBrJDoUUebFRjxC2K,34,EAYhwTBqN9Jbp3epdETzTRhpbcnUGGtZicZ8Aa6jTS8s,1828788829,0,1828788829,5529163355,5529.163355,5100000000,0,0,0
