authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
2gaCFRJMqq8ZSvkArknNLeTeoif2xLmcKt9BcLjTXh6B,35,C9gJEVxzT6s16drDGfrxsWAyLE55xvV5ETcfe8Xaf5bD,340119534706,0,340119534706,3967108145935,3967.108145935,3928975136487,0,0,0
26rpm1GaCskfwPQEeAjvtdgTkTdoCJyUBC5UdikP11fS,35,7WBLaU8DWZqPrMTDWhG3h4BMDBuKs1Yokb52eazXauPc,85229106380,0,85229106380,994100743090,994.10074309,991958282361,0,0,0
H3BJbaQcQ5AzuFd7PgXmCp7W3ZJsQ58QANp93F6Y8Rfd,35,BbyQ2htUEvvXUoUnggLSZLXeQXFaMPocagFZ2Qfd3MSN,33473466475,0,33473466475,390429975274,390.429975274,342203293229,0,0,0
9UpFVQQbNuurq5BGteqe2nu2f6u4zyEK1oj2J4PYVgL1,35,EUeowLiKSja5kX6kYo7cQi4LC86w6m3GxpZUVxyb1X8n,31853501438,0,31853501438,371534922686,371.534922686,371389775089,0,0,0
C3c5zqNHA2p12Csa5pZ3VKoQpZoGZG8Xt3hCutenZh8d,35,2fL2cJnKoTA8f3vYLnivQG3T5SCKS9A82ZX81aNhAqTP,17544039203,0,17544039203,204631294979,204.631294979,183278524476,0,0,0
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,35,2ijrVTNJ1V9mgkbTbjo2wBZFiw1Zcth4bw5dV85fLrq9,13961527919,0,13961527919,162845369011,162.845369011,160132277590,0,0,0
9mpWKAHB3CS4XhFDZn4AeY7KwPCQCdbTgAh8DjEXrGJE,35,BVjrXJAaehQPr31ck8mE16SjPwKfM2nQDLBdbLWFPH2S,10063993804,0,10063993804,117385059446,117.385059446,114077644249,0,0,0
6dqe4fHN8DVHV4RjSKmcCKU5HQpE8o9tgZG5CN56nGCs,35,CSTrAXKhvbY2qagJsCwjqZdbLvemctxjUVQWz7qG4qzw,9394538498,0,9394538498,109576623509,109.576623509,96461105354,0,0,0
5LRV9yNWfBZXsLH3ZFvRWJeP9fKHZnFTkQWfTsxMNa8U,35,2zUwryUQL6PUNU9xjbH4Dpd1XHJcZgonL4DA8cRCigrB,2884775999,0,2884775999,33647636189,33.647636189,29024041820,0,0,0
DB3nfP4UzQe194MHBdYPPaxcjb5TWN8btiw4Ume4Wexc,35,FEXpcEzkTsUurm6e7o6Ar5DPpyDXR7pJXntmUvuqTUnF,2523907478,0,2523907478,29438514676,29.438514676,29425363374,2523907477,29438514665,1772142459
6YktMmvQN1bJzkYzYnSzXXMXZTsd82G8Tr1q3YeEiHe6,35,Gi7yAupH6JtoCMBe8pdguy7kMRP1h4KRQjocQyjTdEbo,2018847660,0,2018847660,23547565429,23.547565429,22319086359,0,0,0
3demjJtXVgRyHdssJarjGEhHrJX7NbMLLUXjayAL5C6Q,35,6pH7hid1EV9ErEXUzH77WSbjyHY1aEz6NjjyTAH183Yc,1,0,1,11,0.000000011,-18258652846,0,0,1753979872
4aE9dRS7s2FoJFoMiqCEGuu57UgCRhPcZemuNbb5Tb7p,35,4z1wvT5gDSP3Wnh3Q5p7wp56gkB1riUGkGSfYkpdLA9x,1,0,1,11,0.000000011,-187351291375,0,0,1757385742
5xuj7CwZvHtst3Kx9vgKZNLSmZUS9LbNK8311JbRyYhi,35,Hd4W3c7YpTNHnt2jMnpgUySyUKUU9i2U4YNtoYvpv4Kg,1,0,1,11,0.000000011,-7196150785,0,0,1749065671
6u5tQxVkzhkLVwppig6AXzjxxPqJdw5pHeZdy8jSrwSN,35,DoXViKExcezCpE7Ec4Q4VKajvG8p4Lue6WV2cCbUbxU,1,0,1,11,0.000000011,-671322267,0,0,1753066302
