authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
7uN7Lh2p86g23p6rv6zmSJWJgGr2EDTABTcMkLkCTXFH,36,EhotxVGus7rS7YaEoPtAiiNC4joVekRvDMexxXGbdcsC,84826970,0,84826970,1127290584,1127.290584,1124849076,0,0,1748538410
EwTUSxaPY3WEnJgbjgFM2hKaPwEPpcDxiNRJgNAQWBmd,36,8A2MGXuBKfwNPYKJdihfCvYdpPwdrs2rEaJvL1pt8eem,1905954,0,1905954,25328783,25.328783,25166267,0,0,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,36,poh,1695681,0,1695681,22534404,22.534404,0,0,0,0
BHad7VToKudK1mq7H8xYDCApaeprNwyR7q8teX4PRRf3,36,FxjB5M8QohYtu8CC58Py2xweQEuFaDxb4yd566vqHYSo,1650441,0,1650441,21933196,21.933196,21841580,0,0,0
6Z2HJXYN9rJBc1VHcdjiPKuij976s8EjgqdG8H2ftUYP,36,75PZ8rgA1AKZHp6g2gzksGhr1xTVHRSpsRfjr1zcxBuM,680271,0,680271,9040321,9.040321,8994718,0,0,0
AaVR8T7xhZXdELXYztsF5D5pZ83Va1JnZLHvJABRE5GL,36,AmvUz1PTSUD1aLMV1HuFej9JsDHdR1gACGepQop6126j,497819,0,497819,6615663,6.615663,6613300,0,0,0
Fis59jzu8Q8EdXaFKRsnqEuieui3zPtFfhyCACnfJc19,36,8NFkiPYLaUVSWMvsBXkXk8kkNT35WeXyGDmiwvs5c6eQ,326940,0,326940,4344801,4.344801,4192156,0,0,0
CDcc7Q3eYfGJbhF7vCJqojMnby1tmLNppxB9gkxH6sHE,36,HvSGsokXHj92qNVMqjQNwSoS6smg9aH9Z3xgmTRNUiV3,160329,0,160329,2130659,2.130659,2051843,0,0,0
2nAm4LFPU9h1kbjwtY6zPaKNvceVoLhrR3FmQLrz7uER,36,2ayJFucWJyi497tXHe9og8rNAoeucxnW2EfdDB8DNkhW,69611,0,69611,925081,0.925081,915386,0,0,0
2HR1cp67jBUfQWr8kgPF7aTfbb55JCmhPdntVB1cA7f7,36,EGtF1j9Sz8SWNDDtJvKSbddNQKuEoFbxtkWYzdX1HjH7,1,0,1,13,0.000013,-2871,0,0,1756418521
3e7J1nuX8coJ1MHrEAJ1bBydUTAG2vwHyc1o13Kt4DAY,36,BYFQUDnXLjfwr9YiFXthx8dLDvCUDA4xvu5VVMd6ym9m,1,0,1,13,0.000013,20,0,0,1742442643
4z2E3rto6nAzh8Y6ixZW5ytA1p4jKcgqZkd22DqVemSP,36,GFTcet6XhH49ghpZQGLwCr78dAHZML69VtzqYn2PiYbo,1,0,1,13,0.000013,19,0,0,1744631029
6AH8hNNAjqKkjMsyFajbFY97NUAjCsmFCfncPFsv3THy,36,4JSjPZoWkLTcD2P83zMPPNnYLiexC1cFsVDEsHxEWwUg,1,0,1,13,0.000013,-280055,0,0,1761549419
BFymwsMjocJH8VUXK9JLnTzJsKDpQoStunG1ReWS1aPY,36,9aUUXxNUuTG4Mj2hB3g4jyW8bYbNQh4ygdoGpqAMrHff,1,0,1,13,0.000013,-1197397,0,0,1745395742
GqJ3Ga3PZ1pnoWrvQiAM29QXwTtTkN5Eaf2MzERfgjaz,36,5sL3H7DbMuhMC3gXVqUZJfnJzGsbBQy7gcvoDjwZDc3q,1,0,1,13,0.000013,-250408,0,0,1742895709
HFeE7Jayyp2M1LjBzbuFJfksZq4yWM3gFc5f6fdHRe75,36,CpVaDrmjbfCRsBFnUtG6KChPV3pL8xBitVPWNtDcALWp,1,0,1,13,0.000013,-116582,0,0,1753835829
