authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
3gthc3EgHxfLf9LVeNro5eRYULUJV35kVaCY3U7vFPQV,37,CKgijZ9SApfSPCSjqwF8rJxhRpWwM2mdowovNErGvTff,54160507,0,54160507,409198930,409.19893,409198930,409.19893,0,373905803,54160506,409198923,1772769519
AaVR8T7xhZXdELXYztsF5D5pZ83Va1JnZLHvJABRE5GL,37,9VRnoP9viwdjA5RQLWCuUr4Rw7LKXVHYA78H6b98JGrQ,26383157,0,26383157,199466438,199.466438,199400625,199.400625,65813,199365273,0,0,0
3ovDaHpvxoVQ9EycH2HGo8bsbAy49CnU5VAHR1wmVypN,37,FwaEWJzVgGyAWNXZCUBWLwx7ocrTDr2VTc5uvvKesdqX,9427837,0,9427837,71277937,71.277937,71254421,71.254421,23516,66606736,0,0,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,37,protocol_owned,8685776,0,8685776,65667681,65.667681,65646016,65.646016,21665,0,0,0,0
jwxzV5tRgz1MpnMTTooBxYAez8Ddi5u64VafnpB6kr4,37,F3ZwcwwTzAboWv6dm4Ky9pFcYfLYXWhTJb185D3zszuA,7593342,0,7593342,57408476,57.408476,57389536,57.389536,18940,52325768,0,0,0
Fis59jzu8Q8EdXaFKRsnqEuieui3zPtFfhyCACnfJc19,37,8iPsALmkwzbFvWH19ZjVRKp8Nb2TN6kW8wCdXSgSkRUx,2891101,0,2891101,21857793,21.857793,21850582,21.850582,7211,19974431,0,0,0
C85eUnzQEkzcQ8KpvMaFW7UgPxi7tdvhbNij4ikhS6yF,37,BRXLZyocupFXaV7Ssy2iq3edxNb8FVAVYYJ9pHqAMf8Z,870694,0,870694,6582768,6.582768,6580597,6.580597,2171,6272789,0,0,0
Acm9jFL38gYns6ZFtyfGuSXvjsSd6UxyaDa8JdTEkJoj,37,ChbSfs5mqEaz1fVZdbs4S8unDfwr6zdp9cArnjDc5CTY,60563,0,60563,457878,0.457878,457727,0.457727,151,424370,0,0,0
39nUkRKZZg3K3nSsRxF2Nx5z96PKXAB9KxvARqECuRU6,37,DhaAaapHvtJmyPnNcCUYWLs6PJSS9sjmMtst3s6X2FsH,1,0,1,7,0.000007,7,0.000007,0,-58842,0,0,1774380133
3qpepLuFbE5ewydRDybqnS2GknWwWadAVsEFKSqSpwsW,37,BNG48HkVpEew8Xu2L24QR2KdMKjcQnxRmHgxzK42mVgg,1,0,1,7,0.000007,7,0.000007,0,-134254,0,0,1743571011
4YLgefuGFywGawRk6pXqYLskZN7hydG1uWRW7bWAhuAA,37,4z2j5EWW9BXML338B38PAF8iKUboMxjsXTzJG4WJJitJ,1,0,1,7,0.000007,7,0.000007,0,-59531,0,0,1749072097
7uN7Lh2p86g23p6rv6zmSJWJgGr2EDTABTcMkLkCTXFH,37,FHvf5RoDFXpJWuyAHQpBxHzYQGwbdsCtsrj9tUcnEqsH,1,0,1,7,0.000007,7,0.000007,0,-7096697,0,0,1751912482
BFymwsMjocJH8VUXK9JLnTzJsKDpQoStunG1ReWS1aPY,37,8tUJyP6wrptFhkiS38JNE3ob4MCPsKENCKMMghUwrUaW,1,0,1,7,0.000007,7,0.000007,0,-948917,0,0,1745395735
FBw1Puf6WFVRazAdgH5VR1LHdw1F5dDme4oir4QF7H8H,37,FmzDWaXCvF4LV629GuQJPGKqC5unNRxiyjNhc4G8hjCC,1,0,1,7,0.000007,7,0.000007,0,-754727,0,0,1742391787
Hu1QPZpxD9Uv936TVpAz6s3un8C1c3RXa2qHBo1rx8WN,37,76FCu1rSnwr6yi477FwWkEjXnZkJyQPZZw9uguy5uhBs,1,0,1,7,0.000007,7,0.000007,0,-3495635,0,0,1769291999
