authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
3gthc3EgHxfLf9LVeNro5eRYULUJV35kVaCY3U7vFPQV,39,5rQjMi68Uyvy4m9xwoQeyoqkHPF8Bjq4KjXCHuHEZCZk,23639032,0,23639032,505263211,505.263211,486073269,23639031,505263190,1772769498
EvnrAQ66F5DrCoNVC1bqyD4wAetXV3RFtcAJUwxrCf3p,39,GrF76aVgmafTt8xyUEX42YD271XUqfcmvdVhFphFDo4q,21879943,0,21879943,468473483,468.473483,458648064,0,0,0
6AH8hNNAjqKkjMsyFajbFY97NUAjCsmFCfncPFsv3THy,39,Q6Ycxev9b5q8YDGBvseoB2L9DdEvbgoUD9ajhG6MvB9,21376807,0,21376807,457700791,457.700791,451507097,0,0,0
AaVR8T7xhZXdELXYztsF5D5pZ83Va1JnZLHvJABRE5GL,39,4MPvQWfjxxWySJdpRjzTqqRhNdGPpF5meSXsVekVNpd1,11417344,0,11417344,244457808,244.457808,244039350,0,0,0
GFAaV8r6aB8aYgD9MJnqgXPpJU1r19tH3hNKkmLjio1V,39,7L9Fytn1ZkEwrLcfjoTJkWELH8KjAtW9ZoAnbKU4TrhM,9617968,0,9617968,205931202,205.931202,199946613,0,0,0
C3c5zqNHA2p12Csa5pZ3VKoQpZoGZG8Xt3hCutenZh8d,39,5Ji9dQHReF9BWoVcppVQ9gmAaWR6qMPaJyRKNhwsg5rZ,8505798,0,8505798,182118427,182.118427,171918802,0,0,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,39,poh,5949505,0,5949505,127385401,127.385401,0,0,0,0
BPrzQVTYco8fAtHgknAkqutXyEMS4TB4cmc25h37MRu,39,AUt4GQnQ7GEdmcYWkcoVKbxSfokCoAunyX22JqjYQfxX,1493859,0,1493859,31985153,31.985153,30928321,0,0,0
FE9DrprrQ1QuLCNwdCUCzj4jc7sUkxzHWDKL79uDx6kh,39,HBtJb2fcN5UYcb3Fi29mbVmAv9EugWfHokFNdNzfq44S,533177,0,533177,11415902,11.415902,11079503,0,0,0
F5Se4B3ufu4XgsX5bFVYftZgdAUNK4wsqNv7XyQks8Yj,39,Da3j75WsE8e7rRLT4P1Dg1HgfC5NkfaTozQtR92GnvZa,381078,0,381078,8159296,8.159296,7879776,0,0,0
39nUkRKZZg3K3nSsRxF2Nx5z96PKXAB9KxvARqECuRU6,39,AXYE6LC9cKwQ1HTXadDghrCdTJX3NxjhM6ce8p5PBV7V,1,0,1,21,0.000021,-104425,0,0,1774380127
3demjJtXVgRyHdssJarjGEhHrJX7NbMLLUXjayAL5C6Q,39,CB93uEmUDsAxzh34Gvif7j7fdXehVjymRRm3eE7HhDxf,1,0,1,21,0.000021,-32387,0,0,1747971674
444csMHxs9nciP5F7dpsWW3CrjAN1VDB15ekswQLpkfr,39,DELbtfMbhEMx2RkafrGUSZv2CirAhUVcCNDht6GkpHep,1,0,1,21,0.000021,-13059,0,0,1747050316
