authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
34Wmv58UF8HUmjdcWdCZVU9o7h8N5h2fTozqRwh9mucM,40,2tP6LfhPvCneAk9ESVsNsSn98SHFLpNEDUrkYnmuDRt1,1929173348,0,1929173348,10330125940,10.33012594,10330089543,10.330089543,36397,10000000000,0,0,0
BFkCerJ2Lk3brMLnnBYWVeG8SmZW1vtGhtdBUinDdsf1,40,G6GvzaA2aDZb3g7VNBMc2zHHmFE4TnWoWjGjFfspGEdB,1360990032,0,1360990032,7287680210,7.28768021,7287654534,7.287654534,25676,7012557885,0,0,0
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,40,protocol_owned,1035852545,0,1035852545,5546669641,5.546669641,5546650099,5.546650099,19542,0,0,0,0
8HrJJBbVtzQ33HQQRARKmsjqw26zseWWnT917VxiLBYk,40,5ec5MNvwdMwxFGu3J3MkQQd1B4FvjmFfyvKoKgzFJh92,16962497,0,16962497,90828919,0.090828919,90828599,0.090828599,320,90466761,0,0,0
Eqzwq648uZGmdBQB8VJo52oY177qg3sSCiA5zrtvifLk,40,3BX8UvWjoPL9SHNh2U3SbGL2PQvVXYwARJywizi1PVg5,4523149,0,4523149,24220062,0.024220062,24219977,0.024219977,85,23605750,0,0,1762399989
FvFjDU271T4qnqrKYchpaS7Hphtpzkii2Sbfq7tjJFT5,40,8W8o8Z6jN2JojhL9S6btdb6FzZfpfCfi4m45aJZKic3J,2149326,0,2149326,11426924,0.011426924,11426924,0.011426924,0,11426928,2149325,11426919,1750894588
5M4ABekMKZmJBKPnJ4BGGAGuuEnSGA58xee1z42ptyhd,40,AaT7j2kRaF3MCyrmcSVd7cPXpkko9BgPuTE9fefTXmAE,1,0,1,5,0.000000005,5,0.000000005,0,-138094280,0,0,1750799904
5ZfAtKqNvWbZZHDQReARsjmKxtydi5rMBm9CsvZymog8,40,5JeWTRL9PHjMamENtRsmE4RjXoNELcTxPKcNEKqDb8it,1,0,1,5,0.000000005,5,0.000000005,0,-356700,0,0,1749612400
7o7rZwbUJRU6VmaqT3VxMDvMMKnzacSByv662DLfH3pc,40,DbjXR2fCcEjMnzPvJ9zZyGBLqnZrvEQEZmwr3hmKJiEr,1,0,1,5,0.000000005,5,0.000000005,0,-12822485,0,0,1753644410
85Axu1RjrZ5VLUw6R8LtfDutgeSSLdDRWrNEQBNU7wpd,40,76qufhXWkgdi6ckUUeg6aR7WDfd3PPZ7AZYSBrGUget7,1,0,1,5,0.000000005,5,0.000000005,0,-28705342,0,0,1750064835
