authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
EAujB36EQEfL1MBhx2Vj2hk29Qx58BbscezgWjoyCLH6,45,3R6D9zFM9WWxKpVa9mYaqdSBZbBrPBLDL1KnUr3LEzko,7915073,0,7915073,8537808,0.08537808,8536311,0.08536311,1497,8470000,0,0,0
4rQr8uc9T2xWH4DsSzDknsbwY5c6A3ksmHBpoz4Cq34Z,45,2apPeQvSqcfX5jtSynJkh2ye7e8vo49GFVZDqVzuVpHT,5656812,0,5656812,6101869,0.06101869,6100803,0.06100803,1066,6022224,0,0,0
8kVVNq4zroXc4ry1AWxpgCiCc6gSHwoteWaX6iZriQJM,45,9ZzffTGGTChdKopUCjVKwvvG1tFjn41scJm3GQSrTZmG,4645454,0,4645454,5006852,0.05006852,5006851,0.05006851,1,4985610,4639100,4999999,1774160373
FdhydxvQZfnev3ib8PjZhC5nXW18iWwPbDnwiTDQ71Jv,45,J2zDBMV6yZGdUg3UztiiMMN5N1e5hXb7bPZET4eKNVmc,920941,0,920941,993396,0.00993396,993223,0.00993223,173,979666,0,0,0
EwTUSxaPY3WEnJgbjgFM2hKaPwEPpcDxiNRJgNAQWBmd,45,GWW14QYxiAv23RGoCvLJwnEoUJRM9j25ED5odyr1xvaB,917808,0,917808,990017,0.00990017,989844,0.00989844,173,972400,0,0,0
FkEPjRgEpToYdTjZ2swW11XtFqdZSkuKKsmY9qdrdBk3,45,7LmHmHL8Y1pGmQeHK7CRcxNdpWsZkmWmTRTCtnrPHDEB,671458,0,671458,724285,0.00724285,724159,0.00724159,126,710857,0,0,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,45,A955ycnq8jZTFSgWs31ipV1L5o11nj6bM1hyhDJRpNaC,527537,0,527537,569041,0.00569041,568942,0.00568942,99,563010,0,0,1761094308
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,45,protocol_owned,293962,0,293962,317089,0.00317089,317034,0.00317034,55,0,0,0,0
3BLWGrSbHqAZtNzQz7j4sdWYsgixE6yyxBB7iGFtMGVb,45,8d6GXbcNympkS1jt54hEd7bMwQyPXMN4os1H5c8pqWUT,255614,0,255614,275724,0.00275724,275676,0.00275676,48,274464,0,0,0
A1wvnUdJoTuEQxyuEr8NtvarhucpZryyXvW6UNxjGkFX,45,BhZuWbVpiW9M7bjyoTV6ahU21q9V2eHnXRkC87PtGXpv,201648,0,201648,217512,0.00217512,217474,0.00217474,38,215641,0,0,0
