authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
Bp5Xh8ELbXFrtdLGXeEqpbo78gSEY5zF45fqkz5sQdWC,46,Ei9BSAffdsLUKEHi2LkDU2ZafGpqf7sZoxWRmAwH121,1316591157,0,1316591157,5623086950,5623.08695,5623086944,5623.086944,6,5513933041,0,0,0
7wYK2PJb8rtP5PS4BJFVLNTQ3VxSTxw4pyFyY64AZWbn,46,DruSDjdhf2gnXCW69neAakE5fKX1oq74toxt5YH3nbyM,1197562896,0,1197562896,5114723923,5114.723923,5114723921,5114.723921,2,5060822522,0,0,0
7BgLoDnwqSAWJ4y8UUYaU5aiqNeNUS8wx8oH6F7uMbPD,46,BuxuV3m3iGmp8qhRNoVrtVKD74WZruR4C8mdsuzVdtgW,750464994,0,750464994,3205193874,3205.193874,3205193873,3205.193873,1,3029929687,0,0,0
AnpKGGPnz31HcAnebnjhttkbPd8j5MoKnqeEgv1trvRb,46,4mu5iFvXSiG94pDDJWBfFMr1digfwiHJYdx2SyH8mwTc,621456129,0,621456129,2654204251,2654.204251,2654204250,2654.20425,1,2653946311,0,0,0
Fj45QipJGKhR8KpaTHcsJ2PbQU7kkjQb15Foc2XgvVhk,46,9Arc48RSdbq5uWT1ZobCS9DGzqcmVSW4jAaVsd7ZBAwV,319495181,0,319495181,1364545987,1364.545987,1364545987,1364.545987,0,1358838709,0,0,1773069134
6tG9p1U8yHt2X7e3gg6RhUmLB7tSYQK5mcYWcPKSgGgs,46,C7BsTvSLiMABF6RKnHwEHQ44znU3cT6jmibDnhAwx6Uf,164528237,0,164528237,702690866,702.690866,702690866,702.690866,0,668119705,0,0,0
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,46,protocol_owned,103590253,0,103590253,442428157,442.428157,442428157,442.428157,0,0,0,0,0
BkYAsHX6j9DcnCuwCiGHHhVqBtfFYFDRBfwHijzAP4Li,46,FSYq4YqrQjrCcsW7nifRRhdCXGWxkYAD68TpXZenie35,82971456,0,82971456,354366432,354.366432,354366432,354.366432,0,337197627,0,0,0
9Rk1oRaga7JtsNYBbAsjnX9CX8i9Ur3so3xFxa4Z5sfw,46,2R1fo7K33nkBroNg5xvBzPZveVZeQKfGy6zLqPEsosAR,64412687,0,64412687,275102971,275.102971,275102971,275.102971,0,265606125,0,0,0
EgvsE6nJcJzs1jRPuCjXZdk9KkLysGj5us9dzgLUwdPg,46,CDVQEuigEM5tbNzjLof9nSNuR3As32X6fVnj1KoJGnWV,34346366,0,34346366,146691401,146.691401,146691401,146.691401,0,137153837,0,0,0
FVhCdUmDjsvnVhvyGJyQqJ9jk8v16xLMLjSDvpaWrAJu,46,CNUdek98Nu8Xr5DyhYQjvwf11KjXysibyCbecbEkFsER,21937804,0,21937804,93695129,93.695129,93695129,93.695129,0,90208575,0,0,0
GsySNWnKgAsx5KEXHvJ7adp4fJd6Q9aFdpUQZL4FuNU1,46,AB1yCubGmuvfAHS7qLoqN2GoVKnw22UFpGgPgWQqQH5N,21445786,0,21445786,91593748,91.593748,91593748,91.593748,0,90624706,0,0,0
8YrhoSUGZevMK45Sc68Affj6ygMvNeVZ4RV7sGsG3YfF,46,GURGBaGou7gjtxUAW7U55JT576DnBzwgkidvR1N9D4TJ,8516118,0,8516118,36371862,36.371862,36371862,36.371862,0,34023697,0,0,0
8RiBFxcCKha5Ezfid5sYVsETGFwdgF3JXVZbo9gZjZh1,46,2kK4HRgivgCFsyfbavn1fc95tUvorHNQjNDNRK4NzjEh,6927813,0,6927813,29588300,29.5883,29588300,29.5883,0,27664058,0,0,0
FKCJsKv7y7hwSEGmGFw7bct4EGgSjSykJBWeMUDouvg6,46,FUB5qvRCk31ojdMRgnUZe3dK545nEHMRy8DuD4XWRe4E,2040998,0,2040998,8716987,8.716987,8716987,8.716987,0,8290753,0,0,0
6nXyXQqF2azhse2TNm9KYLnTW4ibVM2MonowQ6QUts1Y,46,HAB9Y55nFeZAVf2TzZhWUJp2hf3SdD9UxoFmbCw3Mkkj,1420535,0,1420535,6067025,6.067025,6067025,6.067025,0,5673809,0,0,0
9DkpKvHgLqAHEzW2V5SDLX2HFdrswSQaP8M9aJpG9E8g,46,9SezmmHPTFkWL7geiZjyuHtEAXuratdRyhGS6kKVFZ6Q,327878,0,327878,1400348,1.400348,1400348,1.400348,0,1309397,0,0,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,46,BFRQjstLkM5dDots3Wa9SFSNtoa2eang5MrCuvvnDWd2,10927,0,10927,46668,0.046668,46668,0.046668,0,44809,0,0,0
GFBD3azM6uAWDc6PXnHRpL9DZcb7P7RkL8k3ggcXzg4m,46,BkDZkUDaxzfCp5ZB4EttpaYo1fuNNYRN1zsjHLdJypLz,1,0,1,4,0.000004,4,0.000004,0,-43642,0,0,1761358006
