authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
2cxnJBBcXAFXe1k7K2dfiQmwWvhXtQ573a4aXokDvu97,49,FwyawPK9snQHLFed3wFmWNBD9dcEKW15ZMyYrJFuoFsz,2344382179,0,2344382179,10096115876,10.096115876,10000000000,2344382178,10096115872,1757508735
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,49,poh,727713372,0,727713372,3147580993,3.147580993,0,0,0,0
2gaCFRJMqq8ZSvkArknNLeTeoif2xLmcKt9BcLjTXh6B,49,9H3ky4XfrgRaQcnrb4yFsnqX6mU6i1Egrpao3JmeU2Ng,701189360,0,701189360,3032856599,3.032856599,3000000000,0,0,0
8FXX2p1w4rw8YgZYAT6q8kDR3LW3LupQEgahWEyr6qtk,49,7JrR82qDrr2akV95szbYRPWBTnzrmwUF5BogWGHgW7kT,17729583,0,17729583,76685822,0.076685822,74590870,0,0,0
FBKM5qEj7EFALBfpY8H2sqpyCYnB9BCczj6KEcaeL8E3,49,7ENHy7BrmA9XRFXkc3AY9LTyXETJK8vy9C7a7rQRtso8,7138440,0,7138440,30875917,0.030875917,30574882,0,0,0
A1hWv2neBnoDp7uut1bYy7CLE9yGSNjvyKtdkvrFUs2C,49,67ji9D6bVDPgsogmxPsLMzNQVDhMS9mT4CTSzgWBPanu,2156375,0,2156375,9326975,0.009326975,1,0,0,1756451260
9QisoDvwuYtJoUooM9JXRuah8g4c19M3au8kDQ7GiWxW,49,34SgVg97SQdFzuxUvUmcA1YCAoZ1W2ThKwSYLdTBrcen,1156766,0,1156766,5003363,0.005003363,5000000,0,0,0
FvFjDU271T4qnqrKYchpaS7Hphtpzkii2Sbfq7tjJFT5,49,Gmdm6T1EN1e3PJJ9biTSEsge5RHdU7TmMHJr7if5s9am,1183578,0,1183578,4999999,0.004999999,5000000,1183577,4999995,1750883285
3mizMpHaBv4RnqkJevVxrqYNnQGbD757gSicNcAZHnff,49,ApShChFxWVdd3QH9t7kSEGSg6KfhdBgMfqYfnAeHA6ST,1,0,1,4,0.000000004,-56229087,0,0,1756140167
3qpepLuFbE5ewydRDybqnS2GknWwWadAVsEFKSqSpwsW,49,4eNhkge49AmyZbAndbBcZmcVpwnUF4XtUTSLZnoALEeX,1,0,1,4,0.000000004,-6079759,0,0,1752626594
3ruadCasQndcU3ue374Je8p4gDmYEoz5ViZecZavY1fB,49,AboXYY1kPyse151ta5WkcydgGeQngVDXfH8rzZ4zqPvL,1,0,1,4,0.000000004,-231757,0,0,1755405716
3v9Fn8R4ERxpN59trLdGNqJfYHgkWDxvRdyt8tPWtBgt,49,DwQgsJPqcgnVvAtcdWaKiPT54xKkMs9DR6VncdSMttjf,1,0,1,4,0.000000004,-21471879,0,0,1756642397
3vvGKy59UHZ1DYErvEJxa4vA4yRR5UQe8njqoxKZyU7m,49,BM1S28ZLxh5US2i3xsg2cnb4z7s5ZWETTovEnnM9LE7R,1,0,1,4,0.000000004,-24410411,0,0,1755900953
