authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
2WodYPhpSrDVt8njf36BHPptYpyBbkrtfufJwhEMHYoJ,4,Effb3omv6HUf3QpJW7zBUJwYoLTib1e8vSbjpF8YN6D4,324687601,0,324687601,1592417338,15.92417338,1592243853,15.92243853,173485,1576802966,0,0,0
9bZMA6TFMZwosoGJqMPX71WUbELmqxefT8eFmi3tRoLb,4,DbDRQRCEbtRMmY84HvbXpGcMe7j6ZjXSkk8teX5bVuZ2,235979856,0,235979856,1157353736,11.57353736,1157227667,11.57227667,126069,1152639371,0,0,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,4,protocol_owned,209030833,0,209030833,1025183334,10.25183334,1025071662,10.25071662,111672,0,0,0,0
By2aADE8wjn46rZHZmXx2pQbMmg6CDPBC3pKvs77oSjR,4,AJrarDvzPCx3EyprKoKuBHLizL2fToKW64rFVMswLhXN,88114487,0,88114487,432153966,4.32153966,432106892,4.32106892,47074,429547135,0,0,0
BfQdzVM8sDQiL5PD4tszEsZ3taFdCBeLrWccfSyKFF5Y,4,AXRR49uiqwo5gduhL7YutujgWesGwaL1cmpmKYmdjsXQ,39594236,0,39594236,194188341,1.94188341,194167189,1.94167189,21152,192485209,0,0,0
Ctykq4Etf4TcbC3wYzHjEqbBg7wCkZk26Y2ACnqCAuLa,4,6P1fxHkdJ1eH1Sok9Gn5QiB6aEn1vdSrqc7VPakjyRv1,37808911,0,37808911,185432286,1.85432286,185412088,1.85412088,20198,184083135,0,0,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,4,9nQb9pnDzkNccpVkiYBvK9HSDNhf8quAtv7Lu6iamEy1,31064178,0,31064178,152353014,1.52353014,152336419,1.52336419,16595,140003402,0,0,1767373355
ArRqntRT1QiurpDvCyp2T3fzwtbf61WiZKzJfXM3aeh,4,DfovF2eNs5ki5EbyTXPtL5qxGmBxiGRMHW36zzKdFyBL,20538049,0,20538049,100728037,1.00728037,100717065,1.00717065,10972,92740038,0,0,0
4z2E3rto6nAzh8Y6ixZW5ytA1p4jKcgqZkd22DqVemSP,4,DWKiCoewkL9zaGR8Qn2qsKieGv2t4oLrFaw8tcFu8GcF,9119689,0,9119689,44727148,0.44727148,44722276,0.44722276,4872,44006892,0,0,0
CgF7keMQVVU7RGb5EWn827CcUe3G3Pa7TrcaqGdqjE6C,4,BZTJ3RMCeQbE1SiQ8kqnGr1DEJFosgRPTh3YnEC8YPFk,7384700,0,7384700,36217964,0.36217964,36214019,0.36214019,3945,36073208,0,0,0
DYzay3XLwycauRpWkqzLmZ56ao3PdSSV3wSDNVCwuB5Z,4,48HWo5BPHxGC8WKQo99WQZDLDzEN9sRy1sEkW7hGQEBG,4595323,0,4595323,22537576,0.22537576,22535122,0.22535122,2454,22400000,0,0,0
6PfEBeu1WLC3fSuGNi7GeQrFz5ZMVxDbYMYreEiFSyi3,4,DSVDn5iS6jipNbE3EeYj5VeFoUg9tyUBWrJVrHiJp4BW,3295919,0,3295919,16164701,0.16164701,16162941,0.16162941,1760,15045392,0,0,0
443BxjTrkozvzsikoovMy6x3Ts9CPny15CzxWXHh3NzP,4,AHoWJUowU3hTd7z8SqaBmxkYnifyBHaDFsWaD5nrYVax,3103002,0,3103002,15218548,0.15218548,15216891,0.15216891,1657,15100000,0,0,0
GFvA6mYaFxHSm6wHmgehL6r6bRhAgL3k2r9Gozzo4rkW,4,J4r7veM9LqidbgNyN4H1TLDm6io8miBZxJq9AE5GVnfg,2628702,0,2628702,12892363,0.12892363,12890959,0.12890959,1404,11004626,0,0,0
CxWyUjYb6hpfRnHQxbFm9yxZ1gJmvYxVhNderNUaMDhU,4,FToBiF6BRdsvb6t6RTgrYdyU1w9bYf1Lj84BqWnWK9eg,2425195,0,2425195,11894270,0.1189427,11892975,0.11892975,1295,10154805,0,0,0
7efFnM1ZLrN6BiJPZWN1HRrADvmHk1MhBENx6nai5isQ,4,A8rKto4wSmMEY4LYaGXMyW8Biw6pXqrVzU1D5X7vKog1,2388690,0,2388690,11715234,0.11715234,11713958,0.11713958,1276,10000000,0,0,0
6hiu5hAm6mWjcFNZb9FAMh91yCj65FtRtcLjhU2C1A6v,4,FAp7WCDYkaHqGzpLDRjgPXXMNDYjwLaCp4Tkphpo6M74,2067334,0,2067334,10139156,0.10139156,10138052,0.10138052,1104,9972952,0,0,0
sop6SQCk7Vw4PKMoRG58N1mdMwx7qVo1Bcyfo5bjowj,4,FVvm4VGpGsck6XkgfBkU4pWTjX1G7aQRnqJtMPDQPiAa,2050397,0,2050397,10056089,0.10056089,10054994,0.10054994,1095,9910996,0,0,0
6AEhqtzHXA598uJ2pU6XKeT4uT55JQqmSc2dgv1qyvNo,4,DdaRLpckAR3CZR3hsfbNrvjfJeVNMCuHVyxvWQLaE4xm,1651347,0,1651347,8098964,0.08098964,8098082,0.08098082,882,8000000,0,0,0
D8nNyyE2BUUAdjjkKFqCWUeAA39uHfiEg6tyFnHDWDJm,4,FVXsfLjtyviR8ozm9Ru3CZ8AQLcgARSYygKZgWbSueFo,882484,0,882484,4328106,0.04328106,4327635,0.04327635,471,3876665,0,0,1759656960
AxfoqjvaJM3kjB1mDYRVytv5Q3ERGztv65vGQRBVs1Wx,4,9QUKjmhCEfbw3mGuasyVAq6ncVnPeBNgMNAxVkUVUMqq,827843,0,827843,4060122,0.04060122,4059680,0.0405968,442,4000000,0,0,0
8GD4QVQPWtrazjnUAKhR86oPdHYCpWei1KNCqNivVwyT,4,JBs2AsrQYi3F7NTTAHrKqCTFDEbcQ6YVERauTDteDjrh,701440,0,701440,3440183,0.03440183,3439809,0.03439809,374,2955092,0,0,0
DgEzZHJmXgJTczbG3RyE9vfhhridwdRrHYzbEjX4sqYa,4,3Yc8ATg3Wh96UDkYdKKA9PsbgKD8DkPtbi7CnEEUGLpG,651660,0,651660,3196040,0.0319604,3195692,0.03195692,348,2960405,0,0,0
FbH8Lvp22GyqUNhmkFwy4nk958b2w2UUBagJZMc9ydvu,4,FVba9fDKPjtyTgnAWmc7KAjQNRtKtcrkYPxwLRib9pvL,477538,0,477538,2342065,0.02342065,2341810,0.0234181,255,2003650,0,0,0
JAXsTPCyg69YmaVMxHo7AQba1mwyCavpjv3Ec5TBFL36,4,6CRwcbSa3wTFYDmKAE2FDWRWZwWAir8CF7wJRqsdiNoy,429722,0,429722,2107553,0.02107553,2107324,0.02107324,229,1800000,0,0,0
35vvVc51riknB2w3HiSfcxdhHvGyWe9xVzWvpKu6n5D7,4,FHEYHFWtQrQ9SJst38AhLH5gwCTL1ptu8G3jHRr46H22,477099,0,477099,2001540,0.0200154,2001540,0.0200154,0,2000000,477098,2001536,1707496056
B5C2zjDnhQ7eUQkotVSjU1tMn3GGAY5jSTz1UfK7kdiM,4,A34cQtQxkPVokoouyUcuGgjovekVwj9Gq71R6JVZBeZf,347332,0,347332,1703475,0.01703475,1703290,0.0170329,185,1457241,0,0,0
CM2MDK5PxJSnF1765FU1my8Nnh5vs75SuFR7nBWygNtx,4,A61JcKST92upyaLCi9VjN5eN2x8JdEhNTkg4AB484AY1,238878,0,238878,1171566,0.01171566,1171439,0.01171439,127,1000000,0,0,0
8iZeqJgNjm9Wk1aL2FVHRkNLzEL7adWCyVbJmaLLJipZ,4,7aAwpjV3pmeJU71L7fiZVkzAicjJ3U3Ey2gRcW5yhpde,238740,0,238740,1170890,0.0117089,1170763,0.01170763,127,1000000,0,0,0
DpUcHGVTJrbpEkqFLDUe4ZNMGXCrjHf6ygYYQ5Uop4RD,4,8abAbAhELHjk89AV7B51HQFChPJtijvzXRU9P2spmVgz,226160,0,226160,1109191,0.01109191,1109071,0.01109071,120,1091509,0,0,0
2XcvV81GjvnHoBwKTKDd4moi5V5niH6DPF7fW5o5zZH7,4,HNhu7FMAWw4SbWUwRrV7zzUNhjXB2zJprYGp7Tp1Psps,215534,0,215534,1057077,0.01057077,1056962,0.01056962,115,1012870,0,0,0
2mjoxkb3C1pFwz1aGDKEne7CgSzmkA5KFWWuxunsWDE1,4,7UE5R3ZvD6p7iYU9TaKZJH4sLU1Xcx6ns7XAK5B2sA7L,217666,0,217666,1030990,0.0103099,1030990,0.0103099,0,990944,217665,1030986,1770204302
BKX6SDfoTMBPDgtHJXpbqaBZuGoV16QD8gAZtnhDDedm,4,12bSDyUPcbHpaGnb89ajW9JjLvUvrKDj7VSpToZ8DCK7,190411,0,190411,933862,0.00933862,933761,0.00933761,101,797106,0,0,0
CnHsE8Yr2yQUqzzSThHv3U4wEsxaRV8GY9w7eWZS5DAY,4,GaC7kY5AxfsLjN7jnm19uDge2G6ZYiMobH5DX2RVDwmN,180524,0,180524,885372,0.00885372,885276,0.00885276,96,756257,0,0,0
3DdsNJR4kBsJ3TjwgyYHvfGT51dDGWF5s21HDawQkREx,4,EnsZ9SbapSZk99Rja1pPQ67N8k7tBHDtXGDfVHRntLBA,134963,0,134963,635852,0.00635852,635852,0.00635852,0,566911,134962,635848,1757360425
GfQcocrTCeA9W7PuirmEqcwTUoE14HPUA5dqb5qDT3bK,4,G4SL4i6VkACTcB7xsXrBBq1Hgq3usXNwW6ZcAtTRz9S9,119333,0,119333,503054,0.00503054,503054,0.00503054,0,500000,119332,503050,1713599797
9oHXfTUhH5VfH2ciyEUsAc39he27xQtRRxkPeKXoFArd,4,AKdfoWAKsjSX24zHPW1hovJW1FiZcgFWQK2dbjEcyWXb,69760,0,69760,318212,0.00318212,318212,0.00318212,0,293312,69759,318208,1740615067
HboxwePXHF2V6vFMLRJjrKw5auU1s9eM55KRwBtoG2zU,4,2p3M51xV9mjpXo1iLqZ2zFwkTMDo3QLxbZjGu8JgYcxk,61081,0,61081,299568,0.00299568,299536,0.00299536,32,298964,0,0,1773603329
FL59rXTKns1KFWahaYTY9utKCnbzXV37BTSpkcLCPSY2,4,22t98PXVkHqtZ3ZFgENNaf38gPZCv2qixje8vfBLmFxh,60349,0,60349,295979,0.00295979,295947,0.00295947,32,252700,0,0,0
dgsGPsRvXu9zEqK3hu5Ed5GMLpuacR6kDCpcqcK4oqa,4,GJjxn9zJKqXB77YB6wKY3KWBSNztREcPRC4EQZfv3rqx,54779,0,54779,268661,0.00268661,268632,0.00268632,29,264621,0,0,0
68kSjSHoKy5sJ3yBKQStKk5vFtLYWaZN6qKEBjuj94Tv,4,CErtTc1LcENWp5SQczasy6NBJVvuq2nDWJ9MMw8q6Pq4,54239,0,54239,266012,0.00266012,265984,0.00265984,28,253455,0,0,1755036162
FT4rNdVP8mFukVNxZRtHcZkjfdQfHnif5u7v8AZBrntB,4,2dxeg5ofzo3XbaVTgYjCnKLTZ4nWHx4U4SPEfQFuEvQ1,47746,0,47746,234167,0.00234167,234142,0.00234142,25,200000,0,0,0
XZiAcp2YnpaF7wpEuKffSNgZErjXAdVAPR7rZDFLHZH,4,5qsNU6tqxJb3Zr6pu45dpVD86w7SXxmVbZbr2ZdZTUNn,51592,0,51592,217337,0.00217337,217337,0.00217337,0,216482,51591,217333,1710587467
6YEPCecmLMN1JFMGMmSTZEK9H16C6yqV5STHoDKy5BVV,4,HJ3UQvD6RgVYga1bGuKpcM7FnGZpr9QNEWsWvTDeSBds,30919,0,30919,151640,0.0015164,151624,0.00151624,16,129605,0,0,0
EPKpfCmdkqT4tK2oLffSuQHQd7eY2JXLc9t7qeNqoeFK,4,GuHC8fLKbxsRSKR64nnvLZp8kmSgd4u95wBS2VFRdnus,29124,0,29124,142836,0.00142836,142821,0.00142821,15,139751,0,0,0
BodwpuVMg3Uac5c7ZGLYdwmAD4zoTzz94qxVcAFGhaXf,4,D2AqJEnw2h5EDVy3C91L2sThWqncJkQXGiddLpcQZ3Ld,23885,0,23885,117142,0.00117142,117130,0.0011713,12,100000,0,0,0
FTnUe6TmX6DXdGvwageikrru8kJRFBogg14PpKBNtnWj,4,Gz6S22y8FuMzNYVeEzMUkkpepV9twLrEj9M5qTdCMghm,15456,0,15456,75803,0.00075803,75795,0.00075795,8,65118,0,0,1711724627
