authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
GkkMeqVHgfAyTrBtjHjvPm6s5CJnhyHbVaaJEJcEBaXo,50,C43aqKihgUEhWPWHP8xZbguHrAnfioJKL177hYgkd7mt,930607969,0,930607969,2515182337,2.515182337,2500000000,0,0,0
5JCCShKAFJabJGQfystLxNVVS9hZDmZuXL4fogPfhD55,50,96u9Nk7AJJdwQdkNooCc3vesnwURJdtJb7VUtSzvgTiY,558134828,0,558134828,1508487900,1.5084879,1500000000,0,0,0
3VgDCuYcoX19rLqHk7yjsERkRstWQiHrmuiCSjF3UWeo,50,XBp6AefgWUELGhYxCs482Lcrak98Yg8TiDQehFZXmyp,520167223,0,520167223,1405871704,1.405871704,1396526644,0,0,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,50,poh,384532952,0,384532952,1039288853,1.039288853,0,0,0,0
G6m4VpZtyHVVWN2PY67PiGyR7Hs71gpPFo6MiigyhEs5,50,E5vd7Z4HRa99ZNhmNroMeXuSDZLq6VDTotfCF9yNPGwt,320961872,0,320961872,867473370,0.86747337,855310119,0,0,0
HAzWB9uik5fUmA6c9ErcMnSrHDDFuR7L7YTHNf2nAqNu,50,EDijYbpMTQaVHwR7udBkN2bCnnumByspE5Yf2wMoDmJg,38989692,0,38989692,105378621,0.105378621,103445798,0,0,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,50,6yLoQeLCrqXJMNW9YNuWDvpF11TNZZv7vDynsbHHQp9c,24443427,0,24443427,66063990,0.06606399,65693679,0,0,0
8HrJJBbVtzQ33HQQRARKmsjqw26zseWWnT917VxiLBYk,50,7xM3cinE8keZRMKzNYYnfXhGiBTohA2FspvmAbF1HHzb,12214910,0,12214910,33013607,0.033013607,32775358,0,0,0
2NPrpkwMsSWSgtPL2Kxvmn7TLVzXhPAmUa64hFT1ax57,50,2habYAiUjJRL3LhDLECJJffRQukVy16VrNvjP1RdpLHc,3,0,3,7,0.000000007,-49956177,2,5,1752079564
2ZzUNJwbd7fQhFZYQ4oG7qGMwzgo6srX34spRvftSnKt,50,yh4w5wZVVQinKkpZbx9b1uTVBU4zPkqf1AmDdKqX5tC,1,0,1,2,0.000000002,-1286382,0,0,1760249555
4gscbsPeqk1ETepVSmstQ8hASMTxAkSyFBYNviMrVjrS,50,9XF5q8d9JvZa1SFAeDq1eHyhPyqm4uPTw2iYoGeZwmXc,1,0,1,2,0.000000002,-318803,0,0,1752006635
