authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
G3S8bD7mjEiLAC83ciovAKre6enbKzigkDBpDRB4ShXx,54,7VtqE6x3tVyFAwxpWYgityG84joisYQYtCompmUhzVfj,5028819360,0,5028819360,5411350754,5411.350754,5273321715,0,0,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,54,poh,4524891789,0,4524891789,4869090504,4869.090504,0,0,0,0
6iNxrYSXoYTD9tB9dsaTryqvu6Ng6Jn2wzUe7KwutAAN,54,DUZZQeJ64XCToqkCMhrnt4ob74sbLgfDgncPb4snzEDg,2929166871,0,2929166871,3151982249,3151.982249,2970443034,0,0,0
GqAnCDGzf6XkdSJzs99HwTsKd77Xi2xj2k14CsuibcEn,54,HU55DxSH9jaUhxZBAB9dLCmayUR9utqABAaMq3h2ogvx,1982988923,0,1982988923,2133830594,2133.830594,1997454625,0,0,0
4sPRBWcBYxbyKvGCCBR4fVFkN7w6YoGWEfF8gFUN9CWc,54,BraQAzmFoHMzrX8srBsSmMBLhWWtg37aaJLhjVvJwr5V,1826604277,0,1826604277,1965550107,1965.550107,1852722589,0,0,0
97HaQ9tFWezjLREr6SFodoJFkE7AApaoSi4KKzjZM4V9,54,9sprH6FDa1MWEsYq6JToTdsbWEADUnQHC4rrRJ3Mmddn,1005625733,0,1005625733,1082121503,1082.121503,1016835347,0,0,0
9g5Kk8FE8Yj19La4tGgGMM53wsVMyw8CH7APX29idDC,54,HyGrkAxiCLxRZeX9TeT8N6AYg8nDkc8wNdvZ8jXQtC7e,981270291,0,981270291,1010926513,1010.926513,1000000000,981270290,1010926512,1756396754
9jarmwnN1kRvmqGVbcBF8NL5xKGzRmw4SQwtzT3fRB12,54,EhHCXUreBqCEeFQuKFQx5VbcVPXpDi8GbyEPn6SyTHdp,772427038,0,772427038,831183889,831.183889,792424941,0,0,0
6EGSZAXCeLxZDre2RsZL6Ayuxcjf7L9v8Bu4NXfQPqSM,54,EKJgPzzfWXb11CyaybesNzYP4jaWLQAMmj3rzQirVYGX,659319808,0,659319808,709472837,709.472837,686665744,0,0,0
DaaYqvka7xYd58CKbvENYXrdXeRDd13KciRAVuoXoFEQ,54,AfMFGogWdatyMfRFUPVZJCKWFevV17TtGrqY7GajBbVe,478963058,0,478963058,515396740,515.39674,487021242,0,0,0
443BxjTrkozvzsikoovMy6x3Ts9CPny15CzxWXHh3NzP,54,BmJock8BLdWU5BYSmSGqJGgGW4R6TPAPNHmM8b4W6ryF,415882730,0,415882730,447518028,447.518028,439000000,0,0,0
BrR4nxvXdkZYyUBKL7UeeiMwtSWZiR1Puk7qYVqXfaaV,54,CAHgYur8hAbs3iNc4gFVGFeEm5ouWKjiBGHrq5XpHib,414982587,0,414982587,446549413,446.549413,425830102,0,0,0
EEtY8nTLbybD2ijh5JcS2JsfsDubTXzSmF5byv5LEQSi,54,7pu2v6WiLspfQCH15DYxnA3wzg1MLU2PujwbtByLi52h,338725198,0,338725198,364491290,364.49129,341334780,0,0,0
Cjk5MfghRMyUoN6H9C5tniwCfdrpP2KhuxSo96hCUKxf,54,GT51XwxqqZSXmytES4J7j3TcgEmSKCYY4kVaMpmNKnAo,137836475,0,137836475,148321397,148.321397,133944709,0,0,1759074705
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,54,Ec1U9unqoCS7mRnZ4Q5Ac4wgqLUy6x1P9KSiXwgBqcR9,110694632,0,110694632,119114932,119.114932,115966017,0,0,0
BHad7VToKudK1mq7H8xYDCApaeprNwyR7q8teX4PRRf3,54,7Tz6WscRVwncDqN1imDPgc3ECxojTV8fKUZ2hXqu2E5P,103522229,0,103522229,111396940,111.39694,111000000,0,0,0
HUk6j21dJuafs4Qr2RroJ5HGoLCfg68rHRBRKUMhStNE,54,AtGKqmiZJ6WnezJPYR3Lqoa23jcpN2LS5ZcWX1wmPzvb,102924520,0,102924520,110753765,110.753765,106743314,0,0,0
8T7R9r3N7Qjdy3qz2ioXtZ5d9For54ZAiGo6bCZGmxr4,54,CuaAaQmzeEJHrDsNhzfwNy3QnWskpp7J3P6G7dWLCqSf,97988344,0,97988344,105442105,105.442105,100000000,0,0,0
Hh6Fiagk4jsGLH4pfeB7vDJUnNZMzcWXUhi7astWvnx7,54,C77Q3hvLRbjc2PbRfC3Um8reSzesc1YBUUBVnaDWmhdB,96762143,0,96762143,104122629,104.122629,101699733,0,0,0
G6m4VpZtyHVVWN2PY67PiGyR7Hs71gpPFo6MiigyhEs5,54,FeiQ63S6zN52SNv1fwVXbGhK5XWknsQQkMN6zikjWfpu,93380526,0,93380526,100483780,100.48378,94864492,0,0,0
3sPCCveSkSYRmaAdpWEuXBGMCp6LC99sCMYQUZZh6WK6,54,498wRZojhAiAKCDmj9Z7AJLqwQ6jDCKX1AtWawNDgtyj,93267412,0,93267412,100362061,100.362061,100000000,0,0,0
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,54,4UYRPZ6sMguCaxKgrtjYRXUAcX1tM1tmUL3dsyAK9MKy,65582552,0,65582552,70571274,70.571274,67671116,0,0,0
8HrJJBbVtzQ33HQQRARKmsjqw26zseWWnT917VxiLBYk,54,3rpGE6CQ2LJTrEE1ikDeBWLcxZP6uJrE7qdz1yHSbcKg,51235815,0,51235815,55133212,55.133212,51679797,0,0,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,54,CX9zt5ubwtNrbxFdEwXWJrkZryv31C7LCbgN6s9ktjLx,20554570,0,20554570,22118111,22.118111,21571702,0,0,0
CN5F3BWnPSP29HK4SdhpRrkrB2ye7XYYHe36ytVeP6iU,54,A5ts4MEhpuUbTKiNaLG32EnycgFMDRQd9gYrFG8mgDWn,4240997,0,4240997,4562478,4.562478,4263364,4240996,4562477,1774470509
AiVwMtpLU3Wz6bSXdt7KbfzwBCPy5XDttP1vg3JQqiRA,54,CBYnJbukDnkfNXuExcfxzXof4f3x763oTUMDguhs6oE2,3080442,0,3080442,3314764,3.314764,3086112,0,0,0
EBFtGUpH78HvHCDo6Roa4QLqT7Hg4j1PTJbW9stcdUtm,54,6v3Z6du2xfa9xq7uPX6Fvi6gFpKFDbXgVCi6h9jZ4vWY,836395,0,836395,900017,0.900017,847304,0,0,0
2FBEauTmzuk6X5vLAWdtb9LJam8iibMPXimVP71wYeAN,54,4KQnA3ZHrzVDxbnpUaeBvKVbNYfmRnyQPQ24YftRids8,1,0,1,1,0.000001,-1117023951,0,0,1763076366
2m8Dn5owNP7LF8pEdsxdchFdbWQmkzh7UfQosjdvJ6dC,54,5eNEJF6CP58Axkvfaahrqm1BU7uQjagaGgaLvUhC6qao,1,0,1,1,0.000001,-19057607,0,0,1760504387
2QUaDqX5GUPU3aUFcLVcF6gZFaW8ZKR3Nvye3GACnQY4,54,D7BbiT5GTECraTm7JsTKkhy5gXdFYiCsWrPnt82Fu45p,1,0,1,1,0.000001,-3092345,0,0,1752650364
3epiYkQDbivosMdcCDuHvvYozZWrbL3wRZ4mD7Y2CtqK,54,7GHmskqggghwCr9F17FeEL5eYCHoe2rUFbK74dbwaCDn,1,0,1,1,0.000001,-181253,0,0,1758857903
3KZ1nPWYE3ecjdnwWJTM8hW4FphZ54xPmC1xWM1REPkZ,54,7qy6MXjFcvCWnkkhQP2kj4wqKRb87oZtRDMZabyWsap1,1,0,1,1,0.000001,-252836380,0,0,1769587994
3ovDaHpvxoVQ9EycH2HGo8bsbAy49CnU5VAHR1wmVypN,54,7JBDCs535b2eeFBYTTQEm22DQyN9wpSqLbC5WEVYE7nE,1,0,1,1,0.000001,-236707954,0,0,1763081154
45LSGSKKRNVFug7cd5YkcqdnmgYMszqA8SVGwxWLByRE,54,71EqaDqxMybofP5gdCWcVmB4XMoCRKJ4oVWhmWCm1XUv,1,0,1,1,0.000001,-318999,0,0,1762417718
4dSyctdSwLBHyfA3qZMtqpkn9n8h8aXQWN7YAUy6MnzQ,54,Gwyt9x66EHYCGvEoH9YeUWWFwTHH1kT8deLiiWK6NW6y,1,0,1,1,0.000001,-2477552,0,0,1758697264
4NmQR5nXwerdMc9gn8h9s3csd1UQGMvNPwpP2StSDqeg,54,4jHad9pZZNKantKWLmbD4cWCqeVAGXVAUyWTtSUxn7Ut,1,0,1,1,0.000001,-19823581,0,0,1761601015
4RPqEYtyvx3wx857CA5QsabC9hfS5e7jtQuDY13ubKws,54,DEu9bNghUqkGTcCcVwW7HbUbdy1d9bBrmJrPksBZPE37,1,0,1,1,0.000001,-1712205,0,0,1752395120
5tEEBgDvwqURzwH87EDhJag1bXChDbehoPAECRrsLjnn,54,E12rQzAWZPdonkQmEv4i9Jzi4i2Tr1BRGTok867vuZ8c,1,0,1,1,0.000001,-167888,0,0,1758833083
5uRDc5RzdHdcLf7hMhvxJE1z2EosKc8amrEyDtyqVfTG,54,6e6X5sP9K9AzuSoVLyJfiiXHKna9vESWmUZrwNdcdnxu,1,0,1,1,0.000001,-31650268,0,0,1753626401
5xL5DUapc7FFV2BKjb63JNamMJqVLRLBUSk7h9KPVj2f,54,CD8HYWHeNURhhXHQcjyMi3kwcvmt3DAGP538w9KfnJHs,1,0,1,1,0.000001,-46284854,0,0,1758797656
6yFA6skV6HUpShco9y8ASwHpQSYrj3u1Eqr4N9YRrR4N,54,E4d5wPi2gmi2FBsQwVe4FVL3jmbwrLsuHxqnv8dqNbED,1,0,1,1,0.000001,-167324218,0,0,1771901474
7R57sV33GsofyW8ia1xnBK6KvNzz3i3DhnDjxXX3Tmn4,54,4JQ4xKJyX1Q5viNyutYBsiYJH1CxEaSskpwqF8M3jCzr,1,0,1,1,0.000001,-4021402,0,0,1770439997
7uN7Lh2p86g23p6rv6zmSJWJgGr2EDTABTcMkLkCTXFH,54,FUKRSSXBqqcqvLLqn6BpmpS5j8VpCriC4KNGFBYZXXC7,1,0,1,1,0.000001,-229074979,0,0,1764611231
83QXPnaniDBJbFKGmckDRbcTyNrPfY5P4MhXDrraqMU2,54,9MWUxSt65StTovR8ZKXb8y4LkGBTWPRPT7u8Kb943MyL,1,0,1,1,0.000001,-12970787,0,0,1773086418
85Cf6TdRuHRMFmZQ4ZgDK76d63eHpRBrpAi4HznLLHBG,54,5sMMEioWMfvNv7Jbw4D9yWxoLDiTA5Jd5yYRTidPwwZX,1,0,1,1,0.000001,-460823,0,0,1772140125
8bqpSEZiWsb3eTQvb9bqztR83kMmjNVbBHgYn3kn7EVA,54,BQbzFYWuZR3mxWzosAE3szLgDVtqry31jHrQMZ1U2v5c,1,0,1,1,0.000001,-17212824,0,0,1754617714
8QdM823KqVn9ZxrH1krUPWXevA6WEEhYpo6kNmrXqHCP,54,ERjPLGsrNWypom8YEYmmZkfb1TZtcD5zmvTMWCJaM6iV,1,0,1,1,0.000001,-91497601,0,0,1762290364
8vzsuAcpqxmSX6xhMdjaCPZL5cpAz4Hc5YwcyA6DPLSF,54,6RN2KDAcEAMjZWVCDqTbudSXx81nMGMCwaeAh9Duy6SB,1,0,1,1,0.000001,-475228,0,0,1772201731
9ERChia7sPaEraHdz1mGB1qkZT9YgTD8r2dhwRTXwmDT,54,BPzxrZpP3qFSNsJB2EfHf6Sr9SrEXmpwGtajErTicwbn,1,0,1,1,0.000001,-3718155,0,0,1755270857
9K7JiJggxXKQoHnUwDfcYmiwUZw999aeFHj8MGVhS7mw,54,APzSHxqRQrngfsWoH63tnPvL5z7y4y3skrrREVuKWadg,1,0,1,1,0.000001,-6051052,0,0,1760383330
9rgWHfF48YhKix3Ti1ugv5KhdnuxmWg7fF1J5xF5RWgK,54,6987cw3YvNEZYFi1Hr87yx2kmeT2nFKXYPoqXJWGF7G9,1,0,1,1,0.000001,-11077625,0,0,1772194016
AdFbvxcgNiYF8dBUaujkknhPpMX3JgBB4LESZ95GhaGA,54,CJCvEr2UKwgXr2AoMBCumsF7J8HsQhKWSQmzj2SxpsEp,1,0,1,1,0.000001,-39576,0,0,1761339018
AgrasdPeGkPWVGzqPnn99yaAquFGFmWY51pXGZetUpbA,54,DE3zP3cw2TU4CLvtsM7JLdd3FqZseqtyk6nazgDeRnxd,1,0,1,1,0.000001,-13140396,0,0,1762763732
Aht7q8iHWYntUxhraduhQHEVu2C775i3d8LR9PqQyQv,54,BzV8VJjrVZBXSxR2s3J1Xiz49p66wtMY9gT1Q4z6jiE5,1,0,1,1,0.000001,-87425426,0,0,1760902463
AJjrdmqQGx2Athz1XVgT6dXGgZs1kjunQURUkwLUus8J,54,4L99o4Gor6z8HbbyfEGGjAqiSwub5Q6PXkEBZawiKNwD,1,0,1,1,0.000001,-2737680,0,0,1762249677
AKiWPhS78rqvztg5Y4TFwUUrNqnzWHjvngY32xK4dFt7,54,8T1RCvnq7dGcu8SovVVaZudKDFimJRxyps8Jkc8xrZke,1,0,1,1,0.000001,-2905957,0,0,1772546849
APw8ifFZZZ1U8UkXMVEbeW8DGBnYyhSDwoKiMy2bvxgS,54,DyMpQxPjqGw8gxeYJ4iPzK5QP5vtSHTD5GuNkN6wNRb5,1,0,1,1,0.000001,-70029,0,0,1753166124
AxqQqW1gQnXQsDFgkmMUvdVv42QP87MknxJZKnjhG5zu,54,AFnsvLep9RB6TPEWXFN2DZsX5zUBLpLtdVBnNx4xTu82,1,0,1,1,0.000001,-8928,0,0,1772367935
BPUBbNtf1Q4tNNEKS5iQn7xkNDnmdr1fzfShm5KGk7Yd,54,5TGBDVcCN34wZrtatRJh5gcCW1KgZbvS1p5vmiBoADop,1,0,1,1,0.000001,-15111111,0,0,1769634407
BpxCBNLzqYRZiBBDgN3GYbCsxttR6PaFXUk2VAPuW22h,54,2kDyGxXht3J5dpvFPfLEAj2NwjLCwN3JfiXxpbe9HXxu,1,0,1,1,0.000001,-5514171,0,0,1761406366
