authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
6Z2HJXYN9rJBc1VHcdjiPKuij976s8EjgqdG8H2ftUYP,56,6BNu2ZVDD7ho8GYBZMaSiUixhkAowXu3cZyTSrJ4oD4m,53839123533,0,53839123533,78288375254,78288.375254,78288375246,78288.375246,8,78282643453,0,0,0
AaVR8T7xhZXdELXYztsF5D5pZ83Va1JnZLHvJABRE5GL,56,5oqiiv4dzEaUhLr1ybCrimNeHLe2mfd5c7MgTDM5K7KS,33795122504,0,33795122504,49142056158,49142.056158,49142056156,49142.056156,2,49142051337,0,0,0
5KpWyrPEnXNsgCvbzuRUeUEALSY5E7nx13pGPHbHLpf6,56,9x9wjCcFDnATKFmiptL3yyJL8wNVd9xwyX2v6jkN8Pwx,10785926864,0,10785926864,15683997700,15683.9977,15683997700,15683.9977,0,15609861150,0,0,0
EAujB36EQEfL1MBhx2Vj2hk29Qx58BbscezgWjoyCLH6,56,FtyxHfigAGJkGmopTyjWG48Q51P1NfYczomWgj9mUfwz,10652356556,0,10652356556,15489770868,15489.770868,15489770868,15489.770868,0,15462357343,0,0,0
DNuGDVXnfKv4sM1Nh2iFpkdcjNFH7A3mVrmAVDxQWH7U,56,9yWNcSXu27BV8fJByvHcRNjdtE1edG88zf8gwnUkinau,6409130104,0,6409130104,9319623902,9319.623902,9319623902,9319.623902,0,9296000000,0,0,0
HiQSJni86AhhQ1QydmpAsWKvaxFXpfzZLnBqEH1A35oS,56,Bn9QUQTvHtup1HpKeAvxQHahX5mP3Ku4NX9QB47v1mpw,5278227215,0,5278227215,7675158987,7675.158987,7675158987,7675.158987,0,7674822987,0,0,1759584927
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,56,protocol_owned,3671260281,0,3671260281,5338441334,5338.441334,5338441334,5338.441334,0,0,0,0,0
FNzaijXu9KPKi95cigGQfj7av37JxdSNrNDUKjWCUWRa,56,H9cGSFNDNx9gZHQnVe4TQqJ4wCAfXxLEtgVTVDWGDn5u,1759044005,0,1759044005,2557855479,2557.855479,2557855479,2557.855479,0,2554142402,0,0,0
4TKL8sp9diALGQ66q1Sohttw3evHCd3y2D4Udw4Fd3PF,56,D7oCex3f77f7L2po2bpea884Hqu9qp57am8K5b4WurQV,791961895,0,791961895,1151605114,1151.605114,1151605114,1151.605114,0,1150000000,0,0,0
EUjVCvdvkL936EFkvEaGApjQYtM7nNwZTtPfuS9YfhRS,56,7F9Ws8jvJpNswYdTKr3Uzjs8Rp7gt5ziK4dhLiKfWcue,607996691,0,607996691,884098216,884.098216,884098216,884.098216,0,884098130,0,0,0
2nAFVzKrRaskH2p5hBHcgtj8yhPFiAgaF5N59aoz4tDZ,56,E68q7Z2nnMymtwv4zgfuMV7kDLMk7xy8UEj221YAcWTz,1,0,1,1,0.000001,1,0.000001,0,-407045,0,0,1759076014
3qpepLuFbE5ewydRDybqnS2GknWwWadAVsEFKSqSpwsW,56,3TMJBSou3yndr51n62jkq73PvcsLKLoUgJZ8KQjpPNrP,1,0,1,1,0.000001,1,0.000001,0,-3982603,0,0,1755573395
5dAa1WBTRKRphTm5NPGK3itDN1voCtY6ESBNNDxGNF5z,56,6FJ8SWTj7r6BNWvWVer7YsZ6r2Vmm76FF2UgZKC4dLMo,1,0,1,1,0.000001,1,0.000001,0,-483554640,0,0,1754820739
7VC8ckqCfpFfDzSAEPPdynYU8kTRQDNX2RzPZEM7gEfT,56,2JJ4rUkeDgUukbA8LC4zmYMePjD2YC6wbMiN4kWHqTLP,1,0,1,1,0.000001,1,0.000001,0,-569253230,0,0,1756367485
87VE218PmHisQVhb3y8TBWgXyCgBNQngzbuEzNXuyt1w,56,EtA9wVhw1WSXLSXRWobYeAWRKpqYnd1LUck8Ceyis6ZF,1,0,1,1,0.000001,1,0.000001,0,-8527141,0,0,1763270013
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,56,5bGbz2ypoYDbX4hL1GRs8ESDUSXmhJwPt3ZAozM7XqXL,1,0,1,1,0.000001,1,0.000001,0,-29640091,0,0,1768610444
GhiCQtyZd3DBaYo7hzwQghQjx4ARAabXmYkhx6fFygTe,56,EAziV62P61SNPv5FxqqzJrcYaFSRXcPB2tzjUbxYfkcf,1,0,1,1,0.000001,1,0.000001,0,-510143,0,0,1758950427
Gmzpgv6XedMZMvJ5wpQwtW45ZsUQQsi5TFv7TF9eP4CX,56,F14EDLZzuLzCjyWaZk7emXvzYHAbi4eoj35TDjMbCB6W,1,0,1,1,0.000001,1,0.000001,0,-963106931,0,0,1754888978
HufdxFZr6BREdejdYfMUZLbLjLZTEjbF9HmPFib4QQs8,56,4K291ZVGKABSLfccbSo5ZAWDpYjG4GpMGdx4b7zzEF91,1,0,1,1,0.000001,1,0.000001,0,-21208135,0,0,1755868568
