authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
FUSuwfZV7zyEqtzXKChUqsS25D6K8k296hy4sh3mSCSo,57,F5K58kbvHAJTxBXFDdVQ48qsShPoXrWiStUeuNbugyHz,2306411186,0,2306411186,9088575789,9088.575789,8847106203,0,0,0
7hpX9bZnn4XJDzKiBKmVJwqxB3UpwDsc3zCkgFYyVqXK,57,3TTe2gBf1J9kFgwcf14QXumYxKPukowQHnJxY24E8MpM,1914411999,0,1914411999,7543875372,7543.875372,7308586161,0,0,1759508009
5xL5DUapc7FFV2BKjb63JNamMJqVLRLBUSk7h9KPVj2f,57,GbWmX7qxoDybg1av4y3QGGE4eGvZa1tMACzUfWUuKTPX,1316279918,0,1316279918,5186893762,5186.893762,5000000000,0,0,0
A1aSgS7khZyt5ue67VKmagUVjpfsCSgxXXLfTJ9WraPH,57,DNqRPbZ5mjvq1gopH1kfJns56vwKYNdFPGs2RejeVYH4,998605652,0,998605652,3935075933,3935.075933,3789755298,0,0,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,57,poh,264632888,0,264632888,1042804541,1042.804541,0,0,0,0
FEwYeM88r5fTbUbh1cfQWySVF6JjXxwx25cVkVxNdSi1,57,FMVLD8n7B2GhRyuQKA31gLAYfGewMhbuZ2jSGLVB8N36,232243462,0,232243462,915171725,915.171725,890385276,0,0,0
EgvsE6nJcJzs1jRPuCjXZdk9KkLysGj5us9dzgLUwdPg,57,13Yi6bDjJ4nZ8Hmyx5ZjGDeeMeqWbet5bzYbnWYX7XJZ,62488233,0,62488233,246239285,246.239285,237845480,0,0,0
79kyFNdbvAdFvMyGNhqtYaKUCjq9T31ss7Dw1egVeThB,57,FcJzoJds4Lw85d4SpHb8jtfuoauWm4QcFpkRbJjRbK81,23866503,0,23866503,90697616,90.697616,90162348,23866502,90697613,1757075697
ATVZLcd4N5n3vyeu1TDecqUR8fPuQmyM99WhJW9muofp,57,6VkYaitwjFZvdzbKrQMWHJLtQwd5sShiiWysXKqnuctU,6680968,0,6680968,26326825,26.326825,25380234,0,0,0
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,57,C6G2m2uucsA9sDPZGeH4CQmRBgNFBtJQopFraPrWun67,2596030,0,2596030,10229839,10.229839,10000000,0,0,0
DVbugxQrvNVP3XGCa3yBfd63Ybghkhu94hFHa3VVDyPJ,57,E8zsHq4MQp2euUgh4yo2qy7gS2Cm8vkKamLbNupXjt8E,1316425,0,1316425,5187465,5.187465,5000000,0,0,0
HboxwePXHF2V6vFMLRJjrKw5auU1s9eM55KRwBtoG2zU,57,CPLhm3xm2aQcLUtjexAtQcWxEeej8uGS8iXnCAbjK5zb,1073011,0,1073011,4227506,4.227506,4227506,1073010,4227503,1774283838
2PvyvMtCYh5BcqJjAM9K972RRRYKDqaA2bsqHaCmPWjr,57,FVxJXCXSphFezTWtg2fL9K9DhZ5SF65owti8KG8C55E9,1,0,1,3,0.000003,8,0,0,1763797658
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,57,EzDYsmWy3f3vxH9rBaTksBcUCP4fritPtVgxf5sNEFeZ,1,0,1,3,0.000003,-2634350,0,0,1764031141
43JnWJQnuc35RSQvNiv7XJqXHL5o97ZZ6xk3s7mSCXko,57,3i634WwjPTKVsWqvnV9gE8HFhWmmL6KPcj3nKpSEu6ib,1,0,1,3,0.000003,-3868951,0,0,1758525606
6E2RU7i96DtkGLtgujY2EXkt8swdNKNsVC4Wp3Aq7vZA,57,2yH1pSLa1vvzXUMMBBC82Dqmt4uVC4L6M1bpKFUVLXKg,1,0,1,3,0.000003,-1358,0,0,1763735409
6yFA6skV6HUpShco9y8ASwHpQSYrj3u1Eqr4N9YRrR4N,57,4aYNqTBJSDrVK2bvAPsYLLBj6duifzCgghpiTnw8NCUc,1,0,1,3,0.000003,-73404265,0,0,1764506788
