authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
BNwS7xrNMi2i8cmUZiMdvRss5hmpPcjdHYNVfQBQBENw,58,9Pimedovh8dSqukkHxvg2crcANHYAyNfN7MDz3R1yH3S,4136587,0,4136587,4318167,0.04318167,4257450,0,0,0
8foMZ3b4our6WonK6FFWdhqoozwx5gRVztHHozrY3ipz,58,BGyFdcornNrHAeL8PMEVY9CxqK7KpJepTXzLWuD9DFQt,1946718,0,1946718,2032171,0.02032171,2000000,0,0,0
8VS5NYtGGTAk95nfJ8NP3DNu2Srj3gVgkAh3CqwESJVd,58,EYnS6dbgHfFzMPnUfUtFm6Q2t4dWY9tNsxnYwiryyy5Z,244512,0,244512,255245,0.00255245,253940,0,0,0
3BLWGrSbHqAZtNzQz7j4sdWYsgixE6yyxBB7iGFtMGVb,58,GZBQ61NJA58Ne2CixX2Nu22MHLBiRh4U5SBQGH7iMVeR,238145,0,238145,248598,0.00248598,246857,0,0,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,58,4QC7zqmH3idsZrc1mwRpvvGmRJeKcXWQiXEztae6ZGur,201468,0,201468,210311,0.00210311,206914,0,0,1759078481
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,58,poh,99317,0,99317,103676,0.00103676,0,0,0,0
68kSjSHoKy5sJ3yBKQStKk5vFtLYWaZN6qKEBjuj94Tv,58,FN5CJUpXzeQjdSyLSNfvu8xBy8QQYpknmGtaSmGaPeEy,29173,0,29173,30453,0.00030453,29962,0,0,0
HRp88fGahAsYVLYEJCJGeUZst1bWYxsTcJ7zV7tyr8VF,58,6bd2Hy3C8xY8rvvGfEu8w2Cj1VDC7USphrbFkX2rbNd7,6965,0,6965,7270,0.0000727,6965,0,0,0
FvFjDU271T4qnqrKYchpaS7Hphtpzkii2Sbfq7tjJFT5,58,G4LwPuAB54aF45BjafNhHbcA1iAyW2e6tFuySTqP3aoG,4131,0,4131,4312,0.00004312,4252,0,0,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,58,DuqrspF46z62LkCKVWUAjtrg36TzuviDvyno6fnRErit,2152,0,2152,2246,0.00002246,2211,0,0,0
HboxwePXHF2V6vFMLRJjrKw5auU1s9eM55KRwBtoG2zU,58,3kdpvJFLh1du2ZMdBEpkZmmdAHrJ8kgZ8TazfC8UoLf6,1453,0,1453,1516,0.00001516,1515,0,0,0
4N2yHp7gKRaQ5oK9pQQKR9DBjewjxzB4K1fPk6iMHPom,58,9LRTKJcn2DrTnGkCpCSdfyZicQ8SStqNqPgRyHe2LVhe,1,0,1,1,0.00000001,-541,0,0,1759621186
8KnG6rFmf8wSR98qK2b3sSwbqXV14opU425o9yM92ziP,58,Ff9ToeWcSHynZPSpvrN5yYjrjKjK3o1NNUzvxG39Hm1E,1,0,1,1,0.00000001,-10274,0,0,1761405635
CBmHetCGdfnSZLLBzLAHrVhBd3ZKotmrFdarQBPUwb1R,58,v2t7CcNmN14b8PWJ7AyJu6WKqGXmAPbWgCNypytey6N,1,0,1,1,0.00000001,-61,0,0,1763022615
