authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
HopeqcqEqvAuuVYZsWZySG8zckjS24aLvdEyF3uMHgXU,5,2xwsRJmvAEgqpCV1VSNCJyWk16DeSn3hYZ9vbyamDQVL,1473333058,0,1473333058,12349739113,12349.739113,10000000000,0,0,0
4VzbYpBHZtEMe4vAnKLzg45zyy9fsCrvw6FYEL1txbvh,5,5js5noMpPXERjAFC4LYjVLAMRcGCeJkvCk1mJKmyNuha,898773381,0,898773381,7533677953,7533.677953,7392638259,0,0,0
ChXuNCAs6yGch1ZD9ztxVXvn6m6J7RnoF69a2XYQEDZ4,5,CtR7qcxRyPyLiDLnyFqD7YGHa5RHk5EsgbbtCBAFV2AC,582507921,0,582507921,4882684751,4882.684751,4822632887,0,0,0
AhRYCtay7B4FDrEK5d8i1h5srfyX2BycPP5nSTMYBqNm,5,5JYcVjuSEXwKzaV1KTXJ6DRaqpzXg9JhpWe1ghqA9HBZ,399986428,0,399986428,3352757211,3352.757211,3000000000,0,0,0
7qyvm2fQQFQWk83KabiGukkqf9r7E3CKRgmEkuT4nwFj,5,2kP9coHxudpYpqrEKnAZTBFHSesh9Jubk5PGsrtmUZzV,305426858,0,305426858,2560142117,2560.142117,1976843894,0,0,0
5GqaeHcpnSpEYQeSng9BrbZpdqnQzfxkgqNrDseoWyXQ,5,AUpRrwhFj9n1fpEKhiz9AryNbQWT4fq2smwtnYUEKD38,275880399,0,275880399,2312478455,2312.478455,2000000000,0,0,0
JBDTg9QvYVFaSELTNPyPSMmjGV5uexeVDD69YukY8RQu,5,59Gxbp3d7RjR9EmxHKPb71DKR6yo1PA5ds5Wvvf6aHZJ,274976706,0,274976706,2304903540,2304.90354,1935000000,0,0,0
3FXcDQfrzQ7ELRajwnzAUabU2rRDBrJDoUUebFRjxC2K,5,5pvVZXgwm3RuQzrma5N1d4JLfQWN62oDam5h76Zp72hv,266212902,0,266212902,2231443780,2231.44378,2000000000,0,0,0
H4ygGCoF8SggpzKuSSgKWtDauNZfPVyq67TmiWvxEjcP,5,4uG9EodbN3fEWZCWEcXeNr3XgQ844ggXYYNoikAaUNNB,288654989,0,288654989,2042409281,2042.409281,2000000000,288654988,2042409273,1729292668
9bMKvXzbbtXc271WvzrDNhcXy2q936AMBvk2L2izcitc,5,75u2FXcMJqLMKRTLFLfBf6w3D36P5c5ao4wpvLWn8TYf,245845493,0,245845493,2002374820,2002.37482,1999005800,245845492,2002374812,1763204884
A1jzoXJYiP1Wm7ax2G2Kx7fBh4S8bsg9rsv4vGQLom9U,5,DATBfRuU2Tf7jTQnxWYAXDxD2mJJYCrdGDCcgKkbkCFe,174468857,0,174468857,1462428916,1462.428916,1200000000,0,0,0
7SP5GAkrA6RSPbQZ7MrKuXdmFK7DPEUqiTZnKcVC1ATS,5,2ur2j1nAP3WVsdWCWpNm7x5wsqMentB6igaNGRBULvaH,154727937,0,154727937,1296957022,1296.957022,1000000000,0,0,0
FkVV1BNzMZPuqbfu4BQ43oSBzwEiPnUtM8XsZtAnWmUH,5,2mpBuLKKsVeoPdXXH9KeoeWKTQMwBj5o3MnbVsxen5mo,126375491,0,126375491,1059301789,1059.301789,801000000,0,0,0
DYaUgvKBhmwUNywc2cSS13VhJdxJt5EH8VUQmzcWXttR,5,91B33k9LHJRuWzeg2PF3bg4y4NpbmrAL9eiLGXVhzZea,120856218,0,120856218,1012500556,1012.500556,996570945,120856217,1012500548,1774279615
ELZYoPQj2gEXPGoNNZyTjQpQgixo8zW2RHayXHnRe6hi,5,9muBMhUGP7929KxHLKGXB3BhzgY6T3LwQ6rfKfB1jkRh,119361477,0,119361477,1000017797,1000.017797,999998819,119361318,1000016465,1774349658
Ers2rNTseKfmDypkBmRLaih1pUesAmsj2sR4YyDZFgw1,5,BNwniFragL127Tq1XCD6o7KLG1rd5DJwuTejgiKTT3r7,110839455,0,110839455,929075978,929.075978,708463033,0,0,0
HN7hNPyhF5mrLadGBo7GZn4DGijdDxKHRdRPL7dkdyU7,5,BBKVnrBqXXvkcXunG327q1iK9DKm3PpB5TPZSkKpvvfZ,105300470,0,105300470,872688437,872.688437,872688440,105300469,872688429,1770156545
5iiDXEuien7UYD4JdbzjU4KD4tMPfiFBradD25jQuDjW,5,3es7HkGy9V8TSPyYszEgWkAPwYrSwRHVRCe9XpHcMoWe,122767597,0,122767597,783339341,783.339341,783339346,122767596,783339333,1705218733
3uBNuPJbWWzgbm8PKPfBgNPsw7WixQuQFhe8JDKxAWW9,5,BCnwMUuYCmyJAXrGca7gBAoB3RsqkpmdHmtUo64a1ndh,110700566,0,110700566,732302057,732.302057,720000000,110700565,732302049,1714068573
8USYGimViBESwqwhvnVP82DXW41WB7MWdVQxCCxzaAVz,5,3cH2bfCzJD8b9c5ScmZPcED9rH846oLBHygNrnyE2eLW,83425998,0,83425998,699291517,699.291517,530000000,0,0,0
7pbkuH9D4jNfDpYVebMFGuno3vZsiic8zd7wLcYTdAgS,5,GGDWG8xReQXZMT2YDyHQEw2owRyk5NJ4DAJs3EP6G4hc,80280092,0,80280092,672921975,672.921975,508514729,0,0,0
3DgwsLZzj7EPdi64ESkqeNB6Qr3gDmXRm5CgA1iD8U2h,5,AqCXUtdueSvYimXuRds6CTWw8YfRJhTcy8CoEMt9Uc25,79010285,0,79010285,662278228,662.278228,500000000,0,0,0
BCgzNcUPtnJoveBukmbRTvGyYymA4ucddQ5eTB5z4uxw,5,GhkC3Gm5shFKv4EGNLw74hze1yMZDkBSxRRdMWXxZs44,78430441,0,78430441,657417872,657.417872,500000000,0,0,0
2NfEqoBqdynn4r1X6r6fq1CMunM5seWY2VK4jv5PRQYL,5,2uqVd41uRy3y7BRxRuEKPhowBFLS9xxJTU3APgr7V5jA,78184066,0,78184066,655352713,655.352713,500000000,0,0,0
8vXEAKskLQYpDr5dwTiS9bjk6mArduudQBmjsQyVpuiG,5,4fVEQMgraf9FqhzPotWhnhrvPn17kkYucaMb7TG7dkHV,76780433,0,76780433,643587212,643.587212,500000000,0,0,0
7ycjB8v11H3dtpXNM9dy4n21yCbENLYFY7DrmCWaRkHa,5,57y7QSW3d7dX7zXifnx1C6Dj82CrCLdggVDTSLYjwP6A,76777373,0,76777373,607590762,607.590762,500000000,76777372,607590754,1755198414
tqryVBMpX6W2WqPGsPB1kZTJe779DYp44nJYgzF8wkB,5,Hvf2h5N3obZY81GXJgAQpb8qPn6HFGbQQcVko8L5DFSY,72184728,0,72184728,605065198,605.065198,506780976,0,0,0
8UzGJtNYuy8Gcxqw3UjB6nYTxqZ9waYhgzPZikv2j3w5,5,HiXrjUmFhchWDLprb9M8GLoapujZtEdGurjRt8EoDMLZ,69535668,0,69535668,582860307,582.860307,440000000,0,0,0
AqTKMMQG4sXJ9z5eh5v5H36iR8z4k2TekBM7cav6MGV,5,BF2GiUMwf2cLgWWfdgyJ2GGLBD29Hqhyknjy4mPZ1Lkf,71568081,0,71568081,560950263,560.950263,458929348,71568080,560950255,1752625722
5YDjnQ53g6kw8WzdpPiFWxuMr51oXjt89BD7xgpoCYHp,5,7k2aNFniiN6GE7MdYx441xWL4phujcANHRPijm3hynzL,60397846,0,60397846,506265461,506.265461,489000464,0,0,1712559195
AxwCw1fmSdp5hGqDBmaHqm9KkgvtnTLn8zEdXDM8bR1G,5,Hn9K6FfjfaxpLVHTVpG5nMbmRx5vvXKMtctQMT6ptGbZ,47421047,0,47421047,397491630,397.49163,299950594,0,0,0
3mVTfiptgiEHxzaWuHRqkZJJjtj6BPDbmombLY9XwqYw,5,F3XqaNQznvNgH4UL9iet79JV1iU6d7ymTXgL9WjjsnR,47218793,0,47218793,395796301,395.796301,300000000,0,0,0
3h5A6mArNpz9MJinoQkD8d7vuyZFiHY9NEng7kw1vU5q,5,4KW889Pmv2EwH4rbowcTJP7AMPLKYp7kv6LLqqzZZEJF,45014106,0,45014106,377316223,377.316223,287224533,0,0,0
3zpLiXuM9wWaw85Qm9ZbUHLddtBMPQW9pu3ABSRm1uQY,5,CTUT88qPgZ8srSkcGRdNoqrm7rxe6YBm8z6obo2cHCry,43172821,0,43172821,361882246,361.882246,300000000,0,0,0
7xbjaLtASVRmr5Jh3LebstXLwmVQZHw7PNcpvJyVC4g5,5,CKfQF5n6T3rARm3KSV2H2UJ1xk4vh3EuLgTS83ecy8hb,56357584,0,56357584,361359604,361.359604,360000000,56357583,361359596,1707535309
7TZhhYBT9eDTeuKEVSeE7qxGWX8yZYCyUEtoJ6H5XEZh,5,7BQso95H62Ma9q1TJWNhHrvCCMqWLdmwMPZzNjjuv1ir,38939423,0,38939423,326397152,326.397152,250000007,0,0,0
FvtjFdi3a5PrPugLEg5DcvC6pmzJGkUvd779UyEjD2Lt,5,EFsBJwm2DCQhwsRmgt5xZCyPUGXvJBeKvW2Ut4S9sPgP,40279886,0,40279886,323747115,323.747115,310000000,40279885,323747107,1759040357
ABcQsf4hHeas4SK2RRttSGVwHKz8kvb9giTwdmvRe2WZ,5,4oxXSCCNk7WbC7kWBPBnXdNCJMEkF5BNWVgjxYQWr1u7,36952806,0,36952806,309744976,309.744976,241005617,0,0,0
2vhxywATe4Q5eduYbsHczd8HuSMubfupfdgKERBJFDUc,5,7a21FPLH9zrCus8H6eVrsPumg5F6Fh2MxADVB4M4B43j,43678137,0,43678137,290358050,290.35805,280156869,43678136,290358042,1715871702
CwnFwoDgumxtC8PWL3G9AfQnpRCrRzPEPyzbGkdDPG1f,5,Fo8ttNBzaBJg8EXfhTytHpF4Fmd1nLQHxVzTaETi7Jtt,38965042,0,38965042,288594910,288.59491,247084751,38964343,288589051,1737248539
BgLk1PTEbiER2RW5D9MN35kBM6KKLZHTerK78sMP2sFK,5,2TXSsXackzQa81iscN7gxkwtuTwa7Hr4DRdKdSQcaBgD,31625599,0,31625599,265091382,265.091382,200000000,0,0,0
F4kX1HbVrzfCY7aMDBuXMCBSn7Xwg5444PJQ2EvqCVt7,5,2d6iQoJwwMvkt9uSKnUEiFRPzDc3SZ9XgeywT8Hdotir,31573796,0,31573796,264657160,264.65716,200000000,0,0,0
Bx9QC6NkL1brY9cXTJEBGYgcCLXvVtkaeuBZsj8TiwDL,5,G99SrhHFfcXg1U7MT36U9r1HsHL1SdptqyrdcPCRP25h,31264523,0,31264523,262064779,262.064779,200000000,0,0,0
7uN7Lh2p86g23p6rv6zmSJWJgGr2EDTABTcMkLkCTXFH,5,AF8vURGt3fRqvhQyc9j2jV1USJKBHM9f7cpz2XnjJcgr,30868659,0,30868659,258746576,258.746576,-182873119,0,0,1762403786
EAVS2JpNvS8u2UfvpcNa2FSdY2LWN7Y6tWwc54TmbLmt,5,3UJ6QFwvPn161suHoHsow6xTyUhTtALCsmjRrx776ZXG,29286419,0,29286419,245483960,245.48396,187500025,0,0,0
A3W5fyjFJoWHyNRgjo4GDYoHHCQ81MnFmLPF8ihCsdZ7,5,CgMHZP1WvR8jakRa4vfA2tgwDH5iuGp6mPjKAbmhhLVa,29183255,0,29183255,244619221,244.619221,185000000,0,0,0
5H54V4sqYsXtjXKkEsepT7zG7roHzUSG3qH9ZrYYjYZ8,5,HfcVMfenWHJ7yRmYLVDJLZp7MKPR14dQ11hApKgLVihx,28263912,0,28263912,236913125,236.913125,179059264,0,0,1746820522
6gz2HUwEaBd675aqrfXwVMSUgKc51h5UPnC3fNQwe4UH,5,9mYdh4DggJLDH612KR9mLJDGCw3FvjcwqB9DgUMs41Gu,26644247,0,26644247,223336805,223.336805,170000000,0,0,0
Bm3jn29kzXTxwukJna45vq4YFRbz2ZjH3NKWMN3sYQEW,5,8mkZnad5zkpzXA8HDVPhwpjyHDLDqqpTWzKqQ4VhzSHq,31668053,0,31668053,217374771,217.374771,200000002,31668052,217374763,1721315826
HGdki386yLf3cUHmWs8iVpL7xzrrDsxrHqiyNixThmx5,5,Eh2uneS3eyJyNVU5YK4skHjKVrio5PKn1nox6GnHzmyX,25006856,0,25006856,209611904,209.611904,160000000,0,0,0
FXcPt6wDh1ECkcUBs1bkBKkYH79FiT3pChu64BNQWXaS,5,AJQgvuYrS9pr37LxuzhpnvzFfTqsXYhasRWFn1MDAXUB,31878107,0,31878107,204809803,204.809803,204409572,31878106,204809795,1708760897
J7m8RWfcTH62TWdP7JoSinwo8EQdJwrdHAnn6LuBUkn1,5,CT7q2ud8EeukMKHi89zFeXNUNzMeWJe7U52adUbEASMh,23691434,0,23691434,198585803,198.585803,152062818,0,0,0
AMCJu6Hd9cT7xx3VSdqeLhzjfi48QMQyYr2TcmPtEmMk,5,5kGY4TQGVZFtMsWh6kUjJVepe4N61d7udvc9semFiF9f,23076525,0,23076525,193431527,193.431527,148000000,0,0,0
BLAShmkbE8dNeqJN54sN9ofpUzgd4MLKCbkAf2dctQh6,5,CGdnk7ysJBQ5pFfpbY48SiQZxXQ5z5N7T4NYyZydZ5Xw,22569244,0,22569244,189179407,189.179407,144000000,0,0,0
B1odbG75Cvv6XJRNCkBvpi8CHLeQMXE4HwSGfY93xuMu,5,6QDUiJS1LijTn8ib9So9u6r8xES5c4gT8H47HHkpVoCo,27937847,0,27937847,185078350,185.07835,182000000,27937846,185078342,1714543979
9bTsz3sojeYrCJJqWAAp16JyHY8GH37PfuWrZYXZT9ri,5,8ut8e7T8eZc5qbSauMST3LmwsNCvZf3rCEbTtHFwGxi9,21920909,0,21920909,183744948,183.744948,140000000,0,0,0
32LHrEJCiPPqpzgkocWSRxWiRTzZEpmsasYgX3J2rbvw,5,4LhcxewoMKsPXYKEaykE4EvpdGuVxi8pcwQgwJqZJqKb,20555400,0,20555400,172299010,172.29901,135518650,0,0,0
7XRDcuPC8QXziJdmTC6YRVSRpC98eV3aSnfnarNpLHRU,5,HsJz8P3tmtSvpSn2j3HjEzA71XwbFxUr7qxrvCeCbEdi,18873569,0,18873569,158201604,158.201604,119000000,0,0,0
8WHaMp6G2Ubwm568ufwy6UE6sCmoDqgeNHi3duad1X7T,5,DpcyXG7eggWGy7SBAdpVYU6jxiaCNf2dyECreo2KqCGs,18985796,0,18985796,156526726,156.526726,123019423,18985795,156526718,1768416272
3ugJJmd8P5c3jynpvwULmJytSaUtdJ3Jo46z8Qj5g4Ev,5,Cpf1egjL2szQRyn7evZfMfPyxCRLFbL7tKVANTy67ufL,18342181,0,18342181,153747415,153.747415,118000000,0,0,0
3ruQC9HuV2mRfWM5kMfPeP4tokcdpEnznBqPosw65qSh,5,FSoNz4kmvcNEdYjhGDMBcM9bEzeaN8meXKUFsGWe1F9a,17241137,0,17241137,144518269,144.518269,109999999,0,0,0
u2KK6tVw6CFceYDJceRgsMiCRkehG8p1ddinRnbwZvM,5,GLxYuzS6UnMmFNFb4tudjTVivdj5Z2vhKvhy5DNqnJMC,20723128,0,20723128,137551263,137.551263,135000000,20723127,137551255,1715164681
AHaZYJCL8MuLdoMZfn8vXbY5XK8pDVAhoia3zde5uz54,5,rkVreA5j2Sa7myE9AsTWF5qV8eKx1p73yLWLp158H2r,16165809,0,16165809,135504679,135.504679,103407291,0,0,0
JmNNxvMPeVyeFnCLPCgNMxqM9eXqx11qQ9nzvGfZe8W,5,6mdwnSKkFupue5RS4GbxkQz4YQsLYWBFHT4tL1rkZeuu,16106310,0,16106310,135005948,135.005948,128000000,0,0,0
36X94S9NzhZXE4UJJSGQfv7gEFUtEdAmuVx96MRrsqZp,5,79ZhFBLBrgx9JvGGLTFFM1U2tE2GanV4MLG4SdxR1mTL,18908435,0,18908435,134850371,134.850371,120667883,18908434,134850363,1731242207
3qVWwRnRH2okF2m93VcPYzHMqJFG9jSdas8nyC9LE4nB,5,3wH8Z4nbDjsfPDvMA7Hyh3steyoz2TnzRyEuum5MQ7yN,15795160,0,15795160,132397833,132.397833,100000000,0,0,0
BWGV56fUfuc3iJqdavDF1GTBjLqME9gJEtdScB4YnhVp,5,CRNWXTiCYFbjHvsGVxPoUU5qhzR9j3H7nPrcSQ6zcSHD,15793946,0,15793946,132387657,132.387657,100000000,0,0,0
4exjckuaraLyhT3EFHAm9XWJueMKgyHSTagNFNXuRAPL,5,4SHYtdTqPrhnptfyyhiAsQ13r7XjEgL8rZWVgfWKLWK1,15793061,0,15793061,132380239,132.380239,100000000,0,0,0
7SybXE3d1ktP7VDFNbYd1FR69enJFsuu1PavGNE3ZTDe,5,8Ywm9oSoAo4LF2tLnYapspa1L9LcpHLTAKVWuUqvCG2e,15732195,0,15732195,131870049,131.870049,100000000,0,0,0
8Yc1J3PURCTqMaS1qr1EfwRmwZNcm6BrZKPXxc8NGhJP,5,9T3BZXbZ6WaJHQQ5nG8Hd8opAUoogKZvb2BbVpvowxRe,15656196,0,15656196,131233012,131.233012,100113939,0,0,0
