authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,61,protocol_owned,282760740,0,282760740,1842694710,1842.69471,1841215911,1841.215911,1478799,0,0,0,0
CJc5khGJ4uZypLqgQPu742RKRRJPaaAxCQecVYiTEJrQ,61,3qa9o2jzcQrKa16ns3szR1B8XkrBwEy9yWrpJTUsg4tR,264110967,0,264110967,1718813751,1718.813751,1718123122,1718.123122,690629,1713819173,132055483,858234800,1774145007
AhRYCtay7B4FDrEK5d8i1h5srfyX2BycPP5nSTMYBqNm,61,3Sjs4KooEUMBm61ijedWvkEqHKp38NWe5EmuAHkAxLLy,161393351,0,161393351,1051767912,1051.767912,1050923851,1050.923851,844061,1000000000,0,0,0
CmZpMHxTjZs2v17uhQ7umx6PnhzTsNK39A4YDkjy27QK,61,HPi7ppm4b5TWCCkdjrfR2JUimEV4hC3awRGQS9532aUK,154108743,0,154108743,1001182363,1001.182363,1001182363,1001.182363,0,1000257277,154108742,1001182357,1773817639
HBSLfGJbU6aHfHyvgh2Laf3JdEsJYti7jApn3eaXhq2u,61,Eb9r778Ak8ecyT1bWykReS5DXit2rjutGZycvifNfN3w,125332123,0,125332123,816764163,816.764163,816108696,816.108696,655467,790953769,0,0,0
3BLWGrSbHqAZtNzQz7j4sdWYsgixE6yyxBB7iGFtMGVb,61,6zYcZnAbuAnfhwMaXWEtvHyMCnCbMix1mQgxpB7HHoGb,49847738,0,49847738,324847652,324.847652,324586957,324.586957,260695,316187278,0,0,1770175441
DaaYqvka7xYd58CKbvENYXrdXeRDd13KciRAVuoXoFEQ,61,E44fVAKbCbBWWgJE7BN1U7UKENiARcRRd1r46mhJiDti,31578188,0,31578188,205788680,205.78868,205623532,205.623532,165148,200036974,0,0,0
A1wvnUdJoTuEQxyuEr8NtvarhucpZryyXvW6UNxjGkFX,61,A2aEu9UepGXm8FQY2D8vpjDLxFWUUxgPnpg7P38EJKNg,15673132,0,15673132,102138639,102.138639,102056671,102.056671,81968,100012160,0,0,0
CunAcyYPhxXoBkpjB6kx61Zo8NEVtNNqLmbspZ7ZMWbi,61,9WDwH5BWsugcy5G4iGe2dfSsJe7t2a4mZAFEzVo5Nz1P,15406837,0,15406837,100092007,100.092007,100092007,100.092007,0,99999393,15406836,100092001,1773817537
85Cf6TdRuHRMFmZQ4ZgDK76d63eHpRBrpAi4HznLLHBG,61,BCzuBcW6RFFdxUmvAsuRr742S5dTdwaEht1KbfGyamZM,2853027,0,2853027,18592600,18.5926,18577680,18.57768,14920,-50164026,0,0,1768149072
Gxoy93jv4759k2mhMSQrTt8keL61bq2WZ1NugWNZZvFd,61,HPxY2KvDYU6XD1GTvdRUrCByUjaCFXUJFVJq2UNDkGjQ,14510,0,14510,94264,0.094264,94264,0.094264,0,-11487477,14509,94258,1773766135
2odutJkki4YJpzWH9wLv4B1QdRfiwPhD7vgDkXX7EMXD,61,eRZofxvQ9uV6snCoqZ6UxWFVFiB6S9z4DKiezTB3xDq,1,0,1,6,0.000006,6,0.000006,0,-1031370,0,0,1771558866
