authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
ELZYoPQj2gEXPGoNNZyTjQpQgixo8zW2RHayXHnRe6hi,62,ArRFg6Ju3fJyfzMdBccV5WGTDFAgVeKbcKHDJVvdZ98R,35248999,0,35248999,100009974,100.009974,99996171,35248998,100009972,1774349626
2gmKV64rRdyc5H3DwYtHMLaPtm4fCSt9LaiTojdPwcet,62,DSgUW2ukTkK9jP1XzN5PFiCfakefrxMD9ybebA4mWCAN,17649638,0,17649638,50000149,50.000149,50000000,17649585,49999999,1771404212
DSWqQP3pcTbikRcbBJyvBZ67YtteTeUbdo6SW55WeDyP,62,HgdqVA3KmAaZTv6ATNTvpFgEKXskYWuJcRDJKKvtPwXp,14120151,0,14120151,40159909,40.159909,40000000,0,0,0
3ZpbjLD5TiqywreALk2JMdB6xKSszRwJkEVsKKHuFboh,62,6JnD6o2t5DTdrogxZD6zkEvFLgx22XFMX2GBQcMiM7SB,9765231,0,9765231,27773838,27.773838,27662280,0,0,1771260539
A1wvnUdJoTuEQxyuEr8NtvarhucpZryyXvW6UNxjGkFX,62,8u9wjTY8knU9qocKQHfNZwTcEKhHefsPdmKeoiUpkE2p,5252465,0,5252465,14938828,14.938828,14716988,0,0,0
J9Vq5wFJXmSxognW6h9NM9bnx5dyXaAfNm8FnwiQfi2r,62,BN4SGsBmTEAwL9B4iCBsCTtCRF2QxKv9eRu3re8Wada4,1279776,0,1279776,3639882,3.639882,3631941,0,0,1773208217
31yq2vFKzqUsR2JZZvfktwsjwYDysiktbwdyqukFq5UA,62,BZFNCZSA6WpdcDGVjoKBowJJDvyDGhzVkswtxbizQyBK,1,0,1,2,0.000002,-1190,0,0,1772425793
8SV5N5DrkMuYgSnepwVueNJVgrN1esR5enBm2PcjFjK2,62,AP3vtCo4TbYv9DCskxSrwUmbMyPVk5LxUQr89LjYq6C4,1,0,1,2,0.000002,-60520,0,0,1774637760
HKEZ8PJFG8D3cd5BzRVCTUTWkSw89ZJA2csFpQNmn9mG,62,3bAb9sasAD6VC7RPCnDyGx2Gosqrcx1pyBiW46WJb2m6,1,0,1,2,0.000002,-18789,0,0,1774523893
HkuBeYqHE1ex4JfAxq7kkRtH57ALXyEF69ajtAWgCEyY,62,C29crpCgZSJF85kTdKdZyu7BdzKy3Qvia3LViM6T4tcS,1,0,1,2,0.000002,-1347,0,0,1772563439
JFCXpkSzKsu197L6pbbzNGog9Xuq2XMGX9wM16GGNXE,62,JCvR8fwQy6Tosnd5SAikC9nRcJuh8rNAHrsabkvNSYgi,1,0,1,2,0.000002,-32507,0,0,1770791619
