authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
HDJyRqFW7MHQKtbUVr7bm2zewCJdUrAHvgoLUVu5PzD,6,B4SE32WteVEM9wZniUPx3hE19Cyuki2K84YXEHhcDNnk,499980136213,0,499980136213,1032166365525,1032.166365525,1000000000000,0,0,0
Fdbu57t2vCgN53xEKAwa7CgP2sdKh1WQpdwfBmeT5H76,6,F4qreitJAeGZcn2YHMr47JkLCea3RXS43LgMrGovRX35,112899827657,0,112899827657,233072068950,233.07206895,231213576884,0,0,0
72HfMcAeUTKCh2nwmWb1FcjQZNi6fhwx5WbHrZmmphm4,6,GsiB1MLFkKXhXyxLwNp727vrATPw5yXEe3UDj7b1vtda,109301747832,0,109301747832,225644139904,225.644139904,218627105530,0,0,0
ELZYoPQj2gEXPGoNNZyTjQpQgixo8zW2RHayXHnRe6hi,6,HCGhTq6o7f3Ci196jRdDTcN368g9R33D5FDzJ1yKry4X,102110894329,0,102110894329,210752541535,210.752541535,209916887745,102110894328,210752541533,1774933628
9mkvPpjmSVWUCfhFPdAaxtSjNpb8G4DwtQnnBBUE2JAG,6,Gt7MgdEruMXWUZsjfwwSyXvf75VhJbBQZqxryH6cFVU,68836385322,0,68836385322,142106848867,142.106848867,141646001672,0,0,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,6,poh,27316412693,0,27316412693,56392405150,56.39240515,0,0,0,0
By2aADE8wjn46rZHZmXx2pQbMmg6CDPBC3pKvs77oSjR,6,BuVQh2B3JAftDv79etUoy5fHif1123juPjkY45kNjhmr,20109648930,0,20109648930,41514655772,41.514655772,41441907171,0,0,0
BfQdzVM8sDQiL5PD4tszEsZ3taFdCBeLrWccfSyKFF5Y,6,8CJKrAXPwEQJFiB6SvQkegP9q1jCeY2JgZmEvtSUpFDT,18802237551,0,18802237551,38815616443,38.815616443,38593917731,0,0,1773300359
C1CciV4uES8xf9VegMgoh2Auk9KFWZQz6JJQTNce26zb,6,DwkCXZ9VhG92tFEMNcwUg1UzQpRhdaeeMpybFe8a7Cdd,11112670471,0,11112670471,22941160779,22.941160779,22554746022,0,0,0
24hg1QG8fqi5kQgHsoo8zX2jktGmpsKwjiQBu34uNtpR,6,A6axa6bQdGDoPKNVrVUdRYkbC5tVhWgYp29742xE2gon,8655775595,0,8655775595,17546281063,17.546281063,17311912799,8655775594,17546281061,1764104658
2u6fLBn2DdkMqTZ8MdZz8pwjt2tUPzYjaBy9jDqKF5Qw,6,6ors5VLX7qTTBoyKXG9KB69t7T1jcZSncn2ohswKeu1f,7499656208,0,7499656208,15482400860,15.48240086,15000000000,0,0,0
EQbt3F6VgaVxnFNsVoD28XxWUJZgyeJG7Yo5Vv5JVgiY,6,EA4frqtf2mLDjfLU9aLsGZGdyjUrRnM6kGAbbC4R83Ep,7148190083,0,7148190083,14756829009,14.756829009,14609972404,0,0,1772033700
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,6,BVdZP8FXTtNmEgC5CShPmsVni2Fx5CfUKXN9kUGYvK2M,6640488194,0,6640488194,13708721743,13.708721743,13528237953,0,0,0
AUnF6ELXb4cocurAVThcZT5KTEuQYmSjM3NZcTrkhmdY,6,o1XMn9bTTu5vuLkB9C8ZSPzTnJWbQsSZBhWNumiVLUp,5768708604,0,5768708604,11909007103,11.909007103,11549831451,0,0,0
HeNXR5neQZ7kyGn66z7EXssA7jmHy8ySfRSSYjm177T7,6,3V6HjrB1vyCy9HtB6cQNz3oU2ZJEs4UmkaCWdSag55Xb,5121899930,0,5121899930,10573725739,10.573725739,10469734525,0,0,0
Fi7rUGsYihoG62sgB7sY7fhiM1AiHsFFz7YpkyDBACd,6,EKnukkYwJUHnP2e1qfXR4iVSUib97TZ89wYGMetNxGFa,4999765632,0,4999765632,10321589893,10.321589893,10000000000,0,0,0
75QnAoEoF4o3hD6u4q5m5beo7PijgyQoQbV9TZuuzVCZ,6,Czz4fazj4tRoW8xTyrYgHSSSLoFxS6MXw5tM7K6RMqk1,4999797709,0,4999797709,10002175460,10.00217546,10000000000,4999797708,10002175458,1704492954
AkPmVcCH5EE2865YnKFmdp37deyo3G6fzLXYd8b64sk7,6,3xvAmrVgLmdRuYVUPWpbUEoBEyWxxgiAQrD821y4V8cR,3471030387,0,3471030387,6966804146,6.966804146,6964378527,3471030386,6966804144,1745404249
HiQSJni86AhhQ1QydmpAsWKvaxFXpfzZLnBqEH1A35oS,6,3LpWny4PZ5VgJE6VBct3va785UNtostfVgp5pEiFki5e,3237911817,0,3237911817,6684392898,6.684392898,6588387698,0,0,1766511232
Bcw8bcTALN5pX1hQBVzA7rtju6UtWjTiBLXp8ekLSxcN,6,7mREM5JFXkUdpm5aV6iwvLP7BMVWQPgnZMfumyeF3DXR,3197843639,0,3197843639,6601675561,6.601675561,6598161506,0,0,0
Eez9uZ76ryxiwicfXQAMvkmXF8uchgfmuhCxhtAbAQ7z,6,G5WoKKBhEb9VD82hURMQZbw4zPrWSTQXi3qrRcf3jpY7,3239918641,0,3239918641,6487047866,6.487047866,6480272939,3239918640,6487047864,1733291728
5LCcoYCQfQmnJ1mnLLb5p69EHLuspwT2S5XGx3JxXzqi,6,6XmNdFUDn6G51Q6vKHmRgNvwbyPGUjJG8tgpTK1JUDFZ,2999881007,0,2999881007,6192998584,6.192998584,6000000000,0,0,0
CFJM4SPdaNnvsVjfGhKJwdXDckWhqjJ1teKSRx1mBzNE,6,CrMQJHqUMsSwweyDAh2S2gBjXMGYVnDM79sb2NXHCai3,2999510651,0,2999510651,6192234016,6.192234016,6000000000,0,0,0
HdGh6R1o6RHxHVUZSxNSJrTEyi8jUFELE2iTDQ8WVdby,6,BKHYJSibqG4NWpDUgdj5HZH7foYfiK539of4ghiobVim,2811329987,0,2811329987,5803751078,5.803751078,5683819266,0,0,1705590794
GGSsPxHWmUTf2GD2TGG73RJfHQNsEQ3MaDNrbVxhGhB3,6,2Q4nzm7sqxj7v9NHVacLrXYCAskBcP6txsgh9GepHLSx,2739153459,0,2739153459,5654748790,5.65474879,5515277141,0,0,0
2MS3BqdZfZyDA2wAWdqqyLxwLq7CYFmGw7JDmWoLWQuU,6,2f5VHyRCZqWM6rYen5WibrmFkA7m8oGQG4HNct7rp9R9,2721892883,0,2721892883,5619115802,5.619115802,5443998677,0,0,0
GZdqBRvt7Pgem6cLpVbgfHksvk3UEDkuXX4pjHLAiHct,6,4KGpdCVN9Jmw9tSzhVcfVM3YL1vpzaqjgRqXMZc4uNcm,2627599078,0,2627599078,5424454281,5.424454281,5408748671,0,0,1768951098
ChkLK9A1VfXhRfiyhQvGoAAwzTjELfdnB1Dr9cuncbzp,6,125rHvJ5ygQdVvnro7KfLmpmc58ajvP3H5EbYGGZMQnp,2499900839,0,2499900839,5001140457,5.001140457,5000000000,2499900838,5001140455,1705179473
F25YhDMJahmfj5s9HWVuFFAkGRZmQP3r3FgqcbGz845d,6,9P8AXormUdXoK9L5hhafLQFNb5dSZ11hCZsFdwjmvhVr,2498967103,0,2498967103,5000181319,5.000181319,5000000000,2498967102,5000181317,1709825571
25jWQaE88nw2vcpia6CNLog1Cr6CpZuHkkRLHvNTMWhx,6,cEzp7Kg29BPvffZqSgNQpBA6E9zEB5HdP7V2q926Zez,2249910756,0,2249910756,4644748940,4.64474894,4500000000,0,0,0
GYe7Z3d31QRkBzYZBuq2T9bvy4qHvigRQ8DSaidabPGa,6,8JqnwQmZ9PFX3djrEHPBtRv8hMSXwhS8JZSe414S6GMz,1998768753,0,1998768753,4126287686,4.126287686,4000000000,0,0,0
BZPcfu6dgmtyCWocyxQmDJaHFUyTkcptpbTR7N9WjtKv,6,jnmTHL2UgRp7Pef6Anfb2VUznHKe4dpf1nRSVmJpXcY,1877780402,0,1877780402,3876517550,3.87651755,3756589393,0,0,0
