authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
7XppAdfuFdnGxoVZwoMb84pSkVT2Wnix3tKc3K9reDT2,7,2GpRwfuSAFU5BHsstiT7D7PuQUwqsC4XQosN7FekmoCz,2494940045,0,2494940045,5263206527,5263.206527,5221217287,5221.217287,41989240,5209075770,0,0,0
3NmEV5VEmmmcfRK18FRzmx7GgdW6nC2XuC1msJurJRWb,7,CUhK89vmNwZV92Jazr49MpfCJ9GgDrWCk6YtRb4qLWZ1,1853489687,0,1853489687,3910033369,3910.033369,3878839660,3878.83966,31193709,3717838718,0,0,1709003531
9S426eJi7Ydzc3bawR7DpxbMcGUuNvvj8ru2UePWr4x4,7,GdMjZyrhaBjERABgGzPzhvbAdCec79s363tx3LYZFEdC,1385812267,0,1385812267,2795191181,2795.191181,2795191181,2795.191181,0,2776764184,1385812266,2795191179,1730986732
DNuGDVXnfKv4sM1Nh2iFpkdcjNFH7A3mVrmAVDxQWH7U,7,49w48L1HErVSotsTJWhhferkSgVRd6NaSrxZF6kKkr4T,1289229985,0,1289229985,2719698035,2719.698035,2698000658,2698.000658,21697377,2651000000,0,0,0
Gjt7D6jNHJ7YZJVqB9Kzz4LEfj7whGFn1AfCmiJyXpJn,7,BP1oxXwpWu1HUsQmKGwQPxRg6xfBTueMmoQcBTG4UdW4,1247683852,0,1247683852,2632054297,2632.054297,2611056129,2611.056129,20998168,2500000000,0,0,0
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,7,protocol_owned,1183286196,0,1183286196,2496204075,2496.204075,2476289702,2476.289702,19914373,0,0,0,0
AUnF6ELXb4cocurAVThcZT5KTEuQYmSjM3NZcTrkhmdY,7,zWtYPkTiG5GukavbXBkyyPu7DqooATgU5DVK91PuMfH,1079231974,0,1079231974,2276696256,2276.696256,2258533086,2258.533086,18163170,2175892603,0,0,1706975404
7hqGrU49bC645BvnSqtg25isJ8Z5UtN8qQcBhn6CYH6x,7,8FUsDbiC2JRHXpctZ7wdt9wKF2fYi5B5eyBJe348c37v,1010368438,0,1010368438,2131425027,2131.425027,2114420811,2114.420811,17004216,2024500000,0,0,0
C85eUnzQEkzcQ8KpvMaFW7UgPxi7tdvhbNij4ikhS6yF,7,E5fotLwCVYiC68MUgyM9S59yAtYECdw1QVFSYksLgTde,666009254,0,666009254,1404981330,1404.98133,1393772582,1393.772582,11208748,1360247733,0,0,0
GLsxwVZZTxjKGPXyumJsjj52gFghaxwUkvmvPkDT6RLp,7,HEB42Lmofut5SDs627GjWu4gN75Z7mTnWrLpJ4qGUPtN,539734334,0,539734334,1138597786,1138.597786,1129514210,1129.51421,9083576,1087500000,0,0,0
62ZUJ1oXj5sLBh3fCkXVPUAEKYbBdJm3mcd4WoH2nTSZ,7,2cWGWrqCwRAYU372JkFaDJBAmyf59bdcWEFFiQgVbqcX,542739027,0,542739027,1089211717,1089.211717,1089211717,1089.211717,0,1087500000,542739026,1089211715,1710159066
CVDc3JniMSSzsJvBFCGJzVGjiRMPjBPBdsnjefD3ZpLb,7,CsFz45Ce3uvM6jWSEXmgMkCSSddDsJNiMzkNu1NdiPXm,499073816,0,499073816,1052822298,1052.822298,1044423027,1044.423027,8399271,1000000000,0,0,1701996605
Di59psvoWk8TzG4k9Z5mvfGsESG1f2KtcAxD4E3mtZVY,7,FMzcQDrjhfQC2JojJqExQEcy4J9y5frybGKSCXjgLKHp,499070846,0,499070846,1052816033,1052.816033,1044416812,1044.416812,8399221,1000000000,0,0,0
6hd1nCPi7nk4n6FR3niDkqFjfcL5TUNmUZFpXUwNt8L,7,27jAC97LmnLsqNCCU4AyNA9Rk2QJQS1dVs6YQ2XjpyEo,499047763,0,499047763,1052767339,1052.767339,1044368506,1044.368506,8398833,1000000002,0,0,1706947058
5EZQST5WCxbRp4eEo61m51rdo9hSPvD1uSx92MxsdY7q,7,H8p7HXE6qzWFUq8bS9HuSJ8ki2DxpTPpDmkGgAAHut3b,471424153,0,471424153,994493889,994.493889,986559954,986.559954,7933935,971143173,0,0,0
6KCf8aMd74THus5Wd61MwPZdurZASFmTEAg7DAwwmv5i,7,7bzij2pmoDrhA5EBqLwdm5BtvAwCWxRQqSffb4eqHoPd,445579575,0,445579575,939973401,939.973401,932474423,932.474423,7498978,900000000,0,0,0
MUSKfxn7RCYEg1r4eEpUjPikC4iCFqhCbg6b5Q7XbK7,7,FiYaJbWKXZKxS8SfiioMthEpQg3orZBHwvm9c5ABXE8d,421630873,0,421630873,889452362,889.452362,882356434,882.356434,7095928,844909704,0,0,0
