authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,preRedistributionTokenAmount,preRedistributionTokenAmountUi,surplusShare,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
FBqpiXm9qyLANu7i2LjuvBhzCMbFLTq9LkJDtn9Ss3cD,8,63E8b9VPs4VBEsCT6UfkpNRurNyDqnYdwGDiRttY5758,127282748633,0,127282748633,267262545953,267.262545953,267262545953,267.262545953,0,264088628798,127282748632,267262545951,1770105794
QfmNwdpwoeR3rsXaZwZfQSKcZRy8TZSF29wUYdHxe5P,8,27rhzyZfcb2eV9Tvxxi9EBaAFHo5pC2ey1uPA25CiRQ8,9652780042,0,9652780042,20358894819,20.358894819,20293158389,20.293158389,65736430,20000000000,0,0,0
3wXiotpy2zVpGjeuCwyBnkRAbujAo1eYZAvYjbabT2Ua,8,3Xr2UAmWKTvcv7as4879p4BscwnMuqPPqgNcxXrx2Bjy,9220137787,0,9220137787,19446399267,19.446399267,19383609247,19.383609247,62790020,19164150200,0,0,0
HzMLb5FeesqY9vzrWhKStEUp7Vr8m6vdrw5LzMF3KFTx,8,CCSEWY5iwzr2WozYJ5m3tTUwq1icMquztfYHGzADcv8g,6240746808,0,6240746808,13162498972,13.162498972,13119998890,13.11999889,42500082,12980046024,0,0,0
7rFphTXGzRu3x6gWtvZ6nK6odHoBjwnPDFH9vRTs9Jv1,8,mgseAUnUETwJWHkWMHTH84rA7VY73p8qrCHd6jqP37S,5263674806,0,5263674806,11101734513,11.101734513,11065888384,11.065888384,35846129,10922659400,0,0,0
21T1tsVDstHiDE4ywPeF478QRHSepSjNtJvs49wHV896,8,HxYhnMZDkyaLJxSabewvciyYFZDAVq2DdYrzSEiVewqk,4407541705,0,4407541705,9296045000,9.296045,9266029220,9.26602922,30015780,9148774215,0,0,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,8,protocol_owned,3960494129,0,3960494129,8353166937,8.353166937,8326195594,8.326195594,26971343,0,0,0,0
HgT121JP1ZXRa3CuxKFmmdZPQS9GdcHEmgo21JyGaV66,8,5XVKm3hb2tA6wRFmfH972Vj9UKULYvKRyty8w3s9wKqe,3097301719,0,3097301719,6532588478,6.532588478,6511495557,6.511495557,21092921,6442036523,0,0,0
wfgQWK8rwmoxKdj2h6xu9nANSgnMS1aVm9iaCE6vjMX,8,BsubQkL9gCFMGY6xUR1yMJuTZnvtfyncbNs6DbiEUC34,3010057564,0,3010057564,6348579875,6.348579875,6328081095,6.328081095,20498780,6260578568,0,0,0
HF197Qqc1yYaZpmZLeS6sZybiauESzD33pqUmPN7jvcW,8,4TgEZTERD5oMHzJVTWmheohVMEkweKszWghjgtKyfcTF,2840016028,0,2840016028,5989941460,5.98994146,5970600680,5.97060068,19340780,5906911447,0,0,0
3hrBLhEuTidXKmvokx3UzMoJ1BxvynTogsXQruoAYTMk,8,D2j7KcTr6vvubU4pdYKNpLjqTVoEKYEWU7cx6HqJTmeC,2347963509,0,2347963509,4890116296,4.890116296,4890116296,4.890116296,0,4865275461,2347963508,4890116294,1727639833
FofH56aa7eNxnNdKLxH54fmXKsXCJ9vy552CQWwLRa9Q,8,5BbRwrR2QWH7UNw875sLgujLSYrESohAn74egQ44tC4q,2190434216,0,2190434216,4619893900,4.6198939,4604976834,4.604976834,14917066,4547203741,0,0,0
Ay916pkBq5dCiG2NppDuRsiNbJjhG6M13YuJF2jFfN6x,8,71ahyYfPEAvZMoJ51fnpPTxDNsDBSBribcB21EGKavhP,1744993974,0,1744993974,3680405902,3.680405902,3668522327,3.668522327,11883575,3629389687,0,0,0
6sQd5CHsADKNkvcHR3oPeDUqyNHaELbRR4Y9k9LJV7ka,8,3UzSjavd3hfQUrivsvL2G9SrDwBhdR9LW9GbQU8udkbE,1527995530,0,1527995530,3222729620,3.22272962,3212323825,3.212323825,10405795,3171621508,0,0,1703393895
6BQF6y2cWRQyEaUDvem8nm88AXqm6JjFkpkuhzQKQXEc,8,5BKWeBW3iKRbfvkKi7WHmRwd3WKbLtJK1voYr9v6CEQY,1527306194,0,1527306194,3221275726,3.221275726,3210874625,3.210874625,10401101,3176623777,0,0,0
tn7YzhvcGErJtGuJXmM2SqFQYeD1Eyd9GoJ2UFZaPNu,8,HKNXHexX934AVEatJ3q8WiFXo9X9qpdnVLrYzYDvizV8,1444263224,0,1444263224,3046127936,3.046127936,3036292366,3.036292366,9835570,3000000000,0,0,0
4eeWHEEtVE5VNFNcXyoP7qXHV8GgpeWUiiu6VTpuWcpQ,8,5A1Zmw1ZyAZJAbD7xwVoYR6YJRMr1JhyjvPETUZMMDCF,1443384903,0,1443384903,3044275450,3.04427545,3034445861,3.034445861,9829589,3000000000,0,0,0
F4kX1HbVrzfCY7aMDBuXMCBSn7Xwg5444PJQ2EvqCVt7,8,Ahx2guFY6GuNkcgAet1KvLMiwovGroRNH8fUgyFM1WL4,1446298505,0,1446298505,2999999999,2.999999999,2999999999,2.999999999,0,3000000000,1446298504,2999999997,1702945982
8ZBxjKu4p2mE868moCEKYyeNTpqShLmcuDDzfQanokQT,8,A9Cnc7FWywRn4Y8hSXWRWKC1wcwCpikbteKHKcwcm7hg,1371029839,0,1371029839,2850645874,2.850645874,2850645874,2.850645874,0,2850000000,1371029838,2850645872,1706981299
4TzCMP3s8WgiLuzkzUhUiVDMkCJx6W9Cbm5qZYBiRA3b,8,gyyWZiLmBNLJippBb6BT8cQ6mNSQjJFWu8dcfP9eiPQ,1309038003,0,1309038003,2760921392,2.760921392,2752006718,2.752006718,8914674,2721963282,0,0,0
CbrR3K997W1UcR9hGq7e4VBbfNrxjkEAcybhQBiTG9qi,8,4ZuuqUWEztejjUGm6ug8oy87pY1qzy1k12f322Me431z,1317521526,0,1317521526,2742217346,2.742217346,2742217346,2.742217346,0,2732446598,1317521525,2742217344,1712252440
