authority,marketIndex,stakePubkey,ifShares,ifBase,effectiveShares,tokenAmount,tokenAmountUi,costBasis,lastWithdrawRequestShares,lastWithdrawRequestValue,lastWithdrawRequestTs
DdZeFxFL9Xms1EzyqzcWd3FjXPgxVccggkg6RJNZm5J9,9,ctmBnYiXJpU6BbqNfKgQkNYWsKeSVADCMXvccq53eeZ,249979695117,0,249979695117,500103121309,500.103121309,500000000000,249979695116,500103121307,1712003082
4kPnz39Uuw977aSBquS2zBVQ82Wi4LTbpamfwyxbxyXw,9,5zeMSWp56sApE28h5GFZgmd1vf79ykHQkwNMGrtfJf9q,249956739837,0,249956739837,500057197550,500.05719755,500005089724,249956739836,500057197548,1712003227
5yZSau4gFB5T6F7MeZoESG6MQZ8yieP251UkkNbCN1TJ,9,EDnCFKQrmcEwSJUCtkgSoGPkrkrREPMUWs5aT56v9jBp,247616076373,0,247616076373,495576333220,495.57633322,495329148360,247616076372,495576333218,1713889589
FsgucrSj7mz6jtXuP9uqNURUnn58fiectmjRkLANQQLr,9,ChMm4MNcGTHQj7XPb2F6o9RaQ8yNzCfMajTVaekMNLDj,207489545484,0,207489545484,415308519343,415.308519343,415000000882,207489545483,415308519341,1714663659
7zXdqhi4B6coG5mcGfpxdMXkobvYMG9QD9LUzPB38F9c,9,JDKKjnF6hRXkKQceu2xaAzgQLJobeemnmP3eVfRZPmHE,199983245337,0,199983245337,400284010075,400.284010075,400000000000,199983245336,400284010073,1714732529
AkjvfXQSoSMYA9dAUB9UX79ED5WMv3We8qj38QB4nxcc,9,2imw35jDjXBMSjJFb4NbG4np1WRQANQsQuEZLmExCyrX,149990807056,0,149990807056,310322792334,310.322792334,300000000000,0,0,0
EYsFiHY9S6QJGkxYQd9sT2RburbRftVct1d5BJQSSkr7,9,FRhDGeNyPvZS54qQso2jvArccMusE6gARjP9xivVB9Zf,138431132201,0,138431132201,286406456061,286.406456061,276916496477,0,0,0
3jMMihfYpRBKKm7zqpBbnWTEMCL51afF4EMkbnCM5UPF,9,7nGMmJGCLfYBFuJMnzbcXQxLXrbGXimj7FGwxyG2hGqL,138293080629,0,138293080629,286120834894,286.120834894,276640345415,0,0,0
9KLT2LHuhpxvGDHZzbNp89MLiMQRDzzqvkj6nfBP1rce,9,3TJiGLp4Edd3NnTExrrBKk3Mc4J4W7YjsqikNEhhrCPK,137861398795,0,137861398795,275941678288,275.941678288,275769155179,137861398794,275941678286,1714653350
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,9,poh,128408859164,0,128408859164,265670920228,265.670920228,0,0,0,0
