pubkey,amount,locked_amount
122AbxGCWNAS21cNc2V119RQnBybsPZ41FNegtEn1aZf,39929,0
122Lovn4K1qGzxYmXQkvBCMna11SwBG9GqEJoXApTWkt,61589622,0
123w8WaLTQGA16dKNMq8xw6shZiGyMd2jqy8FXhAXPBA,161762308,0
124GcE5AeVnLg8ggDDoJZWQvPb5xWgCua7T1ddGQ6X1J,362251,0
124NLTDQbuggobKCa53Lzx7B1ySAcrz4qnxaxaH34vjB,306740565,0
127rLjEo5GtfczDVzqAW5exWJfsCFH7qXgJcCsjTPvs5,39776759,0
129t4XHVZoi5hc7c59nx8D6cvibwkzrousnwj63pfjtU,781242,0
129X4U3SDqCy76MuXwvfc7nNVBy5YBiSqBiAq2gtfwuT,1399136,0
12anQuMVLHQMjCwGH72arvKyM7dSqqpmjtARhHJdTrgC,870681,0
12Ap3Edcoevk5qsuya8gD62ZEGwvNhGjcuvgPtPCM4Fg,2051550,0
12AtVuxUNBUicVGnEB98ww7we78R6QwqFc17QLByuEbi,119083698,0
12BjvdWKqNFVmhek61pKovtR2NatwpNBCseP9BAjmDrd,2567129,0
12BUxcNt689fU7iijF2V3TybKQ4zWSaRNqKpCV1RtQt5,53788,0
12c3DH9qD4HpdA7XuDdhpG7YxaJ2PeHCk5QyAnhrf66f,17716812,0
12C4fjmFcVWuYMj7W67gefeW88cm6fihBpzYvgSQUoff,54446234,0
12cbVuuaUnTkC4MkLjD6UAiKcubin7WTQZ6GErYCfKet,208991758,0
12cf1spWhZX2uXLMtyfDFi5SskX4XFY1yGE2abcPYRLa,98578858,0
12ckGGehnc6b7QsCeydrY5rk9g8wqUVq1G81en7Nr8yZ,697460,0
12ckQdo8N6WaYJYwJYz8tCmMQRxx9p5hnCwyqpcbtG14,10172,0
12CtS9aAKZG7H2KyAGNdcvmR75PPnipZmGqBEuVMLqwu,7155426739,0
12cw6NxWkDiLzJkkVdPuxTxphzDZtmSgnWtrcGqQ6rCs,711472,0
