pubkey,amount,locked_amount
4KFhG4roRexhFqttE3KZmHrwQrxThRyg5aLcs2WRXk1F,14885853697,0
7HnosKZYYq4puGUD1Tx5yDmPkD554PuCyqUYdJhnxCro,6818765938,0
9qJW4iQ425Bz9DRHTRBtXUs4cd68XTJoFYN9xmF9my7n,15084532738,0
31ZaEDCGxA4zss8JYrF1MBB3S8w3A2BABkVQ3yY4nyC6,19886194873,0
HGp9Ri9wnaWPE28vYWxovDyikdPyQBKYgMHpa3R1diXX,7701777043,0
8c8ZztW6Gi2Qx3V4pLgArPei8qUtZRJhKwijyKB3rTSt,13290159059,0
A5BqzghmkxZB7jc5BgrQPih2XVWDxuuK1iEJsFJaY4Dm,5599065793,0
kami6VwyhujBV8fwAF9vTvPtRDd2AjJBsro9S1paX2A,17570296165,0
7g6ZqLFrR1MkQ1ZM5ot3TTY2B9sDux2Z6QuaYxpoERPx,24454132071,0
9GNaGSvw3VHKYaP3EmR2hD9XqakJZb8Ajt6kbZaFH1ps,17360743847,0
7pFfQdBrbC8zxaD8X7PSBGdNghmHZGoLdyVGWNQMmgx7,17104390516,0
2fdLiYBS5ij9rYjBEyngfLmvQoP5kmMFu29J4Enc3W3y,17029505016,0
BmCLuYQ5WuDQpXEF7dkFzqVjYSSJpY3fT7Ahc3Wn7gz3,24284412374,0
uaLr7QDYumEZMaatwufj6aB8y7DXfdw4sbcgd154sxc,24119658174,0
C42o5SNT7TX8iLY9AFaPk8Zh31bp5PqaR71bmdY3xfGv,17857301159,0
BnmmSg97cmyKNrWAaGn8ewkibdSvq5MGT1EBoVPQv1M1,2270380278,0
ApceYywamzpDnLf8SdLT9Ap2Z9nbUjnM54SGxZgxSiRo,256770067,0
