pubkey,amount,locked_amount
4KFhG4roRexhFqttE3KZmHrwQrxThRyg5aLcs2WRXk1F,18202919485,0
7HnosKZYYq4puGUD1Tx5yDmPkD554PuCyqUYdJhnxCro,6633414026,0
9qJW4iQ425Bz9DRHTRBtXUs4cd68XTJoFYN9xmF9my7n,15479718717,0
31ZaEDCGxA4zss8JYrF1MBB3S8w3A2BABkVQ3yY4nyC6,19868317414,0
HGp9Ri9wnaWPE28vYWxovDyikdPyQBKYgMHpa3R1diXX,17462313497,0
8c8ZztW6Gi2Qx3V4pLgArPei8qUtZRJhKwijyKB3rTSt,16482804201,0
A5BqzghmkxZB7jc5BgrQPih2XVWDxuuK1iEJsFJaY4Dm,18294786180,0
kami6VwyhujBV8fwAF9vTvPtRDd2AjJBsro9S1paX2A,5302411123,0
7g6ZqLFrR1MkQ1ZM5ot3TTY2B9sDux2Z6QuaYxpoERPx,19200635572,0
9GNaGSvw3VHKYaP3EmR2hD9XqakJZb8Ajt6kbZaFH1ps,20773443765,0
7pFfQdBrbC8zxaD8X7PSBGdNghmHZGoLdyVGWNQMmgx7,14931823344,0
2fdLiYBS5ij9rYjBEyngfLmvQoP5kmMFu29J4Enc3W3y,4942859909,0
BmCLuYQ5WuDQpXEF7dkFzqVjYSSJpY3fT7Ahc3Wn7gz3,7022673087,0
uaLr7QDYumEZMaatwufj6aB8y7DXfdw4sbcgd154sxc,15132948080,0
C42o5SNT7TX8iLY9AFaPk8Zh31bp5PqaR71bmdY3xfGv,3184652505,0
BnmmSg97cmyKNrWAaGn8ewkibdSvq5MGT1EBoVPQv1M1,4570980241,0
ApceYywamzpDnLf8SdLT9Ap2Z9nbUjnM54SGxZgxSiRo,2539753386,0
