pubkey,amount,locked_amount
4KFhG4roRexhFqttE3KZmHrwQrxThRyg5aLcs2WRXk1F,15876061268,0
7HnosKZYYq4puGUD1Tx5yDmPkD554PuCyqUYdJhnxCro,1617619660,0
9qJW4iQ425Bz9DRHTRBtXUs4cd68XTJoFYN9xmF9my7n,7484462294,0
31ZaEDCGxA4zss8JYrF1MBB3S8w3A2BABkVQ3yY4nyC6,12561661209,0
HGp9Ri9wnaWPE28vYWxovDyikdPyQBKYgMHpa3R1diXX,21091312352,0
8c8ZztW6Gi2Qx3V4pLgArPei8qUtZRJhKwijyKB3rTSt,10295025206,0
A5BqzghmkxZB7jc5BgrQPih2XVWDxuuK1iEJsFJaY4Dm,3845380207,0
kami6VwyhujBV8fwAF9vTvPtRDd2AjJBsro9S1paX2A,17552652447,0
7g6ZqLFrR1MkQ1ZM5ot3TTY2B9sDux2Z6QuaYxpoERPx,10630289231,0
9GNaGSvw3VHKYaP3EmR2hD9XqakJZb8Ajt6kbZaFH1ps,21122196211,0
7pFfQdBrbC8zxaD8X7PSBGdNghmHZGoLdyVGWNQMmgx7,20778641815,0
2fdLiYBS5ij9rYjBEyngfLmvQoP5kmMFu29J4Enc3W3y,16580506792,0
BmCLuYQ5WuDQpXEF7dkFzqVjYSSJpY3fT7Ahc3Wn7gz3,18241993072,0
uaLr7QDYumEZMaatwufj6aB8y7DXfdw4sbcgd154sxc,890251254,0
