pubkey,amount,locked_amount
2fdLiYBS5ij9rYjBEyngfLmvQoP5kmMFu29J4Enc3W3y,35192900457,0
31ZaEDCGxA4zss8JYrF1MBB3S8w3A2BABkVQ3yY4nyC6,34702646172,0
4KFhG4roRexhFqttE3KZmHrwQrxThRyg5aLcs2WRXk1F,32643812918,0
5Nsns2LtkTMSmttZDXsyYTHhitsG1PPUTxQkTZQX4ZJv,2000000000,0
7HnosKZYYq4puGUD1Tx5yDmPkD554PuCyqUYdJhnxCro,10100152950,0
7g6ZqLFrR1MkQ1ZM5ot3TTY2B9sDux2Z6QuaYxpoERPx,43493721645,0
7pFfQdBrbC8zxaD8X7PSBGdNghmHZGoLdyVGWNQMmgx7,27608248545,0
8c8ZztW6Gi2Qx3V4pLgArPei8qUtZRJhKwijyKB3rTSt,20973667369,0
9GNaGSvw3VHKYaP3EmR2hD9XqakJZb8Ajt6kbZaFH1ps,38845625741,0
9qJW4iQ425Bz9DRHTRBtXUs4cd68XTJoFYN9xmF9my7n,16181045886,0
A5BqzghmkxZB7jc5BgrQPih2XVWDxuuK1iEJsFJaY4Dm,18888091533,0
ApceYywamzpDnLf8SdLT9Ap2Z9nbUjnM54SGxZgxSiRo,2583118961,0
BmCLuYQ5WuDQpXEF7dkFzqVjYSSJpY3fT7Ahc3Wn7gz3,28345319096,0
BnmmSg97cmyKNrWAaGn8ewkibdSvq5MGT1EBoVPQv1M1,23855505903,0
C42o5SNT7TX8iLY9AFaPk8Zh31bp5PqaR71bmdY3xfGv,17989684163,0
E1ZuZebgqVAJyQ43AoNhByD6hutTBLnziDjaab25AfqA,2000000000,0
HGp9Ri9wnaWPE28vYWxovDyikdPyQBKYgMHpa3R1diXX,23386249454,0
kami6VwyhujBV8fwAF9vTvPtRDd2AjJBsro9S1paX2A,34045781847,0
uaLr7QDYumEZMaatwufj6aB8y7DXfdw4sbcgd154sxc,36582194231,0
