pubkey,amount,locked_amount
2fdLiYBS5ij9rYjBEyngfLmvQoP5kmMFu29J4Enc3W3y,6761025925,0
31ZaEDCGxA4zss8JYrF1MBB3S8w3A2BABkVQ3yY4nyC6,24653676649,0
4KFhG4roRexhFqttE3KZmHrwQrxThRyg5aLcs2WRXk1F,11266276997,0
5Nsns2LtkTMSmttZDXsyYTHhitsG1PPUTxQkTZQX4ZJv,1000000000,0
7HnosKZYYq4puGUD1Tx5yDmPkD554PuCyqUYdJhnxCro,11776885465,0
7g6ZqLFrR1MkQ1ZM5ot3TTY2B9sDux2Z6QuaYxpoERPx,9077150518,0
7pFfQdBrbC8zxaD8X7PSBGdNghmHZGoLdyVGWNQMmgx7,2336435112,0
8c8ZztW6Gi2Qx3V4pLgArPei8qUtZRJhKwijyKB3rTSt,8347653556,0
9GNaGSvw3VHKYaP3EmR2hD9XqakJZb8Ajt6kbZaFH1ps,13944924136,0
9qJW4iQ425Bz9DRHTRBtXUs4cd68XTJoFYN9xmF9my7n,24891166839,0
A5BqzghmkxZB7jc5BgrQPih2XVWDxuuK1iEJsFJaY4Dm,2788324501,0
ApceYywamzpDnLf8SdLT9Ap2Z9nbUjnM54SGxZgxSiRo,3424720279,0
BmCLuYQ5WuDQpXEF7dkFzqVjYSSJpY3fT7Ahc3Wn7gz3,21532161497,0
BnmmSg97cmyKNrWAaGn8ewkibdSvq5MGT1EBoVPQv1M1,16174667653,0
C42o5SNT7TX8iLY9AFaPk8Zh31bp5PqaR71bmdY3xfGv,5496334941,0
E1ZuZebgqVAJyQ43AoNhByD6hutTBLnziDjaab25AfqA,1000000000,0
HGp9Ri9wnaWPE28vYWxovDyikdPyQBKYgMHpa3R1diXX,21142224864,0
kami6VwyhujBV8fwAF9vTvPtRDd2AjJBsro9S1paX2A,8165305467,0
uaLr7QDYumEZMaatwufj6aB8y7DXfdw4sbcgd154sxc,13816749282,0
