pubkey,amount,locked_amount
4KFhG4roRexhFqttE3KZmHrwQrxThRyg5aLcs2WRXk1F,2455155475,0
7HnosKZYYq4puGUD1Tx5yDmPkD554PuCyqUYdJhnxCro,14727966352,0
9qJW4iQ425Bz9DRHTRBtXUs4cd68XTJoFYN9xmF9my7n,2483883256,0
31ZaEDCGxA4zss8JYrF1MBB3S8w3A2BABkVQ3yY4nyC6,13771087040,0
HGp9Ri9wnaWPE28vYWxovDyikdPyQBKYgMHpa3R1diXX,16379090073,0
8c8ZztW6Gi2Qx3V4pLgArPei8qUtZRJhKwijyKB3rTSt,12128221879,0
A5BqzghmkxZB7jc5BgrQPih2XVWDxuuK1iEJsFJaY4Dm,689180719,0
kami6VwyhujBV8fwAF9vTvPtRDd2AjJBsro9S1paX2A,15122159767,0
7g6ZqLFrR1MkQ1ZM5ot3TTY2B9sDux2Z6QuaYxpoERPx,1408773507,0
9GNaGSvw3VHKYaP3EmR2hD9XqakJZb8Ajt6kbZaFH1ps,12871114287,0
7pFfQdBrbC8zxaD8X7PSBGdNghmHZGoLdyVGWNQMmgx7,13077270108,0
2fdLiYBS5ij9rYjBEyngfLmvQoP5kmMFu29J4Enc3W3y,7990330819,0
BmCLuYQ5WuDQpXEF7dkFzqVjYSSJpY3fT7Ahc3Wn7gz3,11181618537,0
uaLr7QDYumEZMaatwufj6aB8y7DXfdw4sbcgd154sxc,14524887113,0
C42o5SNT7TX8iLY9AFaPk8Zh31bp5PqaR71bmdY3xfGv,11489886541,0
BnmmSg97cmyKNrWAaGn8ewkibdSvq5MGT1EBoVPQv1M1,6258042157,0
ApceYywamzpDnLf8SdLT9Ap2Z9nbUjnM54SGxZgxSiRo,11536687262,0
E1ZuZebgqVAJyQ43AoNhByD6hutTBLnziDjaab25AfqA,1000000000,0
5Nsns2LtkTMSmttZDXsyYTHhitsG1PPUTxQkTZQX4ZJv,1000000000,0
