pubkey,amount,locked_amount
4KFhG4roRexhFqttE3KZmHrwQrxThRyg5aLcs2WRXk1F,243886303,0
7HnosKZYYq4puGUD1Tx5yDmPkD554PuCyqUYdJhnxCro,8955457053,0
9qJW4iQ425Bz9DRHTRBtXUs4cd68XTJoFYN9xmF9my7n,7884407652,0
31ZaEDCGxA4zss8JYrF1MBB3S8w3A2BABkVQ3yY4nyC6,9914370616,0
HGp9Ri9wnaWPE28vYWxovDyikdPyQBKYgMHpa3R1diXX,6898477678,0
8c8ZztW6Gi2Qx3V4pLgArPei8qUtZRJhKwijyKB3rTSt,2607193617,0
A5BqzghmkxZB7jc5BgrQPih2XVWDxuuK1iEJsFJaY4Dm,23972088720,0
kami6VwyhujBV8fwAF9vTvPtRDd2AjJBsro9S1paX2A,23325548499,0
7g6ZqLFrR1MkQ1ZM5ot3TTY2B9sDux2Z6QuaYxpoERPx,21453586679,0
9GNaGSvw3VHKYaP3EmR2hD9XqakJZb8Ajt6kbZaFH1ps,12668557114,0
7pFfQdBrbC8zxaD8X7PSBGdNghmHZGoLdyVGWNQMmgx7,19091503378,0
2fdLiYBS5ij9rYjBEyngfLmvQoP5kmMFu29J4Enc3W3y,8708809349,0
BmCLuYQ5WuDQpXEF7dkFzqVjYSSJpY3fT7Ahc3Wn7gz3,14518053551,0
uaLr7QDYumEZMaatwufj6aB8y7DXfdw4sbcgd154sxc,6554058256,0
C42o5SNT7TX8iLY9AFaPk8Zh31bp5PqaR71bmdY3xfGv,6703340984,0
BnmmSg97cmyKNrWAaGn8ewkibdSvq5MGT1EBoVPQv1M1,5310109624,0
ApceYywamzpDnLf8SdLT9Ap2Z9nbUjnM54SGxZgxSiRo,4398436976,0
E1ZuZebgqVAJyQ43AoNhByD6hutTBLnziDjaab25AfqA,1000000000,0
5Nsns2LtkTMSmttZDXsyYTHhitsG1PPUTxQkTZQX4ZJv,1000000000,0
