pubkey,amount,locked_amount
11ixrEtSksKbpN1CnUL1hcG72TtoFn3VmERwgTPf1Hm,11523392,0
121nVGewD5eHeep2hx3zbamzVvDCaV2kALF6VocpJi4i,4,0
123w8WaLTQGA16dKNMq8xw6shZiGyMd2jqy8FXhAXPBA,4,0
125SN1SAYLzMtjoFbouVRS8TuKDhwfG6RTkLS9UWKd1r,4,0
1262zwaTDnFhaCkzTppyjyDeEjbM9SAGjRrPVAWohMFD,4,0
129X4U3SDqCy76MuXwvfc7nNVBy5YBiSqBiAq2gtfwuT,4,0
129t4XHVZoi5hc7c59nx8D6cvibwkzrousnwj63pfjtU,4,0
12A8cUFxc7BE6DxpQZq8jdHb2CS44grn6yhAFDBprcHG,4,0
12CtS9aAKZG7H2KyAGNdcvmR75PPnipZmGqBEuVMLqwu,5509020763,0
12bkThtRvHSecK9BuhwyvVqY7QRe4P3ALfnb6Vcw1YUY,4,0
12dea5pxdUCszsDdWpjmZopaNva9VjUHydDB88inTPFs,269669,0
12eLaF28cTFbSnsZ4LeEQBq6x94YBu9mN9QDMWWXG2Ww,4,0
12i3oP4DMUeGDHNE1yAcTKKYNN7rSHLedMPU92XUGC9F,14823830,0
12nnVzMPtGBxJVwup8YCMqZz39bQ82sxzrPkBryBk6kQ,4,0
12pUhaNP9TdQYxvNUiuLsVD6eTUoQEwr1G4yRRANMgS,4,0
12tg8k5VPgRkagcfjFi8cRRom9ZSWsH5ixYWC9EJVfhD,4,0
12yB3Gv68v3Zn3LiJVaEY7srBggb53Qbep98gZjrzbaw,4,0
132rRwXFXGxZYrgprQfdgmTj6VEGuRYUq2RK9EncmLsY,4,0
133DYnp63vXFyWpywQdTubnnVPGUaPogeEBmFFcHNsuD,4,0
1391x7YHfuYGHLZwekYsKsYDTNfkCkJqax15VjShuk4W,4,0
139dUpPJz54dw2DsNJFEwRdENYLz6Lh1QdB1G35KZ2mn,32273124,0
13AgeJk72LgW4s4hiA1XUuwXJxb5gm9uX4EhLssYGr9k,4,0
13H39smF92YdezqnoHw1WuGQ54z6Yzx2hoR8NNVtLCRr,72731914,0
13RaP2wgLcpyELbe97p7FurhNnzo3pMsHCx6HAo1HLZY,4,0
13XJVJ6ZfgUN5LAkietJVVRmx4cmsW4a976pHUsJfmet,4,0
13Z31U9YL5KNpLaV9QptdSS9MVGoKgpJPfGvbEdh6LMn,4,0
13boftmqrxqPnWYCGsV3iF9HtrWzB6JwaFX1PauMzg5o,4,0
13fuNhmBEJZGazbukeidRGQ1Pqfgp7jjMra7f8sfXpBR,17880235,0
13gJdFuGXGV5JxkJKQXQBLKXJeMpHXpXAymyDUp9oyUN,4,0
13oiRkBYTUVurHiAQVdj4jtmWAPhecoxcuwVShs8Xdkf,4,0
13t3TV1N34V5f1W5vcNruX4Sf5G4zGHUpwaXDXMeam9K,4,0
13v3NDDsn1KH5J1QTf4Jd58DomhifcJgQordTUxR7rp2,4,0
13xAxZm3CQsSQz5SWbPRRL9WB9ytHJkmgJxzdtnrAqgk,4,0
141X5YKREdQz7dKuiuDJXz6ufaTLpCjXR7od8KSN1m9f,4,0
146DNLzC75ZZ8Q1T1ZzmXHEydW2GVnoPMCQ8pJeKByDY,82921516,0
14AicnXXoqCyCi4osFAgq4W7AdGxhxygGZ8mPZpPrXdM,149863840,0
14Cz74ExGHQZaHJiGdfHmMf4JC6VEWCn3eQ6F917B8n7,16017059,0
14Lew9hmddHcfkmNFZMCsyRXSCvVmNr1Av1PjoXgJmqX,4,0
14NKUZoEQW3bcFd2RzShLTdAYH8b3FfnhgmM8aZynULo,4,0
14NNcQ44vzbTwejhXkZEGEeD3uiF3PPzVTVF7FVfPBn1,28865926,0
14PDw4zZus8fZkRj8ESqo8CvYZuvhqBJ5znpKvYKfwAk,10074085,0
14SYY2J2FhAoX1sk86X9b5DT3fSAzSVeNTdSrBc6PRaT,137192924,0
14TZGQSiqqzJaoBF7JtqPF1XwTVzerbYbxpxwHpvX3SA,20233,0
14U1SQSJtVkwMUrjkn2ULyctGko2J58CgCdLgEPEJFke,4,0
14U72TFQXFqYnwLKjsvZjvPkpmv63upHbDDnHzL8uz6X,4,0
