pubkey,amount,locked_amount
11ixrEtSksKbpN1CnUL1hcG72TtoFn3VmERwgTPf1Hm,107608202,0
12USTvzdhp6m3Af2i3KSdamfD5t3ySpnYgC7ZsBBRF2K,102055034,0
12dXdhVddVFD9ZFVs9v1Ghx55kSUu174hYyXsVGSKckj,116840784,0
12fQKMC93VhBojMUAWd7qhY2ufBArHzRi4LRhtAfVFbE,582167065,0
12fnmFwXm1CKTBy21J3NELchBSEqnEqu68qv4h2hWknE,398610553,0
133bN8VFsz2P7e3sWPmeU6rPHWg2qrUtV8J5mrNGr7qs,172750269,0
137YSgE7unMDbzzvkyHvdd4bvRVP5Jq8b7BiwVS81fZA,1167315,0
146DNLzC75ZZ8Q1T1ZzmXHEydW2GVnoPMCQ8pJeKByDY,6243763575,0
14AicnXXoqCyCi4osFAgq4W7AdGxhxygGZ8mPZpPrXdM,697491931,0
14dDiZZcfGx8bNuR8SEVR2jScPQbE5YrCdpCAvUx3vby,173338037,0
14h2AG2fqtdBsDzagTAUYDaVZ7RmhQs3wicSamN4qmE1,1158226252,0
14mQodLxvhe56VzuzJdcuBzca2oshYJpcfYWo1czuQrf,235064626,0
14nozBvtSCoqrzd8hTT2BMPB6mE2E4HNsDX2FyGQ4kXj,3527759383,0
21DtPnWkf9gfLnQhsSSQxUCkpTh68KTpt1zqpfy3ELpx,1282211,0
21HP6oAQ5DvcNXmnXH85XYEA5D7Va2UfyN7SyEp1Bnth,570535855,0
21dQjRvqgrKqmgnrzjb6ES9yNgSoBp4Z4nqgmLnB5pdc,34564314,0
21f7kP5uzhrvyuHYndtpwBmakHoecUZL8tY8HXZJcoGC,233321424,0
21iUm7VF1Hj3pjjaFmD9pywURDEaxovHbFckRoHahi1P,10134259267,0
2251bNqNR5uYaZsxsPNHW5L8QCzw7a5Dq7QCEhy8urVu,115607,0
22Nzuch3Tgr83SdkmXkisSxBVPDtvJ5fZ6A5syoqDnrz,23337079,0
22RVWbWhsRb6UjrsFXxbCyQsAYGUFzKN85JGduEy1sd1,269063647,0
22WSPL5oNScW5e3zJ628VAGbJhCZTFMcbPQXXStMKCTY,10000331,0
22k9SNhzPX69HEHz2LGkumkU5zWvCi6jKLnFeQhaTL66,23305215,0
22oh3jV2XiDsAqyseFUyBfzQyR9Yjwt7daQE5ddSuxNp,222593789,0
22ynoPeqqp9U51zfmQGiyBjz7oMwepNP86vvsaEez22F,5138031,0
231NqvDaGXTty5Q6vfyFQwWBMR8faFeh9H1jNiYRPWPd,444058,0
23ZNRP76TfVxTe7D66hRefgNZSKnG28jSyvpXCgzQWCY,1119212069,0
23hrNiKbDNxncfCCsDq15mRTjYgXf6SXLrNZFe6WRVA2,1170012510,0
23vdscakngC4pAkqCwJVy3pnGQmBBaiT1YQWBhMv4yKK,464448,0
243wEh5JZiu7F2MiJtyke6nVRkF56PrbN6hMAv5VcjNd,136187333,0
24QNv8vLRKojLX3iyLZVevQk8SChmaroAqvJ5APCSFiQ,127297698,0
24nhh2soB2vje1raMSUyrX4d11ih9k5ntcRUDXFudeip,314487304,0
24zr7qUg65W4pFfKmDJFDfTatts2R5pNQqFFhFX4J5oo,60370040,0
24zvPtNmaUonkVZHuVKDbYsc1arWFDc12zhmTKjr56tM,58123610,0
25bYhroG3CAR8tkMah9xw9Z441HATqogBqR4Hgxt2phb,255392477,0
25jWQaE88nw2vcpia6CNLog1Cr6CpZuHkkRLHvNTMWhx,2533057193,0
26Mo2aG2MPdnukmyu5wfVdGbTXDLdvLkXdk9v58ZWEcx,1283279230,0
26Rq2jAmjivnYgGT1hd8Lq9RUmMn662R5sgtYZ6Nks4z,58499856,0
26ZS6MfLwTdQCsoZFfMZJ7pNzmFY75MM98nFLSYcV7J3,1019296543,0
26fUjSZkAAakVbJvvQqpLh8G55Zj9rvri7gqQJ7bMi5Q,1178904554,0
26jgVtAdcRVGhR1yYXCAr1eBvMNFQ7MkmPY1A4YS2fF9,1164139288,0
26kX2qbUAEG8m9BLN9ZeS6yn93PAGuah2gboR2vvPHzN,216750468,0
26nbe9r4fHtwTyoYsXXCdPqjfUZmQX8zyFxqVVUevo2e,30401843,0
26rpm1GaCskfwPQEeAjvtdgTkTdoCJyUBC5UdikP11fS,544432288,0
26tDsAEL44e6YpeQ1NZ1X22PD4AsTjdj1pqEx8JxU6sG,1055133585,0
27BNNxk5y6SWGppiSnXFVKR8wtparJ9VuDBgZsPvuDno,582370773,0
27R1iXHdogiJCqyMpJbuBd8ARxuDcYKm8myQccVWAxdJ,3043115471,0
27oP6x31V764pLQXqoQRJFDub2u3XrhSRG1XYe2zkFfX,469699160,0
27ssfArhRRAbTPNibhgtuAwCBdUiMHwfys6iEsaPNy4n,123583261,0
282UzmjNPZBEvtwwf1YTghLzALUwNbrYnKWNXLJQ65S4,1016,0
28D5kWVK7TEs6jBhS8A5stQXQdfKf3vLTkMk918smwWC,1175074698,0
28NmcPsB25bAhwXHSJEuEkp9NG74foBoonaLCgsMdqLq,117488483,0
28TDgjw4rPGyu19GYTFymkn1YT1wprDZVP9zcXBCF5SF,33819244,0
291HzUXz5RwA6vmpmSpdt3XDRwYM8Vj6xdoDj8DPSus3,57532729,0
2976dm92KRUJS3nERBTabnSrSDmYJCHZCbWFTe5HgZ8M,506710083,0
29LvxFVKgqKwJiYXtHVnFHBNhm33oPAsPE2rLfAhM3Hy,4201750306,0
29USp6bwSwpHZ6TfNsfLEhh3AV8mbriKoHvK8o6RdnTj,67295865,0
29XM77qzBot5R7NHb1wMfmERcBtRBZYEaTy429aT34od,11555736,0
29htuhfLQHwbHd8BAQPrXWeapza4AHGq9jHiac4eguFK,1016205196,0
