pubkey,amount,locked_amount
12USTvzdhp6m3Af2i3KSdamfD5t3ySpnYgC7ZsBBRF2K,2,0
24RvKsVfWW3tWjFcY52TH19uXZYWrAZUR2XbevTFnQbE,2,0
27WY5jfGvxy2kwuCgg5tLUzjQHwqcLE28zH5bfCXSUEf,2,0
28b9eHqaNbRbrq73x61R9be78DzCoupLyTE2q4mUPBHX,2,0
2LqiCbu6XUWohcQ3J841o91RMgpt3uR88cX6iNgJXujX,2,0
2QQ9jUbRzrrSSBuRrf5yQybYwYSsofnpLYH3KZwTZ4o4,2,0
2Qh8uqBjdyQgiUWiGCrFbREM4g3YFMnNUHPjhrAm1cij,2,0
2gwUiCu5sxCrrK8SqvWZJRSs8Z5nqKvG3iB34JxK6jFY,2,0
2hVUvPc5hKg5tHoGeQNQgHUZKzyScyiF9XEHvJCJqZMW,2,0
2twhr435xVJ9863f8fyG2mbtgjPYu2bMQxd9bxa1aAcx,126272846,0
32MBYy9Mv1DiGseyr5g89TbHgFNw9H42N5z48HGVhcMR,16379539,0
337k8URshvaagCFPVvwgdFkRG5qYdwztzDmnFVxRQHgU,2,0
3J4PFChKCURTtnTR1pYcSyFZfqqXxh859mfdsPBF1qS9,41814031,0
3RKpmRxyFDmNhRQ3qpH1F3t8oaztDFyNooLec6YxKGpS,2,0
3T3TD9Mb4pUZ6n2v1HBQjCGPnDho9TZHN6y3VqRXxawE,2,0
3gcY4evGE5CzgZKjbhVVuBHKZ8xaGSK8Ad3Gy1seMRve,44033680,0
3hpZq5rtYr144VbtMRuNhH1HGRepQee6zCvD6zecdNeG,2,0
3i2Qpi1FzpuQfsEwFtdJjcgENAu5LrHHwDfzgq1M9nVQ,2,0
4Sg3HUiu5pyx897Gjce5oEDcZ14qqZjjt4obCVoUm6Y8,2,0
4ZfkxjquAavSEi76aMA1Cznxu33bvF2C1ETZy2v1ETxK,2,0
4u59Fo5RcXBBtHraK42iuXXXTpjN9RhK9Rfhc1YyMqxV,51388787,0
4vygEhyhpe3n3jTeTZMpqRiw3fx5rKiphgR4SeVNR7ZY,8424405,0
55qtPnHUZPFM6yqKT9D6ScWvxFV1M4Kes53UiHvEv1Q6,253394630,0
56Sx6eMCStBWVgUXfKQtfcVg6e1ZDYAbWv3LVoEAnaJ,26524664,0
57TCDrWn4Mq7gUWx9dVf83NaDySPp5ie9LoDTvMNiopb,2,0
5EKBS8kwEpXL7sYB7WpyUMrrQhHeiZrjBTftn4Rm7xLy,2,0
5P6wkMckGvfLpddi6nbPDjvUMs1U3CjjpbPatTCq18f8,19682055,0
5Q7Qzz4HCj9UbLEsaxqR3rtaoaDUbzy1kJhoqqVLPB3B,2,0
5RaPDNNr6yA4MJyitJBpRaJQyW6roecdPSN9693FwHjh,5648322,0
