pubkey,amount,locked_amount
2X4SaoM3SgvuYk1enFK6rBtCMNMNWnS8XcdMQDtEuQcJ,2,0
2m8Dn5owNP7LF8pEdsxdchFdbWQmkzh7UfQosjdvJ6dC,2,0
2oKyCbiFwVhhthyRfPeqKJgchpksDvGKnoDe6jCR1niA,2,0
3LxAfTiPYA49QNhKj3v9aKkfqEkan8T86tg5CNDLq5S8,2,0
3gthc3EgHxfLf9LVeNro5eRYULUJV35kVaCY3U7vFPQV,3969211784,0
49N6YU97dkzq9ekLJmFYBj1mk9Cos1h9VtVPNUCpZ1vg,2,0
4QK52WBRF77cjAruWqVyowpkHNNvbKRyDSwBgeYokkKR,2,0
4dSyctdSwLBHyfA3qZMtqpkn9n8h8aXQWN7YAUy6MnzQ,2,0
5K7o9YzHpetKkCNUaucPhKUtE9SsyVTAoxrR3yj8TPy6,2,0
5MAk38iRFByL5AQ5zhFBCipFEDNz3RFNLdQFEgANSCXm,2,0
5UjvSw4q5NpidrAeqaVrVU2MXx1LDanqc5PbHj6YjVRM,2,0
5qHTNJ1XnifRTcC2YUChH2M3SotNdn4NCFFv2Yq2fP3m,1025561273,0
6UDkunYkTE83M6kaGSaR7cMuDKqKLVfJxTYbS8Afu1eU,2,0
6wGHy2FoCBjrcrL75YMRork1KyXsh9jU3iJWtTPFue9N,2,0
7QA7nqJyedyc4fELZuvFrMLimZRgmr3MaadB3Eua2LPS,2,0
7WSjaevq6Rwetb8QEBN7EiayViBGwMQnq2qAAdT4GnZc,2,0
7YzQuQXUFMaZTrEA6TdnXNBmxgHh3Gd49C5vAi1HGVsW,2,0
88Qw6NouaV9sVq6V3UarY9gzeqNUK8jeHjvBbkjGRtEV,5679673939,0
8HrJJBbVtzQ33HQQRARKmsjqw26zseWWnT917VxiLBYk,323042279,0
AiKzZZ6fp1G4Joj7CZeS8HBjXxXmZFuJAqRWePaWNDwh,2,0
BMThPELeyBgG7vmd4qXLkL6F3EoE39fj7vYBFsjhoVRF,2,0
Ba31KniTGh7JLMg18XonMdcydpzCePMaPojSRiRp2vVB,2,0
C3c5zqNHA2p12Csa5pZ3VKoQpZoGZG8Xt3hCutenZh8d,2,0
CRNLJACd17jgiU9GNJ9ZJp5DopgjCc6MMjRY1NwyTz7f,2,0
DJ9FVZuApAp6RDrrpEhwg5UFcKgXfWfGua8dgYszxNQk,2,0
DdhnbrE4zM6B8vgtdmhy5giCJgHProFhzhGVgLzWz1Uw,2,0
DeDpveoYqsq6KtRVK2aoPH662V5HWddQxL79DgreJvfA,102855020,0
DkSEJQskDtjEhManaNi1J5tSMc3wqVRQgAWEHqjEAEKR,2,0
EPANpTJx9kQfpD8ZmUA9LNwqwaHgBhWiXpqCdjAUeXto,2,0
EvHLDznQqq9UMGztSV3PwedtxjNmCDtHYERmTZkpgumf,2,0
F9PDZzRyeCXRFTRbPiqY2ZaypX2eoyKrftyB8ugpFokU,288139295124,0
FGY53eedyuUJUeNdW18V1b2rpDmnNa6eVsmjbCv7efAm,3441999293,0
GFAaV8r6aB8aYgD9MJnqgXPpJU1r19tH3hNKkmLjio1V,10127456426,0
Gf6obbWTgDJ5PHJnQ5uPJpRL4HFaaGXUhtiD5SjJxoH3,2,0
GfvVsQt2dNumBRyBu4ibPHRMRWPTMkJhK9YaRmoB3jV3,2,0
GgCy2gBeXQiwN3pmU5NrQFQcdmLwVG77VpYH4FvNyM29,2,0
GnJ5TZRoUzvAxzeNQbTF2ZHnhJaxUqsvQJ7ALChZYP2Q,2,0
K2eaEfKpDmcc2L8RNBhLcQqf2sEm2iNqqwoFc4pTTFf,2,0
Ws9ornf85JkfmiH6hGMZoHP7eG3ZzcFFJVzRYbMa7wn,10714168049,0
aQXciw6bKkqVnQ8vArbtiZhnsEcrprGjRjhtAcMWUBD,30139008922,0
arbJEWqPDYfgTFf3CdACQpZrk56tB6z7hPFc6K9KLUi,102855521,0
