pubkey,amount,locked_amount
2Wbv8kjJp76D6CLkCMUU1DMnBiguKGUxvq1Pnk1a6wvo,44530441,0
2ZRGRV3JZ5wc9NJVpaz8r1LkhzLYRg2S8QrF1xWF7gSR,1,0
2a1MDhWLb6QZCmoAdfj8PGjhoBPrnTMuEsFw4QCkgJaj,1,0
2hG48v5Bm8FnAiYNHz8VbTQ6xammCf3QkYmUpkShm32y,11399645,0
2mUYwAmFufpiECJFCTfkW8mAfHu8RrhzGGTXWw8VvXqK,5295354,0
2zuzoCgUv4XCriAQfDZEPhpZMSwdnie1gc8jvSzCB1Xi,1,0
33FfgLi3MpKdVdQe8byccTfuEdpUY1V88dUsjbTt3jgP,1,0
3EKnWF6KYHBMJpjEapgu1PZqynxRyTVMANBE68bUvQVz,1,0
3GqRopS7PyxgMnGygMuxKirQgwrQPgqTDt7TBz8Xf2Ap,423629227,0
3KNV8kWdJ88i8oNrxBkEfAUaKL8g4VuE2tCJGYvkbRd3,1,0
3LuaXZEDQsUmnozuj4LLKMFKv5vRZY4NySatBTszu2mq,513367666,0
3MB4orRvWVstEZFXMAGzVaRiAVJVNXPn6JZoE4iyHMVQ,1,0
3MSZRSGoAcQTdF82UHEtx6Hk2h8Wt8CA3t6qbMCu71VV,1,0
3V3HyyBUSP3pkvn1iedVKsxRqBdMkYcgJtcxXdQpDBM3,1,0
3bVbn1zJaKPme6D5Y7TAzxzvnDwhymzVDJCoTypehb5E,1,0
3eCVyAPdemZbXJBpt9kszkeGcDNLbAdF4aoGdj5TyGx6,1,0
46sL3qJyzDpqvVvA6Ekv1FVJpTbdG9p1CQcs74Eq5jgi,1,0
47APvEhPcL4cmCTTcTA2otctzeEc9fLwBvZXNJnesFH6,1,0
4Vmnn5jFFVvBATRKeVwCZZAEoGCZAHNkDmi2mLr1cnkh,1,0
4f1xDGhYQoWW3y8FS8gEbu5S9ivmkkWnAmo5ExakJcpf,250218847,0
4fENRafCoyw42dXn6ujZ72FRHXtZZkxxPCgvZJwY4Ytr,44209598,0
4yZnkohAekrb2fgZUkiKZtLcBpRoZjwVrPpqFNTYuJUr,34535705,0
4zMPX1qQx2Xe9EsSauU1fR7DPZkF6x1H1SrGZgJRTR8B,600082530,0
56nnMwbNt32yy6TrxjTxCGE61SnacsUTHDygtkXbVNix,1,0
57VKoSTaopDyLizvUr9Ny2XQdG9uJftXC3oQj9cQRS5Y,1,0
585XHb7qgXtWqPF5SzcPLvaSghAteXkbBUgfRSaWiSGn,500027990,0
5YAp2Z9n7QcSSJfwfw7ax9FfESPo7Q8J3JZoxfjWn6wz,1,0
5dAa1WBTRKRphTm5NPGK3itDN1voCtY6ESBNNDxGNF5z,1,0
5jzaa8nVbudUDL9CHkkXtarayHRnjhpWvipZHkCApaVg,1,0
5rYtB6StbYZPsFMVnMDX9qhKWVcVE6KuvuhzqpDDXt4f,1,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,53113832,0
5ww75Wk3wZW1S5pS9TRbU3L9vtGAoSmYwEHkW7QenwFc,1,0
62THyzeXv1SsWH8ChKr4d1amd6KzFNyzZcywjfJsEnEf,301818901,0
6JV6DzDLUotccXmnVuAYvxZniybzKTfoBHRt2ZrFN722,359799239,0
6RrpToA9Z8DFp5szW4BQ8LYt4PkNUGW7tyisjZFvmpik,1,0
6YwPV9zHs4AcGmP6HdDukdLn5ofM6yQgoQ7zCCSxwLgh,516618222,0
6ocrBFL6wYHDSDMfvDPRz8dceYGv72mSEGvgQavEvb8R,1,0
7Gf3RAzMCp11fKjZEdLGQ3AVNanin7WsXJ8TP6A3Yckz,1,0
7RN7GrWsrtJ6hrkRRyWbB4tBxgEdxHXkVCYwUtR8ReBi,1,0
7pku8FWjZguDbceMwXCMsoUyw95X7Uqy7kKvCDw1XBK5,1,0
85fRmPmZFVk2Yw84U6sWMrM4b7c2CzkN7dzZRZb3zUnn,1,0
8CknfW4fHa2CJ7tcEGRzCHuc6sdvTeupe2RutJyaoN7j,1,0
8DV8bKFpSRYVdvLjd5QGiupMH1eLmGKsARhmoekABVPp,16534401,0
8JprKARijfbT2ubc6dtdhwTuMFLAHDN4xpsB4fdg6r9s,117523494,0
9fSjeKYuXZKSG6cvdvzYvwZhiSMsxHoBcVdV3zmsH7Sb,1,0
9uYvq3SJCfCgwLRHC9uKVUdhhfb7Vf9JHb2449TobAc1,679821777,0
A3nHFssfmEevHKcM6QGZNYvwbnNQCxzHoxy63bej9PUp,1,0
AAxbWq8P4PTTBMzhWeWNnWjsBAkY5zjJHiszGBwBEHZF,1,0
AUnF6ELXb4cocurAVThcZT5KTEuQYmSjM3NZcTrkhmdY,1,0
Amu9XEf26yz3jk5sxciSdDCYnA3hPDf7BDftTcZRhQu5,141656898,0
B2j2Awn3MKmJJbGpyLnSKDMophWFBxtUKJUNXXn2fhQ3,1,0
B3RE1smge3DYVqvMs4k1MksDYgHSoxL1DKw5zN4qk7P9,1,0
BMc2nwbsiaUNSecZgyDGxQhkdY72moFjLww4KPhugvPo,9574762134,0
BQBdTWCCxBB2FVu77rYhQsqmJ5avi2yFS1Ax7qr8LauL,1618290832,0
BTzD3SUkEMJDFX3zKQ7HikMdJoWSmJQjkt7bQZpx4NoE,1,0
BdBzF73iTDz67ZV7F4bsCmfFeQSY42zdiGFmE2Fh9hGT,13624301,0
BhEopv8sjEuVdQmRA2UwgN8qKYv2nx8ZUaEEEnwkL9uT,1,0
BqPuEZM7Vh5vznKcxnxQ5GnSLw96WCveDt1gNwsJQCc4,1,0
CHrG7W2djPsJUSf643XwQCK8o636XiU5fBTyjHBwc4N1,1,0
CYyyxGobR7ka6p8CPc5vj3viAjEww1cKMzbRJcNtJsdn,1,0
CeHfJ3JMYmWstY9nq1iAMqJJ2e4FK9L3mELaPGSQUPwb,71812295,0
CiFvHkqFfabBaqe1EkHGHST8QdB15yqC2TD6V4MMyves,1794,0
D8nNyyE2BUUAdjjkKFqCWUeAA39uHfiEg6tyFnHDWDJm,130256875,0
DQTsqWddBqUhC7yETUBggzrtQfScoo5ZosMHCH6K3FSG,1,0
DV6ALv6rXMtSSLY3bBQ2rSmyxu6gLn5HwLvP38wYBkPD,50781565,0
DYaUgvKBhmwUNywc2cSS13VhJdxJt5EH8VUQmzcWXttR,1,0
Dix5BAtGvrAD6JbjrjXgRJzc6evarXaJ3BLSzznz3W2D,1,0
DjWbX4pLruGtjng7Ub8zo7ZuNiL7Jwz4CYsiuwcHPnPZ,1,0
DoUNUkL2AWWXjsGSCAhhPWMTLZgVcVGysLwE46HAs4xY,1,0
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,30930088,0
EXU9N1A3LUZ16qha3V2gC3T8ecjujoJ8n2CwhY7oZLM3,1,0
EYXD2YVNz6dT3As2d4GxCDEftwWFq5jU73qZEfMpNX9q,150855440707,0
EoGD1hySnb8YVYiTQXYxjc5MMdfBy7WqoiQCg8UqczjR,1,0
Et9n5fm5SNeUXWo8aYLywAVGibMZyUrZ9LezawHp8t4G,1,0
F1wcg7hKXa3kFFhSwLhT34z7fXeP9cHaha9T9TJutdvC,423629323,0
F4qcnZJDc1Yf2HgVGFrqsmhpwXWmzqXzKmzFCEqWG7sw,1,0
FE9DrprrQ1QuLCNwdCUCzj4jc7sUkxzHWDKL79uDx6kh,1,0
FMCJasv7LRnEURzg3C5q7JinANExo7RriSNF4i1FnNi,1,0
FTnUe6TmX6DXdGvwageikrru8kJRFBogg14PpKBNtnWj,8618,0
FeL6hrqBwjXogJBiQqtCHbJuxFLFsUcgbyZm2ACabnAM,1,0
Fk9xbDU3jCyWKp6x5B6SaHFHnDQfVHSQrpRNJghaZaYQ,1,0
FtHzaxxGxDkSFFvVhrEYnSpwyydmxvhdRt724n8mKhXC,712911758,0
GXVB7Go7sgL2TPJggAzkRChSPcuuX2TvVFMd3pJQHMfQ,1,0
H1oYXGZTagwv48FdDe6RNkjNaesedqLKyXxTmPc5k4Fp,1,0
