pubkey,amount,locked_amount
32LHrEJCiPPqpzgkocWSRxWiRTzZEpmsasYgX3J2rbvw,751023230,0
4QVoPEM4gWXft3zm3YX7kvaFb8uaiBCmD3YkqvEodDLx,2,0
5GTNszEwQ859Xcu3TrKHgMj72w2aaWprSytGn9YQWsXX,228144700760,0
5K7o9YzHpetKkCNUaucPhKUtE9SsyVTAoxrR3yj8TPy6,2,0
5dAa1WBTRKRphTm5NPGK3itDN1voCtY6ESBNNDxGNF5z,2,0
61woCt84X8DiCJWJoDh69udjC2RXcWZ6PMvbSx1cSEGW,104246681185,0
62THyzeXv1SsWH8ChKr4d1amd6KzFNyzZcywjfJsEnEf,436402960329,0
6DVJxcZnAtWGQhDBRyZLqaHDbFLbP2vYEFe1mPVXnQfD,2,0
6vwhhD5KFoiqZyxWYnMPyzL2wdGhihd3LuWtGqGN7ECW,2,0
6yFA6skV6HUpShco9y8ASwHpQSYrj3u1Eqr4N9YRrR4N,2,0
8tKx1HucjFvfado52D9ny9j1APY421BkP7hFeHV9nz66,2,0
9B7RTQPSexyyCDuLvEqUrtDj7ayPbLcHaD859xvvnKLf,2,0
9VjpYCe2MKSong9o7mfv3C8jGusgeq48mx9mfT8BSoiP,2,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,2,0
AsVPbye6XkTSmoWk6sCHQLw1zD2cVytKNfcurWNWxGeB,531027091,0
AxvuxoDWbkgPhtTx6eua1iEVWq9sx7zapiz5XjUJ4dB,2,0
D339PUapa7kxBLArE1YNsJ3APKt3HGANXpbZBTvJ5jHL,92328,0
DUbm75wyTdqvhqV1rgGssoLKrCKhKCaZdSRiib8v66Hn,2,0
DgyYWPUhCNbtwJSnaPh4Vmq7DdTcB5Qeffj9VjRv4UPJ,718033684671,0
DzajrBXdgR7gbDsPLqED6c8217bTQggqfFjD4gBBY1EJ,1380905671362,0
ESYV6TLrkR27EzWYJXzkDzCoiXStXaXhNp8BLcwE1jWN,29999999999,0
FGQVy5spHBtX8J1phSpHAQaCvwHRckqS4chsETX8gNqQ,629168923618,0
FK8uuebmda7M3oHYQi6SvaACto69g7WN9Y1pcBxVGmBV,59401269563,0
FTnUe6TmX6DXdGvwageikrru8kJRFBogg14PpKBNtnWj,177270,0
FdPuSKviVv2wg92QF7CmoT8myPycZXyxE5Ue8MXVkQsK,2,0
FdhydxvQZfnev3ib8PjZhC5nXW18iWwPbDnwiTDQ71Jv,35492913162,0
HKChfUdYTZ8Eazykd7Tc6yh8NiUfLJUwgjhUkEqdVP4k,48954138955,0
xrDhLM8GCxSztSUBeWYw9Mcik12qkgcFrL7rE3F753j,2,0
