pubkey,amount,locked_amount
12B19DBXiE29QxmhUM7FM4BgChwSEwx1UrEh7KcjDMdG,100999767,0
12EKFQzoLLum5vTbDHCaQf663dtCmVsV1XJ19kCWBt4B,1,0
12USTvzdhp6m3Af2i3KSdamfD5t3ySpnYgC7ZsBBRF2K,106616153,0
12YxqcApyfcpDyhVsrzJ3xq7FmoJ69tDvDhJNdjNtYqG,1,0
12dvBCcDAzmtepLufvE6Zm2STxvZAHCJrXvTa5LoLzKW,50543664,0
12fECHYPMe3zD7XxKA4Ar6VyULMWbEL6iFaFVBfiMCvT,3001680192,0
12gpHWfYjri8jy7AuueLZB5Lvhn7dRJcqCP4QwLysQM2,64640478096,0
12pNchMsUf7N5xqo9t2ze1P6c64izvVinqywK4bof4fS,1,0
13AgeJk72LgW4s4hiA1XUuwXJxb5gm9uX4EhLssYGr9k,1,0
13EX6iEHfyCKFgYacaBkKNs56JJ4dFJXfgyKBv1f1wMk,1456658160,0
13Ew2T4DMHijfbGkLV3VfLzSrwpzWg7KEiVkSFAtFSRN,4183041785,0
13XfHNQTeQ4yMkk7SX5rWTdfW8PDkYCB7hgkGCxJrZ8N,1,0
13XrnP3E9LVvE7DQh8kBgfmFis7fJre6uTFZbWMZ2rqg,1026910899,0
13dBKX2h5M8xhj6uxPFaRPBvvmp9weNV9eehXtMtR2Ch,1,0
13iMPyBd711TckUf7gZha3AA8mjssSeWxx42RUFBAfKL,1545017,0
13sHSoB77gsmFD4RtLrssrCGRo5wGzqbp5r755mbESEE,1,0
13v3NDDsn1KH5J1QTf4Jd58DomhifcJgQordTUxR7rp2,1,0
14JpTxD3iYVZEbPBQytgwz4asmhKzAEZgv4HRFD2SWVy,1,0
14Q7fDHHgDCDiXx8DowKmdZYgpA2kxwv71rwMgonJuKn,79771674,0
14XfGsj2Yb5to43Gj87Csm9j8yrUqKf57McdPRSWD86N,512996492,0
14YdXzpkgLq8jJgdJSa51PBywC17oJxVEgc4x1Y6wD5s,1,0
