pubkey,amount,locked_amount
24aBJcL4RaKfr2YJSZovsqP4ye3nrq4pQxYUwBVUd7vd,1,0
2CNZqXqzSdyiYU1kzaNmzqsMuK7G2xobEoiQ5ynB4gwi,1,0
2WodYPhpSrDVt8njf36BHPptYpyBbkrtfufJwhEMHYoJ,1,0
3ESUeA2833rEUQPCKmV9LTrDrQ1isp5VP3Ks8fLC7g1y,1,0
3Hq43uAkPu527M128JaRXm9v2GR5AYtxfy8fpN7XXNHc,7219631934,0
3hpZq5rtYr144VbtMRuNhH1HGRepQee6zCvD6zecdNeG,1,0
4L24SHvKTarMuC2aTSQGo8FkpyvtCEkxufQwTnrM8Spy,1,0
4ePoTPQt4eAVicdErCZDjVbZsE7Mxi4ZYeUydGNqm1JT,1,0
4z2E3rto6nAzh8Y6ixZW5ytA1p4jKcgqZkd22DqVemSP,1,0
5MxL7VPSnGgH8yqsiTAwqSYPjZdb6fFamS41uPMuBoFY,1,0
5fYavm77SzHALCKK3aS3G5E78upPPXEFvGg444hbbV2n,6712462466,0
5gP2dyysCsdtb9ba5hxTWfGDC8Q8iqEHmXDJCcRNRNeP,998125158,0
6AEhqtzHXA598uJ2pU6XKeT4uT55JQqmSc2dgv1qyvNo,1,0
6BY9H6UynTsbH5ok7uzUdm69sQGdWeGzKXzrjXsjG7i6,3105880155,0
6KPgHtxtufqkQRrKrv46UWYh94KLHJwSQ2tYETMH3T49,1097943157,0
7wYK2PJb8rtP5PS4BJFVLNTQ3VxSTxw4pyFyY64AZWbn,100771107186,0
8HaVEnu5A2Q8agUoDhggPFs3iBZDMiGri2isB2GpmvNX,15690,0
8HrJJBbVtzQ33HQQRARKmsjqw26zseWWnT917VxiLBYk,57552,0
8JQnXgdkJSknoQyM8NKCpXwJP2P6XexMg1LVf9XBqffj,87787663,0
8RiBFxcCKha5Ezfid5sYVsETGFwdgF3JXVZbo9gZjZh1,1,0
8kVVNq4zroXc4ry1AWxpgCiCc6gSHwoteWaX6iZriQJM,15373637,0
9PfxNp4J8dVtaHSKrs247pLBRVZtoRzrHZt8Ky5QwrMW,8043826896,0
9fCLfyDGfXUJpaAgGjpn5Kf7WC8q8U7hUJpqUeuVWDZR,1,0
9tHjFzh2oRnyQnk4H4WT5i2d7pLv1cQcHjJRZyiMZcLB,1,0
9zBPYqc4WQTzip5uM61fzZtGs9jghq8SF2xE2zUkeWNc,1,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,27855111636,0
AaLQPChLXjzPMqEQXdyv4XxhLSXWLGj5CDi6iFNip5bp,1,0
AwPyamHhYrz1RrBmEBuzLwscJMYzEmKVR5Lm8dZEw4E8,391467974,0
AxqQqW1gQnXQsDFgkmMUvdVv42QP87MknxJZKnjhG5zu,1,0
BQVsRB9iss6563BieMtq7Tt2cccf9s5iZM7cirq1CXbf,316265376,0
By2aADE8wjn46rZHZmXx2pQbMmg6CDPBC3pKvs77oSjR,1,0
CcCoTKXg6jv6o8zK4Ao8cYF5d6LUZaXwPX4Kh43KVeB5,8760834281,0
D8nNyyE2BUUAdjjkKFqCWUeAA39uHfiEg6tyFnHDWDJm,1403530847,0
DK7GX9xhc3UEVdiNRRDAYvq1n2YSqbMsjESaqACMPgKR,711324622,0
DadrDEN7P9oEHjbCXHna9LErU3cQMWDGJdyDj6ZryZJ,183867043,0
DdoKvGsuEukaGZ5M84esrjuYcgNqeDJb5kcYnLQXhdJ,1,0
DjWbX4pLruGtjng7Ub8zo7ZuNiL7Jwz4CYsiuwcHPnPZ,1,0
E1ws6a35kY2Gj3kJNJQeTapRUztoXeivLxYmYXGzd9jQ,1,0
ELZYoPQj2gEXPGoNNZyTjQpQgixo8zW2RHayXHnRe6hi,50744894331,0
EgvsE6nJcJzs1jRPuCjXZdk9KkLysGj5us9dzgLUwdPg,413571413,0
EwTUSxaPY3WEnJgbjgFM2hKaPwEPpcDxiNRJgNAQWBmd,1129730785,0
FKCJsKv7y7hwSEGmGFw7bct4EGgSjSykJBWeMUDouvg6,9530140,0
FdNySY9RqGxrYe6vaw37oY4nN2pqUCRTyp4zPB1FfLp,1,0
FePXJHhpNT43QmpYnN3a85wSQCH5XyVU1tGjGzgq7LDs,1,0
FrjXYwbYiEoeXFdK3c8WJXuuVFHGJ9dUUfC9oMhuamg3,2194605074,0
HCEWfRWjZ59P2PxJC5Dj7SP5cNDzz4zuNy18pcpkPevp,1,0
HcaqBsyBNumRqCLWHzwyj6jwaACkuigeZrU2mQmcsCC4,1,0
HhHRFBq4gWFbtVBw5sstPkxRE5q49uBtiS74MVuYLMuy,474051830,0
HqXrmRjKt6pfd61R3K6JHrSr89cFut5kjubBvSQoRPCM,16869131,0
bA6rZ6gkXvszDogwBfe7GNefsn4BSLEML163JCnJBSx,1,0
dgsGPsRvXu9zEqK3hu5Ed5GMLpuacR6kDCpcqcK4oqa,8928853,0
yDnqeLCYPpqkXNBserDKr7yMhSfenAfVNA9rL4m4Tx7,53320987,0
