pubkey,amount,locked_amount
1fMHgU5XA7xM821ay8rLbJtppQPy9xrjsvtfYYu2qa3,2,0
24T79spgo4WVVBmMm7xCcekPHTMAWcPpVcDizW42n4Uk,2,0
27paKTFJ8D9V7wa51RZZXwESn4Xvc1nLdwdAZC5tifZK,256601015,0
2NCv5vq8KDH32w8uCpHvWKbBcSaQaoqVHfSznhNJmWSi,924614,0
2U23DJFPE4EyAUerpwqRfXcMFQZpSpfdx3t9HLBet6yL,2,0
2YvcWECBFNmbgZmvfDmRG13Kqckd6uVf9hriDJfz3Gr3,2,0
2dJVjXdA16D7JbmQgvEgCiC6n5XUXHegmbsk1XKeeRdj,2,0
37Zh3jyTwKQkmWBqpKd3AVv2gT1857LWp2qspKBeDUhe,599860558,0
38Bf3XEzoj5v4ziBy1sWn2P8EaY3LEgZ8RXZP4HYW7Gp,388956299,0
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,101443482,0
3DWgbJ57jNQiVC69xXcxYT2x9Hbv8XZQhS1yB4yddd2F,2,0
3UDqev3ufSnSwoH6Ep2RoZVs5WZ5fi2xS1uwVYu46fmV,69317222,0
3Ub5MCbxUJctr6GYWD4NxyXoAkrApvFFxCPTFdCSpfRX,2,0
3eXmLRDWaPKKofjdR48JNfbkrMqW5Jg8LUNbBvfeZRpB,2,0
3fEdrf4o4W2c8RUfhNeN8TtEHhNXHcrBEpJ7kmBtpdp4,2,0
3hpZq5rtYr144VbtMRuNhH1HGRepQee6zCvD6zecdNeG,2,0
3ibr9mZAVoquWyBakfH3inn1xWrAZmvFUUpht5xrEJrM,2,0
3s2dXaCvGywvch4SKU44tDpS4gdd7AAjN1Q2k9RBfynJ,2,0
3sXBm5CwaxLjdxe9MroxQcFoubUegPSqHHMrXXSkRDw5,2,0
3tQWxPqzneRViww8Zu16TEGVjP5JiZKoF2EMwFUpGJXh,71146938,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,385680319,0
481tRkY9w6mXziWjFoMSrqqUdBJspUG2Co5ox1ntc7xZ,2,0
4AAJCgz1y3poUyaKxJv8cnsFqSu42WJ2gCYMrrKHFaiQ,2,0
4DcbgnU1CZUg9sPiCTdgToCo9geW1v9xFRaDuWz2aTYh,58410062,0
4L24SHvKTarMuC2aTSQGo8FkpyvtCEkxufQwTnrM8Spy,2,0
4SMKPjjwaxn32fpWmbk4o1VdSk4D4MY1CWCieuqsjbgM,188832073,0
4dVmFczTw2ekRtGNecCKGwvn3Krm4LQFz1kE7tfBN7LU,60784028,0
4kgupQUDqXoCFtoBttJKK2qDG11jE2x9FE6XFTLGy3Wr,2,0
4wvkCHoNFZPKQtKbJKwhgA6EN5La7knEJvkJPTXyStY8,819459228,0
52syvoSz5yi23V9j8D3XytMHoMwDX9oZwjb5AEfdbm6Z,2,0
5ToUeRzdHK87TLZKULuU8gvuFJ5DMYhG9WpRySoKwvLT,2,0
5WM2ZGZEJq6aqng9uo2HctpuevAfHYrvngy1dD5gkiMc,2,0
5e4CUjXXpmrLgnEiKM4igY3HabLuf9myNCcd1dcCZdwg,43493989,0
5iA4Jq7gc4kdjqh3ypZCmA4JJ1UWEwi8GoxTA86LhtQU,2,0
5mGAkSBP5sWn8nKbqcbtwRF7ZVw7oBCY62J5tFFJmpDF,2,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,1033112863,0
6Dj5N9K8DhC3EK4sefCf4wrzoFsiGAVA2EP8FhHEVKHB,2,0
6ZR5SRsJMcfmWsCR7Zn9KAzFAtJsL77BGPuGBWAd8rvp,31846467,0
6aveUyGpA1ypJTWTbttYe4Qg7Y77MK8YHTTufjbgB1xX,2,0
6cqkCfKZgugqurMS9HP9ZUziJnSJDAPn1Hb9n7cro3Bw,89563482,0
6dpdxBTSkcqM7U4ZHTMSisFTzUMXMKtrymRggz5VFcGe,2,0
6rYQmmgQh9Q26EoUeFsjCieEhiS9vsFJQQtissMH2s8p,2,0
6yfgDSHDRABsKgeA4Q4NMYmQRAR5jjJKJcTzvoFxmBcP,2,0
7Gf3RAzMCp11fKjZEdLGQ3AVNanin7WsXJ8TP6A3Yckz,2,0
7HN1x8sAWbQmrM4zTvVHruyAdw2BtSFBznhCP7J5RoFe,166715751,0
7f2TS8TvgSAwDcetUYaEzwzwDVLZ3WfEF6UdNuvgueXz,18909639,0
7iMNZLLa8F4EdTABMgjBYDV5iNXMhSYJVb6tNqKZ4ieh,2,0
7p3RC555LskuPHFoEnYpnhzsnMueowiEEd9gbQVp6jCA,2,0
7qgg2tN18PRradtvMeDrhmZA7yGhiERDdx31kb3wdRHR,2,0
85Y9yx8NdAkjs8HxfqNWzU2gN6MvoWK1yi4Eb5i9m7Q1,2330292,0
8HrJJBbVtzQ33HQQRARKmsjqw26zseWWnT917VxiLBYk,52341789,0
