pubkey,amount,locked_amount
2dTmAqYYFauJ3ZH5v2TwBNPEMxxCjeCqFAKT8H5VtJ7X,7,0
2urPgrX1EheTHmE53rChpc4UeZvxKLM7B8rPy1njDBjq,7,0
35JF9rbc7EZBx25mnvq4Aw78v9LCW3kHUkAvQEgR55SZ,7,0
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,10099054,0
3EZ5DNgzNbHzgnfBUjT4rnkWUpgwa1t9xPANcSBy6EqJ,7,0
3FXcDQfrzQ7ELRajwnzAUabU2rRDBrJDoUUebFRjxC2K,7,0
3gNjuFQc4nSe4hMWM64ucFHVXsbFgbFxnPbjaVtZahm9,7,0
3hpZq5rtYr144VbtMRuNhH1HGRepQee6zCvD6zecdNeG,7,0
3ruadCasQndcU3ue374Je8p4gDmYEoz5ViZecZavY1fB,7,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,2174882,0
43i1fNCqWLuE7f2qK7JthVzx3Hsw8Q2QbGYzMb7Tqg3v,7613477,0
4kock4bDwsqJxdDu4CLCN8LAhZkzJcd83VkoqLSsLuet,7,0
5Kyjexx5L22ZhcBcorykUofzNX56batXPs1EwHtJV8f6,7,0
5xuj7CwZvHtst3Kx9vgKZNLSmZUS9LbNK8311JbRyYhi,7,0
7589zyhmUvBFyfTAYcgvs1YpT3P4PmB98E2BWcdzSfSu,7,0
7Gf3RAzMCp11fKjZEdLGQ3AVNanin7WsXJ8TP6A3Yckz,11183700,0
7YT98chAa5BwPLTSzxqhK8KxCXRNJvFziD5uLNpuDBbC,3607689,0
7oDUPuBtaxF3gP8aJBJeZRQXRxG32avWcdK88Wkt25fF,38419581,0
85aQEFVKgeeunkFaSYyzWjXkT4wZvLn5tsURu3U2f5Ne,2160537382,0
8Eggk2NAnVH5gT9QgWfQZnejvifub1bUJjNReroeEZDD,7,0
8p7GwBdbZVSYeYaMWPx2WMFp5biqEhzcH79xsoBJ96MS,1086767595,0
9s6C4BBXPU62DmFGtxCw4QX4EAc5tVv7cdDxrrv1h2kb,8261781650,0
AM38DmxEF6zGMXUZ996DVYyGh9U84oesgmV9VWKpcCwD,7,0
AURcN3ktRTHw8RNAZZkBm6NchUAMU4HbwSnwrH1sn2e,27482371,0
AgrasdPeGkPWVGzqPnn99yaAquFGFmWY51pXGZetUpbA,7,0
AxLudtLwPbgmjkqwFmumyZnLdkNjTgP3xDbDQQ7JykBw,7,0
AxhYPbeU2mtDAEYGghr6BPoCXnNHkaJ19PtavL1pw9o5,15997194,0
BmTRtsdSDZmk6uqQdMPseKHmtojjRdYZ8r6N8eDKrCXT,7,0
BuqodzWnVHgnpTRzCepUjj5mF7NmMSt7JabWy6q4FkDu,7,0
CGFCbVNXXBDcFZLww7CMBQrfznrSqXGDKFmJe5kN3F4h,107933963,0
DB3oV5M5aoxC1wr7FstKCut1oYThphawxE3bRL7spJ1p,7,0
DJ9FVZuApAp6RDrrpEhwg5UFcKgXfWfGua8dgYszxNQk,7,0
DjWbX4pLruGtjng7Ub8zo7ZuNiL7Jwz4CYsiuwcHPnPZ,7,0
EBFtGUpH78HvHCDo6Roa4QLqT7Hg4j1PTJbW9stcdUtm,7,0
Ed4nxteVE13yvLCReRo2yryFsfJWW3YC7vAAEkuYohMU,7,0
FKCJsKv7y7hwSEGmGFw7bct4EGgSjSykJBWeMUDouvg6,7,0
FL5CBUXqcZc39skbiZdAogAB96symx9sRcsSPksruB2X,7,0
FS5c7YfU6SDU8B6efRonAnGiU2iYovyXNAVyNHN63Dvy,7,0
GFuL9Ke4mbzVziwx3KZgorsZHRFrCbyVPKC2zCg2Ysay,7,0
GTD8aKeyiagapzcsQUBGovrmxciU4QYZETGzvvREYCtw,7,0
GWTS5wHXjBxbmwu7hSSpb8i6kh2EiRXbWm79tjzTx22y,7,0
HXTbYJ4vt3vk82Bf8x71Fp7fgjKpd13uE2ugCKRo8Thq,35782933,0
HboxwePXHF2V6vFMLRJjrKw5auU1s9eM55KRwBtoG2zU,4692629,0
J5qQkzVQqYcibwRanfhcL1X6ff13NudeKpgzsdKRNBDN,7,0
JDJoj8A4Nb6WRdJgz4sBAFoGdTQg5AXzozTcsdKZP48c,7,0
M5ymEjTVJWGUJekwa5hLXkfA93eTZjdZbvrVbmBMVs8,7,0
