pubkey,amount,locked_amount
27paKTFJ8D9V7wa51RZZXwESn4Xvc1nLdwdAZC5tifZK,7319035,0
282UzmjNPZBEvtwwf1YTghLzALUwNbrYnKWNXLJQ65S4,1002452,0
2m8Dn5owNP7LF8pEdsxdchFdbWQmkzh7UfQosjdvJ6dC,1,0
2zuzoCgUv4XCriAQfDZEPhpZMSwdnie1gc8jvSzCB1Xi,1,0
31dhwHQLkxkmL6rbyCXnqHtTUM6taHCVewRHP88iQtqN,1,0
32tCAD74rE2yzjCXNJMqhFvSDvEGX4xt3nrwa7zyAeRs,1004612,0
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,5012263,0
39JGKSS2BNVybbVdyi2bD5dWaKUANiNgpAnRwRxkSQXY,1,0
3dAmGsDnvC5ufdpxuKPtbLV5yDYUGXFLiJDd18rhs7zn,1,0
3fwAz36Vv3j3LNz8QZZ9j36TBDf6xyEPmCvduskdBt3C,539713,0
3ohG98dVzhQ1tzop3NSDiYdaSnrD82oVKy7Mya3d54TD,60167912,0
4eEdyRE593My2aMBcf25GvVM52Cb3T2JdKxVRXqzwwFv,1,0
4kgupQUDqXoCFtoBttJKK2qDG11jE2x9FE6XFTLGy3Wr,1,0
4xwTrcg9YPCbv9rrycEibuKxNxh33hdVNi5T3xXvWVaD,1,0
5B6gEnqu6cmnAoMHARYsPCPQwhft9QABWCaakbodf4rq,1,0
5Kyjexx5L22ZhcBcorykUofzNX56batXPs1EwHtJV8f6,1,0
5PopcsCAZQxT71SrfuPG6BLm6359o1zA23uEKhySdPMh,1,0
5T6tGAVgVNvqEB9r6q7XPGfDf4QbsfMiDKNk5QPwZMyF,1,0
5vR26aFfdzTQnfBYBZ1EtrP5gjMARZUqszZL1SJU2t2G,100327,0
6JpxTdsPaEY8hL6e1oFoFVzFgqYwJSCBG31KowfW6rpz,1,0
6yFA6skV6HUpShco9y8ASwHpQSYrj3u1Eqr4N9YRrR4N,1,0
7EtGovzHsbD8cKGqq4R5rvKBbncR4Kc7CDkTjof2QBMf,1,0
7MC4ny783Gxcbe6MmExojgN9CDGCjUPQYgXwnZR3RfCV,4086016,0
7WA7rCGrmWDkJiE7gp8aa3y4eWJpvSNF3hUAjXzaKobN,1,0
7WrYRnmgqg25eQG6vXBakXZYVFaLX7BsbMHYh3X9Q5us,1,0
7aAU4dyQfYjZMP8EcAktrftBPSxVMdRnHAKnqcgfk482,1,0
